# This is a comment line to skip
name	username	total_count	summary
Adam Torres	adam_torres_1807		"""Line wish skin Mr administration; Prove play 	 Dog"""
Danielle Shea	danielle_shea_3803	1.0	"""Note: Reflect the exist mother drive structure	 then Production subject for"""
Leslie Cooper	leslie_cooper_5741	67.0	"""(Effect will trouble pull what resource) 	 Population note relationship star and Article all site indeed"""
Cindy Russell	cindy_russell_2088	8.0	"""More prevent necessary reflect: Those interesting direction	 Go fight style"""
Christopher Barton	christopher_barton_9811	86.0	"""Note: Herself argue sound produce sister	 then Long side"""
Patrick Avila	patrick_avila_5499	87.0	"""Administration house wrong	 Middle space deal evening data Again physical house official"""
Taylor Lozano	taylor_lozano_4165	66.0	"""Start south; Wrong window 	 Life start security"""
Kimberly Sanchez	kimberly_sanchez_0411	79.0	"""Per speech not into very: Minute	 Various"""
Richard Hayes	richard_hayes_9715	9.0	"""Trouble	 Himself little determine may Poor business look move race"""
Spencer Fowler	spencer_fowler_7998	72.0	"""Mean game	 See Short behind civil reduce result"""
Timothy Elliott	timothy_elliott_5043	81.0	"""Ten good five also dark memory: Write	 Environmental"""
Edward Kent	edward_kent_7846	57.0	"""Up	 Various along machine blue president Able girl throw"""
D	michelle_krause_7743	30.0	"""Financial establish represent lawyer: Last political imagine	 Recent office investment away"""
Lindsay Evans	lindsay_evans_3224	39.0	"""Them	 Run and edge Key fire ball"""
Jane Hurley	jane_hurley_5646	27.0	"""Relationship ahead decade century: Story product	 Well rise professional half him seem"""
Brianna Thompson	brianna_thompson_2889	37.0	"""Movie	 Whose Them could"""
Kimberly Ryan	kimberly_ryan_5475	75.0	"""(Approach present) 	 Local need receive official stuff field and Ever goal"""
Crystal Patel	crystal_patel_7571	77.0	"""Growth suddenly; Size name group say 	 Himself every"""
Elizabeth Jennings	elizabeth_jennings_4320	32.0	"""Eye	 Indeed there build avoid produce social Military since themselves usually"""
Danielle Wright	danielle_wright_6222	14.0	"""Action	 Suffer memory Week"""
Nancy Stone	nancy_stone_6344	72.0	"""Trial either; Evidence glass piece sometimes employee 	 Quite check structure goal"""
Margaret Sellers	margaret_sellers_4583	42.0	"""(Congress off member) 	 Type and Necessary young do cell body"""
Katie Taylor	katie_taylor_3525	36.0	"""Yet drive fish; Part whose positive head 	 Garden old"""
Brandon Yates	brandon_yates_4763	43.0	"""Fact middle wall environment past	 With ago Under PM"""
Randy Joyce	randy_joyce_7891	35.0	"""Late something most; Lot according avoid 	 Mother and"""
Jessica Bell	jessica_bell_4601	64.0	"""(Clear region message) 	 Service and Special fast"""
Joshua Mitchell	joshua_mitchell_2005	36.0	"""(Scene size) 	 Successful station maintain and with and Stuff positive"""
Kayla Greer	kayla_greer_5273	86.0	"""Note: Federal sort	 then Us for much upon before head"""
