name,score,review,summary
Gordon Robertson,24.0,'''Note: Aut qui, then Distinctio dolore''','''Quae molestiae; Porro assumenda provident nam esse totam , Impedit corrupti dignissimos illum adipisci minus'''
Catherine Brown,57.0,'''Molestiae; Consequuntur laboriosam magni quidem , Occaecati fugit numquam eum''','''Note: Quibusdam eligendi in minus, then Pariatur quos laborum beatae tenetur incidunt'''
Molly Harding,88.0,'''Pariatur fugit rem reiciendis asperiores similique; Ut recusandae sequi quasi quos , Quidem officia accusantium''','''Dignissimos eaque omnis, Autem libero quo dolorum Harum magnam ducimus soluta'''
Mark Roberts,38.0,'''(Neque similique) , Labore and Optio quaerat''','''Nostrum vitae praesentium ab natus beatae: Expedita nulla doloremque molestiae, Libero in cupiditate'''
Frank Walters,20.0,'''Expedita sapiente libero; Velit cupiditate est , Possimus quas praesentium libero harum''','''Note: Laudantium recusandae, then Eius repellendus'''
Andrew Walker-Jenkins,17.0,'''Ratione vel sapiente, Ex ullam Beatae''','''Note: Error fugit fugiat, then Voluptatum in'''
Mrs Michelle Davies,82.0,'''Note: Perspiciatis a officiis, then Quis aliquid''','''Reprehenderit officiis quo occaecati, Tenetur natus aliquid deleniti error Assumenda numquam officiis deserunt assumenda'''
Mr Gerard Goodwin,44.0,'''Ut iure reiciendis; Nam molestias aperiam , Rerum non''','''(Praesentium corrupti sed) , Porro ducimus libero and Est'''
Dr Ross Kaur,,'''(Dolorem) , Vero fugit consequatur and Officia eligendi''','''Sed eveniet, Eveniet in laboriosam ipsam Itaque'''
Miss Rosemary Jones,78.0,'''(Veritatis aliquam) , Dolor id nobis eum porro and Nemo provident ea''','''Note: Quod beatae nam quo, then Modi totam quas'''
Claire Hicks-Hammond,7.0,'''Note: Veniam officiis dolore, then Eaque''','''Harum; Nemo cupiditate laboriosam possimus , Blanditiis numquam animi'''
Mrs Christine Grant,62.0,'''Id vel assumenda: Et beatae iure non eum, Nostrum odio dolorum sunt''','''Note: Placeat quidem eaque in odit ad, then Enim'''
Ms Lindsey Fry,40.0,'''Non maiores cumque vero: Maxime eveniet, Eligendi quo''','''Perspiciatis: Molestias inventore sequi, Soluta'''
Mr Harry Duffy,59.0,'''Doloribus, Rem sapiente modi Assumenda excepturi autem''','''Veritatis doloribus: Recusandae animi molestias vero sit consequatur, Eveniet aperiam repellat tempora ex'''
Lorraine Fletcher,9.0,'''Sint: Voluptatum consectetur, Corporis asperiores sint nulla dolorum''','''(Neque consequatur) , Eius ipsum consectetur and Totam quae inventore'''
Mr Mohammad Scott,95.0,'''Quisquam eos, Iusto nemo nulla nobis similique Libero molestiae architecto similique''','''Quae dolore; Suscipit aliquam necessitatibus , Perferendis'''
Stanley Wade,30.0,'''Note: Aliquam ea ipsum, then Laborum explicabo officiis''','''Nobis dolorum alias: Iure maxime sunt eligendi, Eum laudantium eveniet'''
Dr Melissa Stevens,45.0,'''Et, Molestias molestias alias quae sunt vero Eum''','''Note: Dolor accusamus, then Repellat facere nostrum'''
Jordan Connolly,46.0,'''Placeat at dolores cupiditate fuga et; Modi consectetur dolor aliquam , Et sunt expedita''','''Reprehenderit deleniti: Laudantium incidunt, Similique fugit commodi facere'''
Maureen Holloway,20.0,'''(Aliquid) , Saepe placeat doloribus dolorem magnam porro and Neque repellendus praesentium ad excepturi sint''','''Officia soluta laudantium, Ullam rerum quasi nulla nostrum Sunt harum'''
Sara Scott,52.0,'''Aliquam officia fugiat quasi, Voluptatem optio expedita accusantium tempore Ratione fuga ipsa perferendis''','''Note: Id impedit, then Distinctio'''
 ,22.0,'''Dolorum libero unde provident, Perspiciatis officiis ipsum Libero''','''Note: Nemo blanditiis nihil provident eius, then Perferendis quod'''
Alexandra Ellis,75.0,'''(Laborum temporibus illo aspernatur magnam error) , Voluptas beatae and Libero fugit''','''Deleniti est; Quasi , Eos corrupti'''
Clive James,96.0,'''Note: Sunt, then Dicta laudantium''','''Aperiam consectetur nisi laboriosam; Quis , Quia error sed'''
Charlene Duncan,55.0,'''(Perferendis at explicabo) , Est repellat voluptatem and Est dignissimos''','''Neque incidunt velit itaque officia, Incidunt cum Dolores deleniti ratione'''
Hugh Edwards,69.0,'''Note: Dolor voluptas suscipit iste, then Nesciunt ut rem''','''Note: Expedita, then Et ipsa alias'''
Mrs Ellie Morgan,11.0,'''Note: Quasi recusandae, then Asperiores''','''Eveniet libero: Modi animi aliquid provident, Ad sit'''
Mary Hodgson,88.0,'''(Recusandae dolorum porro inventore) , Amet architecto and Iusto maiores''','''Cumque harum distinctio excepturi distinctio: Quasi, Impedit sequi laudantium perspiciatis nam'''
Mr Oliver Morgan,6.0,'''(Temporibus corporis enim et) , Doloremque aut earum and Fuga dolore distinctio totam''','''Impedit hic explicabo: Quam quos recusandae expedita maxime, Voluptates mollitia repellat'''
Jayne Booth,63.0,'''(Illo iste facere) , Cupiditate and Quia deleniti ea''','''Note: Cupiditate perspiciatis nostrum possimus, then Aliquam'''
Sophie Burton,25.0,'''(Explicabo cumque) , Quae and Sed facilis nam''','''Dignissimos eum mollitia magni: Atque laboriosam ad saepe fugiat, Ipsam molestias recusandae cum'''
Mr Justin Rogers,62.0,'''(Ipsum repudiandae qui) , Commodi assumenda and Dignissimos aliquam recusandae ipsam provident quisquam''','''Quas; Ratione debitis , Culpa iure ab molestias repellendus'''
Wayne Horton,7.0,'''Ea saepe quas sed fugit; Quibusdam , Tempora reiciendis sunt consequuntur''','''Nulla quasi vel earum temporibus non; Eaque laudantium , Ut alias'''
Adrian Curtis,8.0,'''(Eaque iusto non non ratione) , Ipsa dolores aut aliquam and Fugit atque reprehenderit''','''Incidunt ullam assumenda; Minima eum , Inventore'''
Carol Carter,54.0,'''Note: Ad impedit eius fuga, then Eaque voluptatum animi et ea natus''','''Note: Rerum repellat dolor dolorum, then Autem accusantium earum'''
