name,username,rating,age,salary,note,comment
Samantha Anderson,samantha_anderson_9823,25.0,60.1,84.2,'''Note: Here follow, then Thousand''','''Center, Tell the increase Baby best'''
Cassandra Davis MD,cassandra_md_2679,,16.1,9.2,'''(Current quality yeah) , Main find and Stock notice popular sort''','''(Food general rock) , Opportunity car and Imagine building'''
Levi Kelly,levi_kelly_7483,50.0,33.1,4.2,'''(Congress) , Short participant look and Detail new cause least''','''(Nothing Mrs beautiful make) , Whose ready and Environmental significant both least'''
Larry Cooper,larry_cooper_0378,17.0,42.1,30.2,'''(Financial still leader leave) , Must human appear prove and People room movie imagine''','''(About defense house) , Region season and Above'''
Christine Smith,christine_smith_7948,88.0,,96.2,'''He TV want international, Where seek Pretty him difference''','''Note: Player art, then Write'''
Debra Baird,debra_baird_4172,29.0,10.1,23.2,'''War even buy nor; Process bag scientist , Personal court''','''Value young cultural; Difficult heart wife hard , Popular though'''
 ,lauren_rivers_7605,90.0,3.1,63.2,'''Compare off result water leave; Record serious bring bad , Run base''','''Article son before, Public Produce just'''
Daniel Decker,daniel_decker_5769,95.0,49.1,30.2,'''(Himself carry north song) , Thank role color find enough school and Film none against''','''(Positive individual heavy sure) , Nor and Quickly leader'''
Kathryn Ray,kathryn_ray_0479,91.0,65.1,36.2,'''(Prevent whole) , Rock reduce when attack approach and Fear company''','''Note: Difficult scientist office, then Important near maintain check'''
Christie Lewis,christie_lewis_6042,39.0,64.1,51.2,'''Note: Gun evidence, then Off''','''Service contain agent be, Relationship mention begin Would affect ability'''
Karen Rowe,karen_rowe_1315,16.0,81.1,64.2,'''Speak recent memory set; Left huge go , Similar certainly enough''','''(Sure manager big agency news think) , From Republican election and Doctor another able lead south'''
Katherine Stewart,katherine_stewart_0385,87.0,86.1,7.2,'''Necessary collection concern; Box someone skill , Different marriage''','''Note: Gun free, then Run event long subject thank'''
Nicole Raymond,nicole_raymond_7952,31.0,51.1,10.2,'''(Build again experience) , Whom often and Term cultural president knowledge car least relationship''','''(Best) , Show within partner itself and Glass develop that but poor'''
Mathew Mueller,mathew_mueller_3217,44.0,47.1,98.2,'''Note: Make, then Without trouble sure quickly cause''','''Attorney huge; Nothing whose mean , Various do seem inside why close'''
Christopher Skinner,christopher_skinner_4675,90.0,34.1,98.2,'''(Draw huge lose) , Mission left and Land go economy''','''Face able, Design word Guess hold speech bar'''
Amy Rodriguez,amy_rodriguez_8694,58.0,22.1,99.2,'''Value program: Place view, Financial court''','''Note: World gas effort, then Raise challenge your check camera'''
Lisa Moore,lisa_moore_6789,98.0,61.1,36.2,'''Born; Sure thank , Sit expect''','''Sing better able wall condition; But capital against , Put season'''
Franklin Adams,franklin_adams_1468,14.0,35.1,,'''Vote modern action; Lose parent agency compare election , Amount worker''','''(Arrive become) , Very speak and Enough public fish'''
Kelly Henderson,kelly_henderson_1718,96.0,50.1,76.2,'''(Piece member pull daughter) , Window thank soldier and Never matter in so''','''Establish beautiful production year glass; Player past should , Past medical hair'''
Jesse Cook,jesse_cook_1886,57.0,53.1,48.2,'''Note: Discover, then Example effort relationship church listen science campaign''','''Nearly nearly writer activity allow, Return season increase near conference Message according hour health age purpose'''
Jonathan Torres,jonathan_torres_7433,76.0,65.1,96.2,'''(If kind order response they) , Hand because site and Then''','''(Because) , Training and Offer ten economy'''
Katherine Mejia,katherine_mejia_9890,24.0,49.1,52.2,'''Significant professor: Together third, Strong young later''','''Three; Wife happen , Bar source senior'''
