# This is a comment line to skip
username;price;score;total_count;description
gabriela_mitchell_8134;87.0;11.1;86.2;'''Note: Oil Mrs possible; then Activity it'''
diana_morgan_0816;69.0;96.1;55.2;'''Note: Mission sit sea; then Attention hundred determine fine task perform'''
devin_smith_1597;55.0;63.1;95.2;'''Material rise simply: Player actually line pretty; Action decide our instead one continue'''
karen_french_9746;48.0;19.1;7.2;'''(Cause real accept) ; Their should one and Ground group his'''
nicole_herrera_5421;31.0;49.1;75.2;'''Social return hope; Present moment eat six Performance summer'''
thomas_rasmussen_6786;84.0;30.1;81.2;'''Experience sense; Party democratic general Sing station good'''
samantha_myers_0183;38.0;99.1;44.2;'''Move show; Produce enough Agent person usually painting'''
sabrina_johnson_4916;53.0;15.1;64.2;'''Campaign arm talk really; Energy ; Building record'''
jessica_duran_8173;50.0;57.1;98.2;'''Reveal traditional; Hard race ; Name fine firm task'''
anthony_morris_9123;66.0;74.1;90.2;'''Why exactly hard rich around; Budget baby administration Treatment page win'''
heather_maldonado_6549;30.0;78.1;89.2;'''Note: Prevent attack office scene; then Himself federal food'''
michael_jr_5592;92.0;89.1;74.2;'''Security organization side open account: Mention allow professor; Less popular'''
april_hodges_4466;16.0;92.1;13.2;'''Film: Bad best; Maintain two'''
john_jones_2908;45.0;;97.2;'''Trial within; Democratic ; Watch structure every'''
steven_mcbride_2385;67.0;55.1;49.2;'''Amount away tree; Forward interview ; Better bank dream'''
danielle_sutton_0749;4.0;50.1;28.2;'''Show reality; Issue ; While east close'''
david_jr_8141;37.0;16.1;30.2;'''(Act both letter number sense) ; Respond and Although happen bank'''
phillip_everett_9901;81.0;64.1;16.2;'''Popular some dinner: Here get brother actually television; Free high arm'''
jane_navarro_6320;34.0;6.1;90.2;'''Note: Just scene what; then Society total place movie'''
jeremy_martinez_3896;86.0;24.1;12.2;'''Short consider: Get option others; Wife onto because sign'''
donald_payne_2896;49.0;73.1;4.2;'''Note: Others poor; then We country'''
jeffrey_wong_9943;9.0;79.1;69.2;'''(Word affect time) ; Maintain environment and Lay song administration perform it'''
michele_hart_0804;92.0;2.1;29.2;'''Do bed theory; Memory spend ; Six program figure'''
julie_avila_4800;66.0;55.1;36.2;'''Herself address price ask company; Thousand science company occur Never meet'''
kelli_baker_9778;95.0;11.1;78.2;'''Probably trial activity: Hope everybody green first pretty; Reveal center stay'''
michael_wilson_7484;;18.1;40.2;'''Than; Under behind same ; Because drive'''
brittany_blankenship_4071;52.0;55.1;85.2;'''Establish response; Model degree pick ; Meet myself'''
amy_shaw_6538;97.0;28.1;98.2;'''One expect like or: Really color their you; Make'''
nathan_jackson_6654;7.0;86.1;23.2;'''(Since) ; Night over tonight concern and That though out'''
laura_fields_6947;12.0;77.1;96.2;'''Consider generation themselves recently play; Believe have ; Fast'''
jessica_gomez_9157;89.0;59.1;49.2;'''This; Best phone ; Stock voice save under world hospital'''
diana_harper_6174;40.0;75.1;;'''(Conference report) ; Degree forget practice month and Nothing state statement'''
stacey_anderson_8928;78.0;99.1;55.2;'''Lay until picture: Politics; Such kind wall'''
dr_phd_2728;23.0;8.1;80.2;'''Note: Assume good; then Together no possible throw'''
