name	username	age	score	salary	review
Raymond Watson	raymond_watson_6917	60.0	46.1	84.2	'''Suggest face language: Civil apply walk	 Because'''
Jesse Williams	jesse_williams_5440	44.0	33.1	25.2	'''I: Practice hot catch	 Together'''
Jacob Rodriguez	jacob_rodriguez_5861	4.0	25.1	15.2	'''Prepare; Total grow develop 	 Police summer executive contain into'''
Janice Wilson	janice_wilson_0551	54.0	49.1	13.2	'''Garden provide executive	 Dream same Discover program'''
Patrick Stone	patrick_stone_8214	53.0	18.1	48.2	'''Include before	 Your policy Nation way ever understand'''
Ryan Williamson	ryan_williamson_0930	27.0	30.1	77.2	'''(Understand should usually) 	 Chair news and Authority pick participant light'''
Alejandra Howard	alejandra_howard_5726	44.0	69.1	49.2	'''If have; Popular technology compare 	 Center scene quite if'''
Randy Arellano Jr.	randy_jr_0341	22.0	74.1	18.2	'''Time visit	 Blood suddenly water charge interview Star case lot'''
David Mata	david_mata_6295	92.0	93.1	91.2	'''Once conference decision; Half seek 	 Company'''
Sylvia Ruiz	sylvia_ruiz_9356	19.0	52.1	98.2	'''(Do) 	 Parent billion really discover and Rise apply step through age'''
John Hall	john_hall_4042	74.0	83.1	97.2	'''New public different ahead stock none; Produce 	 Another environmental sort represent'''
Scott Green	scott_green_3351	90.0	41.1	65.2	'''Note: Production write	 then Song usually protect positive sure'''
Nicholas Sawyer	nicholas_sawyer_3268	22.0	99.1	35.2	'''Form debate	 Better Item daughter all black pick'''
Anna Brown	anna_brown_8448		94.1	19.2	'''(Their hand) 	 Themselves and Among bag stop way'''
John Austin	john_austin_7038	11.0	6.1	87.2	'''Expect still choice	 Throw ask fear Nature lay investment against support'''
Theresa Erickson	theresa_erickson_3872	70.0	50.1	85.2	'''Decide sometimes cover painting	 Law teach Person customer'''
Tara Gomez	tara_gomez_6557	31.0	69.1	29.2	'''Treat concern; Carry ten stage 	 Report professor agency a'''
Kim Hoffman	kim_hoffman_3166	40.0	16.1	94.2	'''Bag else; Recently worry soon 	 Cause job future movie center'''
Timothy Sullivan	timothy_sullivan_8974	67.0	90.1	65.2	'''Important fact evening	 Grow treat far tend prepare Anything tend environment'''
Tyler Watson	tyler_watson_0327	46.0	6.1	8.2	'''Our possible federal media actually	 Speech daughter Involve continue'''
Brian Bailey	brian_bailey_2964	29.0	64.1	89.2	'''(Few simple) 	 Bed someone customer second and Home interview activity large since state'''
Annette Phillips	annette_phillips_2199	34.0	87.1	86.2	'''Note: Sound wrong whose interesting pass	 then Way board'''
Herbert Mclean	herbert_mclean_1075	85.0	62.1	16.2	'''Front table	 Air move mouth American team Gas'''
Edward Morgan	edward_morgan_5501	57.0	67.1	78.2	'''Sell possible water; Star different much 	 Lay part need rest'''
Sophia Smith	sophia_smith_1194	45.0	62.1	18.2	'''Tree could fall control scientist; Glass south yeah 	 Water'''
Dylan Patterson	dylan_patterson_0575	93.0	2.1	98.2	'''There national decade similar seem myself: Democrat board piece	 Police message stuff movement maybe'''
Darren Manning	darren_manning_6063	59.0	44.1	57.2	'''(Important who) 	 Financial director camera trial and A meeting'''
l	linda_parker_2752	2.0	23.1	66.2	'''Bed else: System race show stuff they	 Whatever result nor'''
Raymond Ford	raymond_ford_0061	62.0	17.1	3.2	'''Entire without: Federal	 Big million hit'''
Mark Short	mark_short_0068	32.0		61.2	'''Say behind discuss morning: Break far create space	 Indeed under station away history'''
Robin Parker	robin_parker_0053	95.0	12.1	71.2	'''Pretty want government: Action whose address	 Range them phone'''
Phillip Williams	phillip_williams_8390	87.0	98.1		'''General their five foreign	 Him Very message notice'''
Brian Franco	brian_franco_8764	69.0	47.1	93.2	'''Note: Fast market tell	 then Note between'''
Carlos Aguilar	carlos_aguilar_2070	21.0	80.1	37.2	'''Official model; Understand follow blood 	 Discuss'''
Bradley Martinez	bradley_martinez_8242	93.0	86.1	9.2	'''Adult: Military student we station	 Along necessary long local'''
Brenda Parker	brenda_parker_6465	87.0	26.1	81.2	'''Share movement building standard American green: Daughter increase	 Among down yeah mission decade'''
Kenneth Benton	kenneth_benton_7669	97.0	50.1	66.2	'''Before carry low drive event reach: Meeting piece receive attack well by	 Would race'''
Lisa Robinson	lisa_robinson_3200	42.0	38.1	34.2	'''Note: Could man moment	 then Later'''
Blake Martin	blake_martin_5853	84.0	58.1	63.2	'''Family: Business herself send particular	 Huge'''
Susan Stanley	susan_stanley_1317	1.0	67.1	99.2	'''Allow discussion	 Real team point you Then finish book'''
Deborah Black	deborah_black_3210	11.0	16.1	48.2	'''(Indicate memory) 	 Human president again and Food commercial soon'''
Heather Miller	heather_miller_0594	77.0	85.1	23.2	'''(Name smile stock) 	 Worker and Mention city'''
Bobby Miller	bobby_miller_4571	79.0	47.1	6.2	'''Government collection enter	 Truth writer game Admit decision mind'''
Beth Barnes	beth_barnes_3072	52.0	100.1	4.2	'''Class; Forward sense 	 Notice move whom'''
Trevor Drake	trevor_drake_7384	94.0	14.1	70.2	'''(Really benefit special) 	 Late either over be and Star'''
