username;name;salary;age;total_count;description
mr_bell_4981;Mr Henry Bell;14.0;88.1;29.2;"""(Sequi ipsum) ; Doloribus and Cumque nemo culpa"""
mohammad_adams_3689;Mohammad Adams;35.0;24.1;74.2;"""Eum eum: Dolor quas; Ducimus delectus"""
bryan_hall_4647;Bryan Moss-Hall;89.0;32.1;35.2;"""Laboriosam sapiente; Vero cupiditate praesentium ; Minima nobis consequatur"""
rita_allen_0866;Rita Allen;88.0;68.1;49.2;"""(Totam impedit doloremque) ; Veniam odio nemo architecto atque and Id expedita"""
pamela_smart_9931;Pamela Smart;37.0;37.1;97.2;"""(Exercitationem quis eveniet) ; Dicta similique officia and Nisi nemo"""
dr_scott_9983;Dr Martyn Scott;90.0;32.1;57.2;"""(Beatae esse) ; Odit and Dolor eius nobis magnam unde"""
steven_smith_2140;Steven Smith;72.0;32.1;63.2;"""Architecto quam; Non magni Consectetur facere ipsa"""
wendy_thomas_9176;Wendy Thomas;18.0;72.1;39.2;"""Consequatur repudiandae minus amet; Vel consequuntur Eaque ipsa error voluptatum"""
miss_fuller_1657;Miss Sophie Fuller;2.0;25.1;27.2;"""(Cupiditate ratione) ; Laborum sapiente asperiores soluta and Quis"""
abigail_hyde_1639;Abigail Hyde;73.0;63.1;42.2;"""Impedit blanditiis: Necessitatibus nesciunt doloribus; Possimus odio neque"""
duncan_ball_7567;Duncan Owen-Ball;51.0;64.1;69.2;"""Quia autem; Doloremque Adipisci nam"""
derek_horton_7269;Derek Horton;51.0;42.1;55.2;"""Perferendis culpa deserunt vitae porro totam: Nam officia; Voluptatem dicta natus"""
jean_sharpe_0846;Jean Sharpe;87.0;99.1;;"""Commodi aperiam: Illo quidem; Soluta"""
caroline_gray_0633;Caroline Gray;96.0;81.1;93.2;"""Note: Aperiam; then Libero voluptatibus nesciunt iusto molestiae sunt"""
ross_barlow_4141;Ross Barlow;69.0;100.1;38.2;"""Voluptates; Illum Distinctio velit"""
kate_cooper_5970;Kate Cooper;96.0;;37.2;"""Note: Inventore harum non; then Pariatur eum aperiam beatae"""
jodie_young_0441;Jodie Young;;28.1;45.2;"""Sapiente quasi quos doloribus aliquam: Iure; Ex officia fugit cumque explicabo alias"""
leanne_holloway_6348;Leanne Holloway;54.0;38.1;11.2;"""(Culpa consequatur reprehenderit velit) ; Accusamus and Assumenda ducimus illum dignissimos ab odio"""
dr_duncan_4549;Dr Clare Duncan;19.0;44.1;7.2;"""Deleniti provident repellat: Aliquam voluptate; Cupiditate qui beatae"""
mr_patel_8651;Mr Albert Patel;51.0;76.1;38.2;"""Repellat cumque officiis; Neque quas qui eaque aspernatur ; Quaerat veniam quidem"""
shane_dixon_6522;Shane Dixon;69.0;78.1;64.2;"""Odio; Exercitationem veniam ; Id eius voluptatum"""
marian_buckley_9044;Marian Buckley;47.0;58.1;84.2;"""Note: Aliquid minus debitis perspiciatis ipsa praesentium; then Fuga exercitationem quia esse cum beatae"""
adam_price_9257;Adam Price;82.0;41.1;44.2;"""Fugit: Dolore voluptates aliquam in; Ullam esse at"""
leonard_hunt_8093;Leonard Hunt;44.0;87.1;66.2;"""(Enim accusamus saepe maiores vero voluptatibus) ; Dolore repudiandae and Possimus voluptate maiores rem eligendi"""
natalie_reid_6371;Natalie Reid;4.0;77.1;45.2;"""Repellat alias impedit exercitationem; Maiores ab sed reiciendis ; Quod veniam maiores ratione"""
emily_hargreaves_9341;Emily Hargreaves;8.0;16.1;46.2;"""(Mollitia exercitationem nostrum itaque) ; Laboriosam voluptas and Aspernatur eveniet"""
shirley_morris_9225;Shirley Morris;66.0;48.1;22.2;"""Blanditiis; Debitis officiis illum ; Dolores modi aspernatur a"""
mr_fletcher_6280;A;34.0;75.1;54.2;"""Note: Voluptas in; then Quo qui quod"""
ms_turner_8998;Ms Kate Turner;87.0;16.1;19.2;"""At facere: Laborum accusantium minima; Ipsum beatae et deleniti occaecati dolorem hic"""
helen_reynolds_9259;Helen Reynolds;86.0;42.1;70.2;"""(Accusantium reprehenderit illo) ; Veritatis quas ullam aliquam sit and Debitis"""
