# This is a comment line to skip
username;name;price;salary;description
yvonne_read_1320;Yvonne Read;47.0;7.1;'''(Rem est) ; Dicta and Incidunt'''
mr_turner_0300;Mr Dylan Turner;41.0;86.1;'''Note: Ex blanditiis voluptate; then Nam perspiciatis delectus'''
dr_freeman_0221;Dr Andrew Freeman;7.0;38.1;'''(Error perferendis) ; Vel asperiores and Eveniet autem repellendus odit et'''
norman_cooper_3522;Norman Cooper;;86.1;'''Nostrum quae; Voluptas delectus temporibus Ratione'''
rita_davies_8328;Rita Davies;80.0;3.1;'''(Consequatur vel voluptatum quasi) ; Facilis vero deleniti and Magni dignissimos'''
dr_ryan_6859;Dr Clive Ryan;71.0;47.1;'''(Eveniet magnam iste ab nobis delectus) ; Cum and Expedita natus'''
jane_elliott_1058;Jane Elliott;34.0;64.1;'''Note: Nesciunt eius sunt voluptates; then Numquam quo officiis earum'''
katherine_bruce_4325;Katherine Brookes-Bruce;34.0;65.1;'''Note: Possimus cupiditate ipsam repellendus; then Explicabo nesciunt'''
carolyn_robinson_5333;Carolyn Robinson;93.0;83.1;'''Magni alias; Maiores quas ; Minima at praesentium nostrum magnam'''
ross_jones_7692;Ross Jones;17.0;25.1;'''(Reiciendis amet) ; Commodi unde and Eveniet aut dolor'''
heather_storey_7794;Heather Storey;61.0;87.1;'''Vitae; Explicabo ; Doloremque sint ratione'''
fiona_carr_1187;Fiona Turner-Carr;20.0;42.1;'''(Ratione aspernatur odit voluptatum repudiandae ipsam) ; Reprehenderit distinctio and Placeat maiores temporibus nulla'''
alison_mitchell_9943;Alison Mitchell;38.0;29.1;'''Eos qui voluptates accusamus quod aspernatur; Distinctio culpa placeat neque minima Praesentium'''
teresa_howard_4410;Teresa Howard;21.0;64.1;'''Voluptatem consectetur rerum; Modi at ipsam ; Hic aut veritatis ullam saepe quibusdam'''
victor_vaughan_6247;Victor Vaughan;17.0;27.1;'''Repellendus praesentium excepturi aperiam quaerat; Reprehenderit aut velit ; Ipsa vero repudiandae delectus'''
david_holmes_6119;David Russell-Holmes;65.0;96.1;'''Hic ducimus harum quod est: Cum; Magnam commodi amet necessitatibus'''
henry_howell_1525;Henry Howell;69.0;55.1;'''Eaque itaque quasi; Voluptatem illo amet Enim sit dicta'''
mr_mckenzie_3736;Mr Liam McKenzie;6.0;65.1;'''Reprehenderit necessitatibus nam: Accusantium nihil illum rerum tempora; Cumque sequi mollitia'''
lauren_nixon_9611;Lauren Nixon;100.0;13.1;'''Quidem adipisci vitae similique saepe; Veniam odio Magni id cumque minus sit amet'''
dr_miller_9944;Dr Megan Miller;40.0;34.1;'''Note: Ex beatae est; then Voluptatem eveniet'''
joan_harvey_1141;Joan Harvey;30.0;4.1;'''Quasi odit saepe placeat repudiandae possimus; Blanditiis nulla ; Deserunt'''
chelsea_hodgson_2186;Chelsea Hodgson;17.0;64.1;'''Note: Consectetur; then Sequi quae'''
ms_henderson_7898;Ms Emma Henderson;47.0;31.1;'''Facere ipsa perferendis doloribus; Necessitatibus minima accusantium eaque Voluptatum id cupiditate molestiae et'''
dr_watson_9851;Dr Aimee Watson;56.0;32.1;'''(Atque itaque sit consectetur) ; Soluta eius and Nostrum quidem illum'''
dylan_gough_3287; ;73.0;14.1;'''Quaerat qui occaecati; Quasi ratione est ; Dolor'''
harriet_smith_0765;Harriet Andrews-Smith;90.0;100.1;'''(Asperiores harum similique tempore architecto) ; Explicabo natus illum cupiditate and Totam ipsa explicabo totam'''
janice_booth_4701;Janice Booth;81.0;;'''Laudantium nam maxime sapiente assumenda sit: Tenetur nulla dolores; Perferendis corporis vero velit totam'''
mr_rice_9272;Mr Brian Rice;19.0;27.1;'''Quis fugit libero maxime; Aut Est nostrum doloremque illum commodi'''
rosie_jackson_8863;Rosie Jackson;91.0;7.1;'''Quisquam vel; Suscipit excepturi ; Voluptates architecto'''
sharon_kelly_6094;Sharon Kelly;89.0;38.1;'''Quia occaecati nobis temporibus voluptatibus: Ipsum; Dicta dicta'''
mr_james_2798;Mr Leigh James;63.0;19.1;'''Note: Ipsa maxime; then Temporibus veritatis perspiciatis excepturi'''
