# This is a comment line to skip
name	salary	price	total_count	summary	note
Sierra Snow	12.0	34.1	8.2	"""(Future scene according) 	 Team and Senior consumer"""	"""(Put probably) 	 Someone seek and Official their"""
Elizabeth Long	22.0	52.1	87.2	"""Speak laugh expect on keep	 Adult Relationship trip event"""	"""Level one certain resource there; Successful while score support around dog 	 Sit"""
Anthony Smith	76.0	26.1	45.2	"""(Carry) 	 Ever tend and Live simply raise"""	"""Wife	 Body Response happen"""
Dawn Bennett	74.0	80.1	40.2	"""Shake understand candidate discuss sport change; Score purpose loss 	 Control face"""	"""Pm color: Itself	 Memory green choice rich"""
James Ryan	53.0	92.1	83.2	"""Various subject	 Easy woman even else Nation fly Republican activity"""	"""Agency everything garden short hundred; National 	 Your would prepare skill"""
Jacqueline Schultz	23.0	30.1	94.2	"""Create	 Painting parent will wonder Case others"""	"""Seat course: Enter fast keep	 Type must"""
 	84.0	90.1	83.2	"""Study use north; You stuff 	 Something hour information enough address throw"""	"""Rather majority they beat; Actually 	 Wonder base age"""
Patrick Berry	12.0	17.1	67.2	"""Short fly represent	 Improve fund More town process walk authority"""	"""White treat alone southern take	 New site civil Among fill value"""
Thomas Moss	79.0	27.1	28.2	"""Including	 Difference professional car customer Pressure common"""	"""Whose: Continue floor agree	 Team arrive say property check painting"""
Dr. Anthony Armstrong	3.0	8.1	32.2	"""Note: Role value card move from	 then Bad much interview garden"""	"""Note: Total vote	 then Couple single"""
Nicole Jenkins	18.0	20.1	66.2	"""Recently stop: Many bank travel	 Reality"""	"""Cup; Dark possible middle manage 	 Nation well effect read machine"""
Joshua Thompson	96.0	31.1		"""Where exactly although	 Woman answer view while Style once back"""	"""Others; Smile her 	 When television share move before"""
Beth Clarke	33.0		93.2	"""Send fly window course: First son	 Pm"""	"""Something organization; Story 	 Who along street"""
Todd Austin	98.0	100.1	17.2	"""Rest standard decide require claim soon; Position current 	 Threat use call radio"""	"""Effect painting	 Available high Trouble take"""
Donald Scott		6.1	13.2	"""Successful white strong: Off try	 I class ok picture certainly"""	"""Try poor	 Amount We forget what generation politics"""
Daniel Lopez	19.0	91.1	44.2	"""Note: Will develop	 then Beautiful memory"""	"""Wonder change audience arm last who	 Matter candidate site member prepare Task knowledge herself land"""
Melinda Page	15.0	92.1	49.2	"""(Most close not while course) 	 Scientist and Line degree choose"""	"""(Man market out) 	 Employee name difficult remember to and Player despite his"""
Tammy Ibarra	56.0	53.1	44.2	"""Body up program middle	 Allow week her two Pay quite evidence offer"""	"""(Attack next world) 	 East itself and Wrong while"""
Timothy Wilkerson	58.0	99.1	98.2	"""Remain: Animal	 Human close"""	"""Nation take: Professor	 Reason environmental"""
Erin Williams	98.0	65.1	20.2	"""Hair: Form outside evening hair piece stage	 Assume"""	"""Apply what	 Those follow Foot stock southern once billion"""
Gina Garza	88.0	32.1	4.2	"""Both wear give ball teacher network	 Stage city later include we Stop yeah"""	"""(They surface side) 	 Exist smile tend discover and Summer enough"""
Thomas Flores	5.0	89.1	3.2	"""(Letter there) 	 Them tree spend and Court interesting husband speak option"""	"""Generation instead authority; Rate view such 	 Popular impact"""
