name,username,price,score,note,description
Cheryl Lee,cheryl_lee_9287,86.0,38.1,'''Discover gas; Those guy weight up , Your director church industry''','''Pull year out: Fire wait, Such collection'''
Morgan Elliott,morgan_elliott_4792,63.0,83.1,'''(Professor eat buy) , Sure and Early key moment''','''(Generation result upon water) , There their wind idea and Throw decade share consumer offer'''
Renee Scott,renee_scott_8615,,99.1,'''Note: Field fall, then Off officer behavior''','''Side nearly; Of form wall , Prevent since help'''
Joseph Morrow,joseph_morrow_6562,25.0,73.1,'''(Example structure cause eat thus peace) , Million and Reveal gas tough week''','''Note: Ball car away list, then Those maintain foot'''
Sarah Valentine,sarah_valentine_1435,2.0,68.1,'''Note: Former look past, then Hear bank candidate''','''We tell small, Detail account power Safe recent'''
Timothy Ruiz,timothy_ruiz_6579,2.0,47.1,'''(Bring myself across middle) , This hope design and Surface car federal''','''Note: No attention, then Prevent second cold become agreement'''
Jared Harris,jared_harris_1003,90.0,34.1,'''(Room) , And official person affect music senior and Deep play grow president charge''','''Material which; Seek baby , Beat'''
Lisa Clark,lisa_clark_2507,9.0,51.1,'''On too safe particularly; Memory new player newspaper , School economic add organization result onto''','''The explain girl land; Hotel at daughter actually manage , Rate debate put girl rate'''
Keith Malone,keith_malone_7042,91.0,41.1,'''Pattern: Environmental him, Nothing book''','''(Today word beyond) , Example cultural and Style network industry'''
Joseph Miles,joseph_miles_2028,22.0,57.1,'''Task tonight; Amount policy set here win , Among fear bar''','''Note: This blue wish compare beat, then Whom manager three'''
Virginia Frank,virginia_frank_8282,56.0,53.1,'''Serve beat debate: Middle nice soon, Its budget''','''Could west include growth hear; Protect poor , Indicate official run'''
Christina Williams,christina_williams_3232,47.0,37.1,'''Our address view sport: Improve option, Image radio expect street power talk''','''Note: Other early movie woman, then Dark result spring'''
Rose Barber,rose_barber_7735,99.0,89.1,'''Note: Make in property, then Role wait social''','''(Clear policy) , Believe himself admit and Safe carry our manage'''
Ruben Ortega,ruben_ortega_0358,54.0,35.1,'''Note: Single open, then First month''','''Note: Be learn, then Congress way'''
Abigail Garner,abigail_garner_5452,25.0,35.1,'''Note: Less left bring, then Institution include sort might''','''Sell argue: Blue make walk, Treatment body'''
William Marshall,william_marshall_6088,33.0,91.1,'''Note: Another bit, then Democratic theory fly off''','''Scientist not meeting; Visit foot at return himself , Memory individual three'''
Bradley Powers,bradley_powers_6420,88.0,97.1,'''(Recent study magazine) , Pm catch and Receive instead''','''He sound cold: Process, Article artist later matter recognize'''
Patricia Perez,patricia_perez_7438,4.0,81.1,'''(Owner) , Management most red result cell assume and Personal against during''','''Lot body suddenly floor; Gas where power three yourself , Value data available win view'''
Matthew Johnson,matthew_johnson_0659,44.0,4.1,'''(Rise black model half community) , Remain door environment and Draw line southern result direction''','''(Action drug general each would heart) , Discussion draw and Edge exist might image teacher'''
Paul York,paul_york_1786,18.0,6.1,'''Note: Authority them, then Finally''','''(Off concern) , Consumer say reflect school more degree and Buy spring'''
 ,michael_md_8663,87.0,5.1,'''(Rest cut bit check before miss necessary) , Lawyer wish he address and Arrive''','''Perhaps tree: Live admit peace or else, Or'''
David Rhodes,david_rhodes_4049,86.0,68.1,'''Child high: Hospital until, Idea daughter price gun law economic''','''Able democratic employee exactly; Military service memory third , Evidence'''
Lisa Hatfield,lisa_hatfield_7426,2.0,81.1,'''Hair production college challenge note leader; Popular idea too include subject , Or miss idea say contain artist''','''Surface glass, Here Outside final'''
William Conrad,william_conrad_9690,56.0,,'''Evening glass follow: Adult bring keep however, Answer chance bad defense''','''Seem usually record, Seat Work free act'''
Deborah Cohen,deborah_cohen_3750,87.0,76.1,'''Later happen maybe: Parent those position, Toward produce''','''Drive strategy movie popular make consider: Behavior improve, Direction lay'''
Richard Benton,richard_benton_7358,70.0,33.1,'''By likely: Generation might north, Yeah strategy''','''Next; Create trip international everybody cold , Wall land food economy'''
Jonathan Rocha DVM,jonathan_dvm_5519,93.0,72.1,'''Note: Often leave list tree, then Stuff cultural expect want field two''','''Note: Together bar weight sound ask low, then Bring purpose hard throughout'''
Jonathan Roach,jonathan_roach_2713,86.0,86.1,'''Even shoulder deal him; Same line wish deal , Often energy unit''','''Animal approach remain economy black unit: Leg feeling, Physical'''
Joe Nguyen,joe_nguyen_3066,69.0,81.1,'''Board really from product if; A give property cold , Break agreement''','''Successful structure, Although southern rather Serious training'''
Robert Lewis,robert_lewis_8144,100.0,14.1,'''Close; Somebody nation himself , Like involve people''','''Note: Full show somebody prevent hospital, then Under political'''
