name;score;salary;rating;review
Dr Damian Fleming;87.0;23.1;84.2;'''Note: Perspiciatis animi occaecati; then Itaque earum'''
Miss Nicole Warren;52.0;;33.2;'''Note: Similique ut sequi beatae; then Quo deleniti'''
Dr Eleanor Nicholls;23.0;48.1;33.2;'''Iste voluptatibus; Soluta ipsum dignissimos Corporis totam unde'''
Rebecca Wallace;42.0;32.1;63.2;'''Suscipit architecto officiis dolor maiores suscipit; Id aliquam quis magnam soluta ; Necessitatibus labore ex'''
Dr Jake Morris;40.0;80.1;68.2;'''Quibusdam; Doloremque temporibus ; Velit nobis'''
Beth Faulkner;83.0;78.1;6.2;'''(Incidunt quae minima) ; Distinctio repellat iusto consequatur and Ab dignissimos'''
Dr Scott Jones;74.0;35.1;67.2;'''Quae rem; Itaque tenetur pariatur optio ipsam cumque ; Voluptatibus tempore ea magni'''
Melissa Smith;82.0;52.1;37.2;'''(Doloribus optio in at) ; Tempora animi delectus aperiam and Nostrum vitae'''
Mrs Amanda Pritchard;98.0;42.1;5.2;'''Incidunt optio ipsam deleniti repellendus: Error amet quos enim; Illum dolor quos'''
Shane Phillips;21.0;79.1;3.2;'''Note: Ratione eveniet; then Assumenda aut quibusdam tempora fugiat illum'''
Leigh Hodgson;76.0;28.1;12.2;'''Sunt qui illum quas quaerat; Fugiat voluptatem Minus corrupti molestiae distinctio'''
Victor Hughes-Walker;88.0;49.1;31.2;'''Qui quo hic; Velit hic minima eligendi aperiam ; Velit ea itaque laboriosam'''
Katy Burrows;88.0;36.1;36.2;'''(Laboriosam corporis non) ; Tenetur and Natus'''
Mr Eric Connor;21.0;99.1;58.2;'''Asperiores ex nisi commodi dolores: Optio ipsum tenetur; Ipsa maiores voluptatem eos'''
Olivia Kaur;44.0;98.1;67.2;'''Voluptatem occaecati temporibus reprehenderit; Eligendi porro distinctio Expedita at quasi odio'''
John Dean-Andrews;8.0;68.1;68.2;'''Voluptates tempore; Minus omnis ut Ducimus quibusdam repellat officia unde animi'''
Lesley Lawson;68.0;60.1;97.2;'''Suscipit neque culpa vero praesentium aliquam: Tempora; Hic'''
Yvonne Day;26.0;73.1;7.2;'''(Architecto incidunt aperiam) ; Ad and Saepe ducimus'''
Daniel Fisher;4.0;4.1;17.2;'''Note: Totam quas unde voluptas; then Repellendus est distinctio blanditiis'''
Vanessa Parsons;61.0;51.1;89.2;'''Repellendus numquam corporis quas totam; Libero nobis ; Reiciendis quas totam'''
Alexandra Wilson;58.0;31.1;65.2;'''Tempora laboriosam hic corrupti; Architecto cupiditate facilis eum corporis Voluptatum maxime fuga eaque'''
Dr Marcus Fletcher;;16.1;63.2;'''Repudiandae aliquid; Odio voluptatum nemo ipsam quo Reprehenderit temporibus exercitationem'''
Olivia Johnson;61.0;70.1;62.2;'''Saepe; Adipisci cumque laborum quia ; Cupiditate eveniet'''
Harry Leach;91.0;27.1;39.2;'''(Iure assumenda) ; Officiis consectetur modi modi omnis and Explicabo ipsum'''
Nigel Lane;13.0;65.1;78.2;'''Et eligendi veritatis: Vel deserunt commodi pariatur ad; Eveniet voluptatum et laborum'''
Mrs Charlotte Allen;28.0;6.1;77.2;'''Animi tenetur; Suscipit voluptatem sed unde eligendi eligendi Sequi impedit esse'''
o;97.0;73.1;1.2;'''Sit nemo dolores dolor; Reprehenderit doloribus Doloribus occaecati'''
Gareth Brown;93.0;97.1;74.2;'''Note: Quia perferendis inventore ullam est; then Delectus illo quod'''
Georgia Lloyd;67.0;18.1;64.2;'''Consequuntur: Corporis optio consequuntur; Hic maxime'''
Jayne Townsend;84.0;10.1;54.2;'''(Voluptatibus sunt illum) ; Dicta repudiandae and Possimus doloremque'''
Emma Evans;51.0;42.1;67.2;'''Amet adipisci doloribus repudiandae: Totam amet; Possimus inventore'''
Abbie Law;98.0;66.1;88.2;'''(Atque cum minus eum praesentium voluptates) ; Totam architecto and Quasi facilis eligendi optio'''
Lisa Giles-Bond;22.0;68.1;16.2;'''Officia; Deleniti iure tenetur eveniet Sint'''
Matthew Cox;92.0;84.1;;'''(Perferendis soluta minus quidem) ; Sequi sequi error temporibus and Repellat aperiam eum'''
Miss Stacey Mahmood;84.0;80.1;96.2;'''(Earum eligendi) ; Quisquam delectus and Vel et et quo harum'''
Elizabeth King;99.0;95.1;73.2;'''Velit voluptatibus rem alias quis; Amet ; Aut est sapiente consequuntur'''
Garry Moore;5.0;19.1;85.2;'''Eaque omnis architecto; Eaque laudantium aliquam magni officiis accusamus ; Quidem ut totam officia quod'''
Zoe Johnson;18.0;56.1;79.2;'''Suscipit cumque; Quas aut aspernatur ; Qui'''
