name	price	score	age	remark	message
Lisa Evans	53.0	86.1	52.2	"""Relate chair	 Allow card much heavy serious difficult Sister account"""	"""Leg live think: Hospital painting	 Hand article feel technology"""
Elizabeth Campbell	18.0	28.1	43.2	"""Note: Too mind fast wife	 then Finally state head"""	"""Miss	 Third with Tv"""
Daniel Roth	64.0	79.1	10.2	"""Operation	 Be city change Arrive fill list course"""	"""Note provide	 Success Sort education big head"""
James Smith	21.0	82.1	56.2	"""Let south: Color whatever thousand	 Assume attack some huge church"""	"""Note: Security TV subject wrong	 then Carry alone rise establish"""
Misty Turner	67.0	18.1	2.2	"""Note: Attack operation	 then Note international old"""	"""Note: Page best	 then Wind maybe campaign"""
Oscar Medina	3.0	31.1	45.2	"""Note: Old cold name analysis	 then Notice around far return picture partner"""	"""Note: Suddenly role natural know can	 then Perform minute"""
Maureen Johns		84.1	47.2	"""Particularly; Material son others 	 Audience audience"""	"""(Probably standard) 	 Though idea left model and Suddenly from"""
Andrew Curry	31.0	53.1	32.2	"""There personal indeed industry: Various without stop	 Speak"""	"""Note: Exactly	 then Glass space police"""
Lauren Casey	14.0	40.1	64.2	"""Free energy; Relate leader each business 	 Them"""	"""Note: Political catch above	 then Owner property financial some"""
Susan Jackson	43.0	64.1	82.2	"""Manage energy improve	 Room Message happy enough eat"""	"""Movement either environment top himself least international; Century resource baby strong 	 Impact area information deal"""
Jessica Martinez	92.0	61.1	62.2	"""Rest long	 Grow listen accept then Forward run perform start"""	"""Benefit view value: Hotel improve	 Use finally each population"""
Robert Kelly	30.0	23.1	35.2	"""(Child program until lose without) 	 Fire protect and Structure imagine every kind"""	"""Choose increase	 Dark property middle back resource Five"""
Rebecca Roberts	95.0	84.1	21.2	"""Note: Clear thousand	 then Quickly our wait week simply to"""	"""Show could herself: Opportunity ask	 Above put reduce"""
Marissa Walker MD	67.0	24.1	44.2	"""Day read general: Dark	 Something really far"""	"""Body rather: Develop blood	 Upon three still daughter effort"""
Karen Mcgee	53.0	38.1	1.2	"""Hear water; Third church 	 Quickly they"""	"""System trade yeah: Tell economy he	 Skill goal"""
Victoria Scott	50.0	70.1		"""(Answer grow) 	 Century instead and Turn"""	"""Note: Top reduce image could bring	 then Call yet"""
Stacy Evans	6.0	37.1	24.2	"""Generation article do possible: Population should rise happy	 Entire state"""	"""Wall billion by wrong; Society first to college though or 	 Road simple actually everyone central"""
Brian Frye	14.0	27.1	46.2	"""Bring; Point shoulder once 	 Possible according part"""	"""Significant four child eight: High each quickly seat	 Already factor"""
Rodney Cummings	29.0	27.1	51.2	"""(Walk mention) 	 Either fine raise and Business science seat choice interesting"""	"""Top test employee	 Under operation something including Player order"""
Nathaniel Mason	7.0	12.1	77.2	"""Feeling space degree than; Around night foot several 	 Opportunity blue involve"""	"""Note: When travel describe	 then Ball describe thousand soon"""
Margaret Williams	79.0	16.1	2.2	"""Through bed nearly attorney: Own knowledge middle	 Sense change open class"""	"""(Without have) 	 Sea and When energy person pull"""
Brent Henderson	84.0	81.1	48.2	"""Rich prepare final choose: Herself answer appear blue	 Cost add"""	"""Such western central: Summer test tough pattern	 Onto painting"""
Carolyn Smith	94.0	54.1	54.2	"""Evidence left population; Quickly north general treat 	 Price help professor"""	"""Between; Certain article paper room 	 Institution lose special"""
Cindy Holmes	91.0	99.1	94.2	"""Note: Night front	 then Tell value about age paper west"""	"""Notice medical off	 Explain real age country other Research three once ability my help"""
Kim Allen	15.0		48.2	"""Congress until enjoy vote: This hot south six	 Artist standard together Republican nor president"""	"""Fund responsibility girl: Against want during report	 Whole so between"""
Larry Sweeney	58.0	42.1	9.2	"""(College level fight short fight) 	 Laugh be and Always organization"""	"""Tax owner really: Card these	 Where another finish plan"""
e	35.0	74.1	35.2	"""Red argue: Who fly which	 Concern for season second investment"""	"""Condition result: Reveal	 Other occur image probably pull"""
Bryan Orozco	44.0	30.1	49.2	"""Note: Chair will	 then Study cost role"""	"""(Enter forget) 	 Hair and Low eye"""
