name;username;price;rating;description
Miss Abbie McDonald;miss_mcdonald_7297;88.0;80.1;"""Hic maiores repellendus; Voluptate consequatur in odio repudiandae Ipsam at"""
Victor Davies;victor_davies_9492;48.0;94.1;"""Odit laudantium eius provident; Rerum dicta natus minus provident dicta ; Dicta beatae"""
Jonathan Francis;jonathan_francis_6218;36.0;;"""(Consectetur fuga iure) ; Magnam modi omnis voluptatum qui exercitationem and Commodi laudantium provident excepturi"""
Mr Bernard Jordan;mr_jordan_4725;79.0;55.1;"""Praesentium tempora iure qui modi ducimus; Officiis in ; Voluptatibus sint odio maxime voluptatum"""
Wayne Taylor;wayne_taylor_5002;75.0;41.1;"""Note: Magnam laudantium; then Maiores itaque"""
Josephine Adams;josephine_adams_8648;14.0;44.1;"""(Aliquam quisquam) ; Dolores nulla and Facilis provident"""
Barbara Dyer;barbara_dyer_8625;63.0;63.1;"""Note: Nihil tempore amet; then Placeat dolores"""
Dr Deborah Jordan;dr_jordan_7167;28.0;51.1;"""(Alias repellat expedita) ; Exercitationem ducimus vero asperiores and Ratione debitis"""
Ronald Sykes;ronald_sykes_7032;62.0;73.1;"""Note: Sunt voluptatem in nobis; then In nulla vero necessitatibus architecto"""
Jenna Brooks-Marsh;jenna_marsh_8505;70.0;40.1;"""Perferendis maiores ipsum: Necessitatibus molestias aliquid qui recusandae libero temporibus; Porro iure laboriosam accusamus voluptatum"""
Jane Heath;jane_heath_4939;37.0;59.1;"""Totam; Totam Aliquam provident quam impedit"""
Trevor Martin-Fraser;trevor_fraser_3833;43.0;53.1;"""Earum voluptatibus qui ducimus; Eligendi ; Totam excepturi maxime saepe"""
Joel Harris;joel_harris_9286;24.0;87.1;"""Quo libero corporis nobis; Inventore minima ; Sequi architecto"""
Kieran Lee;kieran_lee_4503;13.0;79.1;"""Harum mollitia fuga ex; Dicta magnam numquam rerum Sequi ducimus repellendus"""
Carolyn Hussain;carolyn_hussain_2643;;60.1;"""Eius voluptatem in rem quasi; Nisi porro ; Harum tenetur facere esse"""
Melissa Chamberlain;melissa_chamberlain_1413;85.0;2.1;"""Note: Maxime enim autem maiores odit voluptatibus; then Perspiciatis perferendis eos culpa"""
Dr Graham Pearce;dr_pearce_6707;51.0;9.1;"""Nulla aspernatur eos; Asperiores Odit eos"""
Pauline Smith;pauline_smith_6250;15.0;98.1;"""(Quo assumenda necessitatibus) ; Eligendi dolores and Vitae itaque quos distinctio odio"""
Gregory O'Connor;gregory_connor_5711;25.0;76.1;"""Note: Eos corporis consequuntur saepe deserunt incidunt; then Assumenda optio"""
Maureen Dawson-Turner;maureen_turner_7974;10.0;76.1;"""Note: Dicta; then Odit animi cumque"""
Carly Dennis;carly_dennis_3766;56.0;45.1;"""Eius voluptatum omnis: Ullam assumenda repudiandae; Laudantium voluptatem minus itaque"""
William Talbot;william_talbot_8632;7.0;15.1;"""Nostrum; Nostrum aliquam sequi ; Ea cumque culpa cupiditate"""
e;mr_bates_2302;91.0;55.1;"""At fugit ad ea: Reprehenderit possimus et molestias; Quos maxime illum labore"""
Katherine James;katherine_james_4920;76.0;95.1;"""Sunt minus aut soluta; Possimus accusamus Repudiandae voluptates eligendi"""
Louise Fowler-Phillips;louise_phillips_2711;70.0;69.1;"""Laborum ipsa non dolorum; Magnam fuga necessitatibus ipsam Eius unde laudantium"""
