name;price;age;salary;note;remark
Jonathan Acevedo;77.0;66.1;60.2;"""Top protect; Under war especially ; Tv part government seem draw front""";"""Artist factor marriage; Begin grow job seem ; Where project true machine know list"""
Stephen Graham;20.0;10.1;34.2;"""No foot; Mr boy ; Major""";"""Ready truth six: School already; Rich table research myself crime"""
Thomas Olson;11.0;92.1;71.2;"""Possible second when; Its sport spend ; How how""";"""Affect purpose challenge: Church act; Education hair suggest standard realize next"""
Nathan Taylor;45.0;61.1;69.2;"""(Production heart public tree fear) ; Box ground shoulder and Enough""";"""Chair ground south; Summer set worker skin will heavy ; Six whatever sort less"""
Meghan Barr;10.0;54.1;48.2;"""Family only fight model could president; Provide respond later reflect ; Soldier position bar include""";"""Job control: Cell bed top; Try reason"""
Renee Walsh;40.0;82.1;71.2;"""Factor provide learn according; Name provide Almost project leg""";"""Politics; Serve ; Onto growth"""
Alicia Glover;17.0;66.1;34.2;"""(Painting Democrat) ; Consumer and Quickly likely kind without""";"""Key buy; Section window great management ; Big nothing"""
Steven Rodriguez;89.0;96.1;68.2;"""Fight suddenly; Forget bar ; Late fact impact different""";"""Note: However; then Which agent institution movement near"""
Andrew Grant;35.0;33.1;70.2;"""Fall year; College recognize ; Artist machine tough what nothing""";"""Chair born anything among other performance: Relationship speech; Everybody forget"""
Trevor Estes;56.0;63.1;10.2;"""Ten process back describe support; Cover ; Loss production""";"""Whatever vote produce role: Water growth fast worry return; Voice"""
Miguel Huff;40.0;23.1;4.2;"""Police consumer agency: Rich page police else spend; Him office effort""";"""Interview first; Find ; Despite"""
Kristin Bentley;43.0;38.1;;"""Action admit authority kind: Middle pay time; Product court""";"""Senior technology; Word western Evening letter"""
Dr. Joseph Fuller MD;11.0;49.1;51.2;"""(Behind movie realize) ; Support population skin none and Billion prevent""";"""(Nor question pick style) ; Fact leg different research city one and Democratic she surface"""
Angelica Pierce;71.0;97.1;44.2;"""Note: Sound until training owner set; then List situation inside him""";"""Conference fight everybody current score upon: Investment often; If maintain"""
Terri Allen;31.0;75.1;90.2;"""Community method economic where: Education deep sure; Those""";"""Dog wall: That ago enter; Finally put respond leg"""
Suzanne Curtis;100.0;97.1;41.2;"""Agency price bill could: Cell wait; Dinner Mrs from""";"""Note: Sister notice improve; then Science despite maybe"""
John Walker;61.0;24.1;24.2;"""Reveal wide: Mention second both education north; Power seven each""";"""Some full year; Pay Feel public"""
Christopher Flores;46.0;31.1;58.2;"""Organization scene drug: The test senior raise main security; Money owner cover""";"""(Goal civil wait) ; Like table buy through and Reduce child resource peace"""
John Thomas;61.0;9.1;62.2;"""Compare skin several already; Wife pass Direction share teacher order""";"""Leave dark foreign account; Pick ; Run artist return"""
John Weber;93.0;71.1;9.2;"""(Civil know try) ; Today power and Decision bank film political attention sometimes""";"""(East) ; Pressure ground and Take any exactly"""
l;17.0;12.1;67.2;"""Note: Onto baby down; then Charge foreign""";"""Grow medical easy; They produce let list Risk early"""
Kenneth Kim;16.0;11.1;56.2;"""Note: Father leave box law; then Show""";"""Along year white sing attention; Traditional table quickly law how ; Level add gun author word"""
Heather Boyd;55.0;99.1;67.2;"""Able: Mouth; Send design suffer allow data""";"""(Fire account) ; Their and Particularly weight"""
Julie Pope;36.0;17.1;47.2;"""(Speak such) ; Investment that and Himself and at make""";"""Note: Positive word gun; then General vote something"""
Walter Bell PhD;8.0;39.1;14.2;"""Big might shake; Just glass play ; Democratic eight western""";"""Compare; Doctor ; Outside bad"""
Dr. Amanda Giles;69.0;45.1;63.2;"""Note: Drug Republican morning base available; then Subject less its between why test""";"""Example trip side; Now drive parent Ok agent trip among table bank"""
Hayley Burns;24.0;50.1;27.2;"""(Carry answer) ; New stock and Kitchen""";"""Force recognize finish recent civil: Operation baby; Air song"""
Ryan Miller;43.0;30.1;77.2;"""Fly international send large; State positive ; Current beyond late""";"""Phone; Identify movement not Early inside sell"""
Evelyn Johnson;52.0;87.1;60.2;"""Note: Low wife happen around; then Now you affect""";"""Usually; Save long they accept ; Site"""
Sara Daniels;35.0;83.1;4.2;"""Inside remember wall treatment fight movement; Source continue including ; Staff name with everything share""";"""(Gas front tough white play) ; Capital and Appear end building drive"""
Jessica Bell;34.0;64.1;61.2;"""Note: Anything sure never; then Lot everyone area""";"""On along per; May great ; I seven red"""
Hannah Hoffman;63.0;31.1;57.2;"""Cold sister analysis: Affect method game; Be""";"""Dog trial then; Paper second happen Think draw last man"""
Tristan Patterson;25.0;51.1;52.2;"""Happy together improve someone: Director too; Spring anyone everything""";"""Before our; Allow collection Tell measure interest"""
Mark Alvarado;1.0;;87.2;"""Account thought; Figure ; Care Republican sport not""";"""Note: Every look relationship exist; then Cup"""
Kimberly Franklin;73.0;78.1;71.2;"""Class save whole; Law fight eye contain staff ; Style nor individual""";"""Note: Spend newspaper crime rock; then Couple especially also rich"""
Beth Aguilar;56.0;52.1;35.2;"""(Go soldier) ; Old and See standard high""";"""(Series) ; Common note rest reduce and Page knowledge significant focus green"""
Anthony Smith;77.0;49.1;18.2;"""Note: Activity left true; then Support hospital could step force""";"""Rise physical floor peace; Difference performance near can Budget along"""
Robert Jennings;60.0;97.1;3.2;"""Ready child cost huge land; Lot himself very Data quickly""";"""(Red success note store) ; Room and Particularly stop these health study"""
Jeffrey Davis;72.0;58.1;81.2;"""Note: Painting; then Yourself sign""";"""Human agree; Economy goal full everyone sort somebody Audience talk"""
Mary Taylor;50.0;12.1;8.2;"""Note: Off this whole; then Above I agent bill""";"""(Color win break until) ; Laugh and Water save never"""
Jacqueline Harvey;75.0;59.1;72.2;"""His; Congress ; She more""";"""Laugh bring can; Community no method particularly ; Paper most"""
Jennifer Berry;31.0;16.1;68.2;"""Common help: Air fast situation drug while; Say""";"""(Method team indicate pass) ; Off how American and Attorney them"""
Heather Kent;;48.1;73.2;"""Such; Use ; Hospital recent catch look trial hospital""";"""Stage force want approach; She realize Sometimes"""
John Campbell;40.0;23.1;14.2;"""All Mrs; Early of Read particularly""";"""(Member especially picture) ; Space lose you at rich and Education Democrat"""
