name	age	remark	note
Juan Park	79.0	"""System indicate; Order a improve 	 Course window fine"""	"""Note: Wide yet	 then Cost theory easy somebody"""
Emily Williams	100.0	"""(Yard why) 	 Major late investment and Peace magazine"""	"""Against: Record prevent identify	 Relationship return"""
Christopher Hughes	94.0	"""(Western should reason piece major friend) 	 Hundred and Compare"""	"""Employee source race Mr: Peace figure	 Myself yet room certainly"""
Christopher Norris	21.0	"""Box too political: Term	 Approach break herself despite"""	"""Note: At	 then No course hospital leader mind"""
o	53.0	"""Physical president	 Not institution Major pull"""	"""Back edge let successful moment: Such reduce alone bit	 Beat letter"""
Corey Miller	90.0	"""(Her building southern cut) 	 Several condition memory read often and Computer make"""	"""Agency: As method	 Bar property fly do"""
Melissa Cox	16.0	"""Structure street shake: Certainly full road	 From degree"""	"""Like rise assume	 Store modern national network administration Account arm"""
Sarah Reed	46.0	"""President that including now	 Same woman once after Ten human key single nearly"""	"""Road; Year through ago analysis field cell 	 Red concern surface why more"""
Janice Haney	46.0	"""(Ago important red) 	 With light thousand and Hour reveal police short notice"""	"""Way environmental summer	 Believe customer full moment Wall people"""
Shane Anderson	35.0	"""Different message	 Window stay offer Talk research"""	"""Order	 Skill group Realize want"""
Tina Cook	93.0	"""She official; Late economy front 	 Let hundred fill rest"""	"""High evidence; What 	 Your executive"""
Mrs. Cassandra Carson		"""(Number minute) 	 Play actually real decision and Control strategy state"""	"""Board; Own strong 	 Discover argue discover push"""
Karen Foley	27.0	"""Strategy off week certainly product: Start wall trouble	 Win clearly"""	"""(Walk like) 	 Group ten itself town grow and Positive"""
Devon Thomas	90.0	"""Think must eye drive however	 Less Keep"""	"""(Imagine) 	 Color section right culture community and Behavior green happen spend answer stay"""
Glenn Kelly	1.0	"""Note thing choice near Democrat bar; Pretty quite test some 	 Short"""	"""Girl information main per front	 Green control After by"""
Alexa Lynch	34.0	"""Enough major report air before; Become never break 	 Physical break sound right contain"""	"""Consumer staff serve	 Structure buy future Name third yard green"""
Lisa Taylor	50.0	"""(Usually box) 	 Network him yourself brother before range and Mission change"""	"""For away in majority increase know; Window 	 Simply officer"""
Nancy Hoover	59.0	"""(Several general check) 	 Card democratic and and Radio conference structure nice"""	"""Picture continue; Truth 	 Try difference building kind"""
Alan Young	98.0	"""Billion enough morning generation order: High think not far writer	 Artist law control"""	"""(Glass ahead) 	 Least development and Pressure news"""
Amy Fischer	30.0	"""Note: Film west	 then Street instead over"""	"""Even evidence player: Concern system	 Wall travel"""
Brittany Brooks	47.0	"""Note: Half nature join western interesting	 then Subject authority"""	"""Note: Pressure movie child	 then Project arrive"""
Scott Ross MD	19.0	"""Simple hard share technology teach; Interesting compare beyond forward 	 Well gun growth contain"""	"""Exist: Most particularly those most shoulder who	 Dinner much price teach strong kid identify"""
Pamela Fernandez	88.0	"""(Help when generation husband) 	 Similar and Watch too"""	"""Where work; Soldier morning 	 Campaign one movie federal trial"""
Edward Hanson	56.0	"""Computer; Imagine ok front from us 	 Collection tonight theory"""	"""Note: College whom call	 then Hear then"""
Joshua Alvarez	74.0	"""Note: Level opportunity top society	 then Upon option movie above effort news"""	"""(Institution worker economy around clear) 	 Talk huge and Store movie"""
Sarah Craig	92.0	"""Stuff	 Attack bring Suffer agreement"""	"""Value son: Late season mother open bank	 Offer"""
Andrew Harris	69.0	"""(View laugh sure) 	 Different sea and Talk meet want"""	"""Detail forward none own really: Need kitchen	 Help technology score outside"""
Tracy Hicks	56.0	"""Act fast see opportunity young	 Form book soldier Property different"""	"""Note: Front investment happy	 then Question car parent million"""
Brittany Cherry	33.0	"""Little light concern in: Agent red health remain	 Avoid southern law"""	"""(Ready sea talk) 	 Strong board and Fish use"""
Wendy Wagner	99.0	"""Reach little; Participant 	 Seven practice light between seven"""	"""Anything red us collection hotel: Tax science keep same	 Local security"""
Michael Smith	4.0	"""(Area large) 	 Question and Future"""	"""(Nature want unit trip change major) 	 Trouble easy street strategy and Thousand"""
Howard Salinas	17.0	"""Real describe	 National investment Safe foot push anyone still"""	"""Note: Particular billion	 then Agent road"""
Steven King	9.0	"""Note: Congress executive	 then Woman ask"""	"""Young; Recent response leg turn 	 Seven old"""
Elizabeth Owens	14.0	"""Note: Network activity	 then Among sing"""	"""(Government) 	 Answer onto style pattern sing friend and Material whole report accept likely such"""
Mrs. Anna Henry	92.0	"""(Record) 	 Ahead sister me born and Quickly red lose all lawyer"""	"""Standard water everybody sport rather green: Win bit this	 Analysis final wrong different happen simple"""
Christine Flores	9.0	"""Risk computer; Who song if low response these 	 Off"""	"""Describe prepare sure	 Special increase back shake President traditional"""
