username,score,salary,remark
ms_lees_8165,65.0,73.1,"""Note: Veniam recusandae consequuntur mollitia, then Fugiat dolores eveniet"""
rachael_frost_3108,78.0,23.1,"""Temporibus: Voluptatibus reprehenderit accusamus, Corporis iusto rerum amet neque"""
ms_higgins_8445,,14.1,"""Note: Alias at, then A"""
kimberley_hopkins_5620,15.0,88.1,"""Assumenda: Nobis quibusdam nihil, Dignissimos perspiciatis quidem"""
dr_perkins_6914,72.0,50.1,"""Aut nisi ullam, Dignissimos labore eos sed voluptatibus Nostrum esse voluptatum assumenda unde"""
dr_reed_5090,6.0,32.1,"""(Est) , Blanditiis debitis cupiditate quod quod and Expedita quae sit"""
mr_smith_4454,83.0,87.1,"""Enim laudantium totam vel: Eligendi nemo laborum voluptatibus odit, Labore magni adipisci accusamus"""
lauren_smith_0278,17.0,47.1,"""(Incidunt autem quae nemo occaecati corrupti) , Blanditiis quasi cum assumenda debitis voluptatem and Fugit quas fugit"""
kirsty_hall_2813,11.0,84.1,"""(Illum consequatur natus hic inventore) , Esse voluptatum commodi and Esse officia dignissimos"""
mr_sinclair_5589,53.0,55.1,"""Iste ipsa: Eum quam perspiciatis culpa, Sint atque"""
charlie_johnson_4688,66.0,18.1,"""(Excepturi optio ex tempore molestias quos) , Quod iusto id corrupti and Nesciunt delectus fugiat et"""
cheryl_wilson_0539,55.0,3.1,"""Possimus possimus: Veritatis laudantium quam quae dicta sit, Sunt"""
margaret_glover_6687,72.0,94.1,"""Non blanditiis culpa odit, Inventore maxime Voluptates eligendi"""
george_newton_6552,69.0,48.1,"""Optio amet dolorem dolores; Fuga eum quasi beatae , Aut alias provident"""
francis_edwards_8494,22.0,49.1,"""(A pariatur) , Officiis ea voluptatem quibusdam and Occaecati"""
ms_bishop_8124,99.0,10.1,"""Corrupti temporibus totam, Nobis libero repudiandae Repellendus rem dignissimos natus soluta molestiae"""
scott_jones_9333,22.0,49.1,"""Qui delectus natus repellendus; Adipisci , Fuga nulla voluptatum quisquam corporis"""
chelsea_gill_5863,18.0,68.1,"""Inventore impedit dolorem, Fugit excepturi Placeat dolorem dolores vitae neque"""
charles_parkin_1529,56.0,31.1,"""(Temporibus) , Ratione neque natus perspiciatis natus amet and Voluptates a veniam quae ipsa perferendis"""
tom_lewis_9480,84.0,12.1,"""Reiciendis molestias nisi: Provident optio corporis, Nobis est quisquam inventore in"""
zoe_smith_0472,51.0,46.1,"""Suscipit eligendi: Tenetur doloribus illo, Porro culpa eligendi"""
darren_lewis_9452,75.0,7.1,"""Quibusdam minima; Asperiores harum dolor perferendis hic , Natus"""
chelsea_tomlinson_6457,35.0,71.1,"""Quia facilis nihil; Ducimus , Doloribus"""
ms_hughes_2684,68.0,90.1,"""(Deleniti ullam eligendi pariatur dicta) , Magnam animi and Aperiam similique dicta"""
mr_tucker_1727,81.0,72.1,"""Note: Reprehenderit quaerat, then Architecto nam"""
miss_bradshaw_4491,80.0,87.1,"""Inventore esse ex repudiandae: Sequi quam, Quisquam ea dicta repellendus"""
martyn_berry_1820,40.0,14.1,"""Laborum totam aliquid laboriosam qui, Sint hic iure Deleniti illum consequuntur magnam"""
claire_leach_1541,66.0,28.1,"""Nihil corrupti quisquam fugiat et: Expedita enim eveniet commodi, Ex quo"""
lorraine_moss_9640,48.0,40.1,"""Dolor quo: Cupiditate nam ab, Earum similique odit"""
jacob_jones_5088,96.0,87.1,"""Perferendis, Autem Sapiente accusantium quam pariatur"""
robert_hill_3713,91.0,18.1,"""(Consequatur minus) , Labore dicta omnis blanditiis repellat dolore and Deserunt dolore"""
georgina_wall_8470,43.0,11.1,"""Note: In quaerat repudiandae, then Sit enim"""
gerard_jones_9842,86.0,,"""Commodi officia quasi doloribus eaque; Voluptates sint in , Vitae nam tempore"""
