name;username;rating;salary;summary
Jennifer Montes;jennifer_montes_6052;98.0;40.1;'''Bank policy; Seat feel ; Heart whatever year so stuff'''
Courtney Patterson;courtney_patterson_8142;14.0;80.1;'''Note: Traditional book anyone knowledge poor; then Foot exist ground peace'''
Timothy Finley;timothy_finley_1838;29.0;70.1;'''Amount money less; Three grow ; Star six'''
Jessica Scott;jessica_scott_6870;33.0;93.1;'''(In fight unit computer account) ; Federal war language far team spend listen and Law'''
Amanda Logan;amanda_logan_5708;;37.1;'''(Left fill also) ; Cause lay and Itself'''
Heather Guerra;heather_guerra_6627;5.0;88.1;'''Ball bad at which: Deep idea; Lot spring compare question'''
Daniel Arnold;daniel_arnold_4995;36.0;60.1;'''With: Part little fall; Both everybody speech'''
Daniel Douglas;daniel_douglas_1293;91.0;46.1;'''(Value Mr leader its) ; Sense edge election and Buy collection'''
Nicole Kirk;nicole_kirk_4761;36.0;48.1;'''Beat alone; Dinner serve responsibility ; Leader concern tax open guy street'''
Dr. Diane Horne MD;dr_md_0391;92.0;66.1;'''(Condition need) ; Source ball and Win top course'''
Robin Zimmerman;robin_zimmerman_3910;99.0;21.1;'''Cultural may shake; Seat Feeling'''
Andrew Gomez;andrew_gomez_6885;51.0;96.1;'''Note: Report president; then Require'''
D;richard_richards_0220;4.0;14.1;'''Industry cup; Decade fill office ; Question'''
Natalie Bell;natalie_bell_8066;39.0;82.1;'''When according; Eight full woman ; Around like large candidate'''
Brian Nichols;brian_nichols_0469;20.0;98.1;'''(Deal else people boy) ; Eight source degree and Loss read'''
Chase Gaines;chase_gaines_5816;4.0;47.1;'''Who guy name bank: Not few large; National phone'''
Jose Patel PhD;jose_phd_7541;57.0;87.1;'''Note; Campaign effect event protect ; Little woman agent have sort'''
Angela Johnson;angela_johnson_7139;31.0;98.1;'''Off: Nor direction like among; Hold begin'''
Samuel Carter;samuel_carter_1030;37.0;94.1;'''(Bit exist significant) ; After her cause and Another option mother authority less down'''
Calvin Jordan;calvin_jordan_2293;66.0;35.1;'''Notice third: Reveal despite daughter; Note standard land'''
Herbert Hill;herbert_hill_4841;47.0;29.1;'''Explain; Strategy western fish ; Situation claim anyone'''
Mary Sutton;mary_sutton_1441;97.0;74.1;'''Point success amount have area go; Position effect collection however ; Than open amount other appear'''
Victor Campbell;victor_campbell_0056;69.0;78.1;'''Far hold international walk kind; Call cause hand ; Fly challenge'''
Dennis Sullivan;dennis_sullivan_2036;78.0;30.1;'''Wind else: Particularly economic speak lawyer ok college; Tonight meeting already cell relationship'''
Derek Rivas;derek_rivas_8050;90.0;72.1;'''Note: Painting anyone outside natural; then Purpose free thing court media should'''
Daniel Todd;daniel_todd_3774;26.0;27.1;'''Away office though: Owner dinner police put person scene; Onto only stand'''
Alison Reed;alison_reed_1478;30.0;53.1;'''(Fight word air threat) ; Less compare whatever and Budget us maintain act run director'''
Jeffrey Baxter;jeffrey_baxter_5685;71.0;88.1;'''Every; Return leader ; Near hope agreement'''
Alicia Rodriguez;alicia_rodriguez_0310;68.0;45.1;'''Student apply them; Second local treat magazine here Make sense while focus guy'''
Ronald Lara;ronald_lara_0740;63.0;84.1;'''Drop level; Effect ; Home middle report already want'''
Jake Craig;jake_craig_6158;74.0;50.1;'''Store start mind point yourself born; Ground life address ; Available responsibility'''
Michael Stafford;michael_stafford_7016;34.0;32.1;'''Available under investment; Morning trial Focus arm'''
Michael Hines;michael_hines_8257;33.0;92.1;'''Ever value each cause: Subject; Manage figure'''
Edward Smith;edward_smith_6913;94.0;;'''Hear account always much name; Mr than dog Follow record gun other real'''
Taylor Pena;taylor_pena_6700;7.0;50.1;'''Herself why the; Series business reason child many Bag need product'''
Kevin Walker;kevin_walker_0677;2.0;29.1;'''Since teach tend: Hour; Cover knowledge question'''
James Nelson;james_nelson_7613;32.0;56.1;'''Guess sea popular son between: Key; Across part interesting'''
