name,username,price,note,comment
A,dr_kennedy_5054,35.0,'''Repellat itaque enim; Eum nesciunt , Perferendis hic''','''Fugiat aperiam; Ducimus velit doloribus adipisci iusto laborum , Repudiandae alias provident possimus'''
Dr Brian Francis,dr_francis_3528,86.0,'''Note: Ducimus libero, then Fugit blanditiis odio amet a iste''','''Doloribus officiis ipsam; Aspernatur , Iure autem inventore ut'''
Amanda Ford-Lowe,amanda_lowe_1693,93.0,'''Note: Similique consequatur laboriosam, then Eligendi''','''Ducimus cumque molestias autem; A enim sed repudiandae , Facilis ut accusantium'''
Jason Lewis-Wilson,jason_wilson_8935,65.0,'''Inventore: Exercitationem consequuntur laborum nostrum repellendus, Error''','''Vero; Libero at , Vitae facilis amet'''
Amber Clarke,amber_clarke_9775,81.0,'''Sunt consequuntur, Quae est Tempora nisi velit''','''Note: Cum eum, then Aspernatur dolorem praesentium'''
Luke Pritchard,luke_pritchard_6300,33.0,'''Repudiandae unde ipsam; Laborum debitis porro sunt necessitatibus perferendis , Odit minus''','''Note: Repellendus fugit voluptatum nobis excepturi, then Aspernatur tempora a ad nemo'''
Mrs Zoe Anderson,mrs_anderson_6138,74.0,'''Deleniti, Corrupti pariatur asperiores Aperiam quibusdam nihil''','''Adipisci mollitia iste eos laudantium, Corporis deserunt nulla Mollitia enim nam'''
Donald Moore,donald_moore_1656,,'''Voluptas occaecati eaque quis blanditiis: Rerum, Aspernatur provident consequuntur repellendus alias sit''','''Note: Id officiis officiis ea, then Molestiae libero libero necessitatibus'''
Leah Lane,leah_lane_3895,69.0,'''(Vero fugit) , In reiciendis dolores impedit and Rem labore itaque facere dicta''','''Note: Rerum, then Perspiciatis dolores veritatis'''
Martin Webb,martin_webb_7537,33.0,'''Ex quis, Minima Incidunt vitae repudiandae''','''Exercitationem, Sit consequuntur dolorum accusantium doloribus Accusantium ullam nihil ipsam eveniet'''
Linda Clarke,linda_clarke_8747,91.0,'''Note: Incidunt accusamus ut repellendus, then Facere dolorem recusandae''','''(Repellendus odit) , Aspernatur molestias ut and Nostrum quidem esse consequatur quas'''
Marilyn Parker,marilyn_parker_4513,55.0,'''(Voluptatem reiciendis officiis corrupti quam) , Ut commodi ad and Ullam''','''Rerum est ullam, Commodi Rerum distinctio'''
Annette Wilson,annette_wilson_6037,12.0,'''Note: Consequuntur beatae dolorem, then Mollitia laudantium autem similique''','''Saepe: Aperiam placeat aspernatur, Alias dolorem minus'''
Clifford Edwards,clifford_edwards_9773,8.0,'''(Cumque eius quae maxime) , Nemo placeat non and Itaque accusantium unde aliquid debitis''','''Note: Minus ullam sapiente dignissimos earum, then Laborum nesciunt velit reprehenderit quae'''
Francesca Adams-Fisher,francesca_fisher_0943,7.0,'''Quidem numquam: Eveniet, Facere ea dicta veritatis''','''Note: Veniam ipsum temporibus, then Tempore'''
Abigail Jones,abigail_jones_4442,75.0,'''(Recusandae ducimus) , Sed beatae alias maiores and Cumque non reprehenderit''','''Nobis libero ea, Repellat porro Sit consequatur'''
Ashley Taylor,ashley_taylor_2689,27.0,'''Iure ea odio: Ducimus beatae laborum temporibus officia, Sint in sed occaecati sint''','''Voluptatem accusantium cumque praesentium culpa, Perspiciatis numquam Repudiandae excepturi'''
James Mason,james_mason_1117,72.0,'''Perferendis expedita, Vel veritatis doloremque doloremque Ipsam corporis quasi reprehenderit delectus''','''Note: Officia consequuntur cupiditate porro, then Vitae quod neque facilis odio'''
Mr Julian Henry,mr_henry_2945,35.0,'''Note: Quae itaque, then Reprehenderit''','''Note: Dolores animi, then Voluptatum corporis iure'''
Dr Elliott Patel,dr_patel_2508,64.0,'''Ipsum perferendis, Cum Accusamus vitae''','''Et officia dolore facere, Praesentium optio Quod incidunt repellendus'''
