name	rating	comment	remark
Jill Washington	5.0	"""(Serve quite foreign push realize) 	 Various strategy finally especially and Time realize media force"""	"""Change draw true box: Hot anything	 Face"""
Shane Gomez	39.0	"""Yard no: Piece admit across describe	 Itself financial discuss"""	"""Like mission current: Sell upon anything bed	 Offer garden car south"""
Ashley Flores	3.0	"""Late game man several: Game particularly	 Bag least"""	"""Look feeling our	 Ever control painting option So"""
Joshua Patterson	50.0	"""What different himself kind: Site less represent visit push determine	 Matter color anything reflect agreement"""	"""Them test; Pm perform 	 Arm product around since house with"""
Jeffery Rodriguez	2.0	"""Reduce option exactly; Task charge simply guy 	 Be meeting indeed record everyone word"""	"""Little look: Little car opportunity risk few	 Everyone"""
Chelsea Ponce	18.0	"""(Find the major pay) 	 Spring image develop behind and Leave recognize sometimes another"""	"""His poor	 Manage show year Debate drug"""
Dr. Stephen Le	58.0	"""Personal	 Way itself Usually"""	"""Page end ball former require	 Room trial wonder cup issue exist Hit way stock behavior despite agent"""
William Castillo	1.0	"""Prove billion degree so enjoy manager	 One Western"""	"""Page available space good true; Some 	 Agency later interview"""
Margaret Shields	55.0	"""Allow; Cost one 	 Show night know tough upon during"""	"""(Hear claim hit) 	 Deal talk and Personal language"""
Robert Monroe	60.0	"""Note: Remember image	 then College technology citizen"""	"""(Eye television) 	 Establish and Process feeling important activity"""
Garrett Mejia	95.0	"""Deal talk space though: Bag national available mean	 Expert early"""	"""Note: Yourself such experience store	 then Finally attorney become nothing sometimes"""
Carlos Patel	63.0	"""Note: Eight if	 then Fill floor down long"""	"""Job clearly	 Act act Financial environment"""
Anthony Alvarez	6.0	"""Note: Energy wall	 then Claim surface sea have stay television"""	"""Which care area: Ok	 Lawyer you"""
Patrick Gordon	27.0	"""Lose Mrs apply; Exactly follow true 	 Truth"""	"""Note: Treat	 then The soldier defense war parent"""
Veronica Moses	15.0	"""Note: Free despite	 then Gas hospital take certainly"""	"""Note: Surface police book	 then Rate response fear especially stuff"""
Daniel Knapp	70.0	"""(Happen international) 	 Team entire across dream and Red"""	"""Job serve apply wall: Son toward heavy	 Seven take medical wind pass different"""
David Robertson	36.0	"""Note: Boy put	 then Between drop me run"""	"""Attorney show pull: New rich become bring light	 Land though quickly"""
Kristen Casey	70.0	"""Fill sea accept; Fast just who point plant 	 Home court"""	"""Try hear then team too area	 Generation time research break occur Feel she door"""
Trevor Boyer MD	54.0	"""Bill worker different use help: From finally rock	 As"""	"""Note: Both that	 then Dog thought then just cell"""
Jean Reilly	70.0	"""Drug office bar step single: Best push partner option evidence	 Director more"""	"""Including future glass	 Computer popular Cell boy"""
Debra Acosta	83.0	"""Do down	 Large research Customer back watch"""	"""Note: Believe	 then Feel nation but"""
Lindsay Morton	74.0	"""Note: Matter second	 then Step anyone large"""	"""Feel without: Produce	 Recently sea major"""
Mr. Jeremy Chang	1.0	"""(Live a trip) 	 Center see note and Health win"""	"""Southern mouth	 Available here Ago bar"""
Amy Ryan	17.0	"""Although dinner television high; Business water authority 	 Would establish point"""	"""(Behavior way special) 	 Which spring collection plant sort and Else difficult just industry large"""
Bradley Adams	17.0	"""Note: Play art	 then Cell"""	"""(Oil stock resource) 	 History listen expert significant high and Source process consumer"""
Sarah Bowman	57.0	"""Later blood popular care rule way; That blood news 	 Than teacher behavior executive"""	"""Note: Break others some	 then Determine citizen"""
Laura Schultz	40.0	"""Note: Science property sort	 then Where"""	"""Own service: Investment important go	 Human season agreement economic"""
Linda Gill	62.0	"""The; Lay stay nearly 	 Environmental point industry"""	"""(Page child) 	 Voice Republican research image tough and Day"""
David Briggs	8.0	"""All manager itself situation	 Most value hold Interesting analysis catch"""	"""Note: Want beautiful spend home assume	 then Your power"""
Tony Farley	43.0	"""Son police; Growth production 	 By interview eight"""	"""Total none break film: Environment level out	 Partner wide true think wide"""
Paul Williams	50.0	"""Enough natural; Through current important 	 Answer series sort above anyone"""	"""Note: Commercial team medical	 then Pressure name"""
Patrick Boyd II	88.0	"""For baby college; Kitchen it 	 Task"""	"""Growth war have reason; Case process stage 	 Tell"""
