name	username	salary	total_count	review	summary
Jacob Hogan	jacob_hogan_8261	31.0	19.1	"""(Her reach) 	 Cut I friend and Than great Congress party"""	"""Note: Out lot best table create rich	 then Tend"""
Alexandra Ramirez	alexandra_ramirez_3259	13.0	59.1	"""But top eye clear today: Music ahead speech	 Fund detail"""	"""White meeting serve: Price	 Your radio show"""
Willie Jones	willie_jones_2036	88.0	58.1	"""Popular choose player better: Inside beyond	 Note should half commercial"""	"""Few before: Step claim military wrong marriage	 Ever cold evening responsibility yourself"""
Dr. Hunter Murray	dr_murray_7383	76.0	57.1	"""Note: Last manager yeah	 then Free oil start line support hair"""	"""Manage community camera; Reveal compare 	 Treat situation push"""
Lori Brown	lori_brown_3432	29.0	18.1	"""(Operation class) 	 Article enough current and Brother huge rest politics so"""	"""Despite population free	 Visit measure model Represent"""
Michelle Willis	michelle_willis_9935	98.0	50.1	"""Note: Better daughter	 then Simply"""	"""Note: Deal	 then Space oil black"""
Joseph Acosta	joseph_acosta_6719	75.0	21.1	"""(Upon worker) 	 Address couple wish free offer and Music"""	"""(Question alone perform) 	 Everything camera and Modern"""
Charles Vargas	charles_vargas_0641	23.0	21.1	"""(Small move because never election more) 	 Over and Low understand onto collection"""	"""Note: Worry plant	 then We former speech"""
Renee Hall	renee_hall_5322	59.0	94.1	"""Run in; Education same see 	 Effort language general treat"""	"""Tonight defense support history stage; West again 	 Threat"""
Alex Turner	alex_turner_5010	93.0		"""Now just garden behavior: Voice whose	 Apply yard food left successful"""	"""Soon school house; Method lawyer model industry speak 	 Reduce mean"""
Veronica Floyd	veronica_floyd_1885		95.1	"""Why	 Run song each see East remember"""	"""(Right two rather artist soon) 	 Source everyone magazine and Happy"""
Vanessa Downs	vanessa_downs_8224	67.0	10.1	"""Activity much measure	 Already especially Our assume mind"""	"""(Majority stage population) 	 Sign much remember and A ball"""
Amanda Miller	amanda_miller_3679	41.0	14.1	"""(Make in) 	 None the modern much floor and Win trade"""	"""(Significant) 	 Situation model blue and Wide investment happy easy animal"""
Sheila Ramos	sheila_ramos_2207	35.0	68.1	"""Factor relate; Down top star hope 	 Direction prove later serve"""	"""Risk senior high smile: Property concern	 Total authority eye school"""
Kelly Hunter	kelly_hunter_5388	81.0	7.1	"""Note: Put up allow near	 then Nature indeed participant"""	"""Mean control test want; Mr plan cost similar 	 Low late war"""
Hannah Hall	hannah_hall_5467	11.0	35.1	"""Born poor site audience; Medical war 	 Apply his"""	"""(Collection pick offer) 	 Day hair and Tree answer"""
Jonathan Houston	jonathan_houston_4553	93.0	75.1	"""Note: West apply skill difference time test	 then Onto let above serve car"""	"""Pressure stop show; Attorney able 	 Republican same interest cold"""
Robert Schneider	robert_schneider_3462	33.0	2.1	"""Road: Company level	 Home short"""	"""Career whose; Day actually father mean worry 	 Score ready political worker"""
Lori Wood	lori_wood_7530	5.0	93.1	"""Education; Through rather 	 Little"""	"""Middle nearly either material: But test threat	 Series send case travel"""
Jerry Brooks	jerry_brooks_0414	63.0	71.1	"""(Most) 	 Matter and Minute easy section"""	"""Note: Operation former attack source large growth	 then Window"""
Kent Johnston	kent_johnston_1607	68.0	78.1	"""Interest few blood enter	 Himself law ball Property road"""	"""Drop such: Order maintain inside meeting move	 Tree"""
Matthew Harris DVM	matthew_dvm_4251	74.0	81.1	"""Note: Republican	 then Reality"""	"""Note: Industry	 then Interest identify relate"""
Joshua Grant	joshua_grant_2881	28.0	73.1	"""Note: Republican foot hotel forward least	 then Far street rest"""	"""Thus situation standard tell third; Home so want 	 Speak just"""
Timothy Martinez	timothy_martinez_1220	2.0	83.1	"""Experience its; Run also 	 Something play language"""	"""Note: Cup beyond few second	 then South find"""
A	benjamin_figueroa_8666	2.0	94.1	"""(Record exactly standard writer each public) 	 Or color and One information left account officer participant"""	"""Why prepare over race job; Lead kind 	 Region network production table"""
Shawn Gomez	shawn_gomez_5978	87.0	81.1	"""Study any leave success; Surface or add could perhaps 	 Economy mission"""	"""Note: Tend front	 then Go"""
