username;name;salary;rating;age;note;comment
leslie_davenport_4100;Leslie Davenport;6.0;73.1;58.2;"""Note: Admit kid work middle; then Page environment table stock""";"""(Meet talk) ; Development occur technology and Create drop"""
jared_walker_5623;Jared Walker;14.0;5.1;42.2;"""Despite; Husband main finally money ; Technology add it red price""";"""Thousand expect; Seem hear science Difficult decide"""
margaret_stewart_6356;Margaret Stewart;5.0;26.1;21.2;"""Individual whole process maintain her; Newspaper business System reach side ground economy""";"""Represent; Add attack ; Defense my election"""
david_larsen_6699;David Larsen;76.0;77.1;86.2;"""(Senior member crime other newspaper) ; Part probably voice decision and Situation yet successful""";"""(Early) ; Me position lot and He behavior heavy business"""
michael_frazier_5863;Michael Frazier;25.0;71.1;15.2;"""Force; Argue type Mr care office term ; Section rate""";"""Listen similar open dinner; Case American Similar modern base just eye"""
kristie_young_3638;Kristie Young;56.0;85.1;68.2;"""Break religious support author: Look hospital eight; Building tree back pressure evidence""";"""Reflect statement choose; People because including Various speak consumer"""
travis_davis_3250;Travis Davis;9.0;44.1;10.2;"""Firm break: Move our; Worker lawyer""";"""(Democrat family budget) ; Never system until and Down kid"""
gina_forbes_0924;Gina Forbes;67.0;78.1;2.2;"""Born leg; Answer Husband""";"""Suffer enough or: Involve practice claim bring; Bit reflect"""
shawn_cline_1572;Shawn Cline;97.0;15.1;35.2;"""Provide human; Every traditional ; Weight push""";"""End between; Town local Give even"""
matthew_lester_7638;Matthew Lester;80.0;65.1;58.2;"""Note: Baby job; then Never month when""";"""Note: Major action; then Right true end story culture"""
james_marquez_6047;James Marquez;15.0;57.1;79.2;"""Worker: Else its; Reality window""";"""(Your event beyond) ; Indicate agent animal and Middle despite myself"""
donna_murray_3318;Donna Murray;39.0;;70.2;"""(Explain above thousand billion marriage) ; With mother option scientist family professor and Training share""";"""Program down; Occur save Inside Mrs"""
tyler_wiley_3085;Tyler Wiley;95.0;11.1;43.2;"""Note: Guess best president grow; then Everybody win""";"""Drop begin nice: Former dark interest miss line drive; Television"""
john_gomez_2068;John Gomez;84.0;61.1;12.2;"""Manage: Develop; Both""";"""Note: Entire well their establish personal; then Something arm"""
benjamin_hunter_2955;Benjamin Hunter;100.0;11.1;43.2;"""Pass street simply glass; Time they become mouth reveal Sure coach pretty""";"""Note: Believe join discover pay employee; then Hope"""
laura_hays_2499;Laura Hays;36.0;48.1;56.2;"""Note: Run total leave local; then Traditional former play actually power occur""";"""(Red agreement) ; His can gun and Among market"""
