# This is a comment line to skip
username;salary;total_count;score;comment;summary
joseph_lyons_4059;33.0;76.1;27.2;"""Expert for; In scene service ; Rich lay see phone decade question""";"""(Store) ; Style wear and Difficult allow fish"""
pamela_burnett_9722;47.0;23.1;7.2;"""(Bag) ; Discussion major represent about by seat and Worker he teach land""";"""Need energy already hope: Baby material worker fine; Writer either"""
elizabeth_miller_7538;21.0;24.1;30.2;"""Note: Exist; then Place like operation""";"""Note: Responsibility not none party future minute; then Blue discuss miss too"""
megan_boyd_0489;54.0;72.1;23.2;"""(Situation hold) ; Financial stay such and Fight notice social base compare trial owner""";"""(Forget require) ; Memory deep and Concern officer man"""
megan_hubbard_7582;42.0;33.1;69.2;"""(Game race) ; Family consider and Young establish may nature tax ask""";"""Note: American they relate too; then Employee"""
sierra_owen_4284;4.0;3.1;44.2;"""Note: Glass image money base matter; then Miss wear""";"""Cell laugh goal; Cut black but ; Carry like west song majority"""
brittany_barnes_0512;6.0;59.1;66.2;"""Measure station employee too of trip; Then ; Task relationship all draw""";"""(Garden) ; Population position class and Visit machine short"""
david_allen_1528;64.0;36.1;97.2;"""Note: Without just candidate; then Prove describe mean machine population hundred up""";"""Note: Their reason paper ask; then If"""
hunter_love_1610;78.0;98.1;87.2;"""(Wife kitchen when) ; Stop true and Choose long eat support sound""";"""Us civil certain: Commercial finish; Everyone note"""
cody_rowe_6146;58.0;21.1;52.2;"""Total gas market call sure: Leader growth source; Agree""";"""Economic cut camera thought: Both science opportunity office; Decade statement keep serve long"""
kathy_dodson_3232;61.0;28.1;13.2;"""Note: Lawyer no; then World arrive body set book""";"""(You skill child) ; Agency measure and Four send check reflect fall"""
bobby_woodward_9134;40.0;8.1;21.2;"""Minute coach forward; Hear Fill kitchen throw""";"""Himself establish trouble; Focus article national Couple though"""
john_wright_5138;56.0;97.1;17.2;"""Heavy kind easy feel create: Sort administration wish; Above push""";"""Meet picture range: Base; On century"""
