# This is a comment line to skip
username;total_count;score;description
yvonne_garcia_5267;75.0;99.1;'''Note: Director ok statement; then She'''
michael_lawson_1934;10.0;75.1;'''(Picture time American hope) ; Second major customer able and Opportunity difference'''
shawn_lara_2605;26.0;24.1;'''Responsibility use: Project brother; Plan family build early'''
juan_warner_8873;85.0;3.1;'''Agree expert; Seat someone or Produce arrive'''
elizabeth_rodriguez_6021;36.0;10.1;'''Really various maintain; Beat market ; Front old'''
katie_long_7853;70.0;99.1;'''(Case skill discussion one provide) ; Vote man along and In care her song'''
mercedes_parks_8536;11.0;6.1;'''Take fly hear small century detail: Price see film; Attorney medical watch able window'''
dr_gray_7379;48.0;87.1;'''Increase painting ground wish; Capital choose ; Spring alone operation picture organization future'''
christian_harris_7582;83.0;34.1;'''(Foot woman for) ; Answer science and Face'''
ronald_russell_8146;42.0;49.1;'''From much; Hand yes ground ; Process send since'''
nancy_arnold_4813;12.0;93.1;'''Great strategy; Thank class Scene bit authority site develop size'''
eric_tanner_2059;63.0;90.1;'''(Rock most say now) ; Peace not and A administration'''
debra_jackson_0795;9.0;;'''Operation current; Sing sometimes four ; Hold simple tax task difficult line'''
jacob_sosa_2365;1.0;13.1;'''People so; Yet ; Speech plant budget do Congress sense'''
alexandra_smith_4552;12.0;15.1;'''Note: See; then Myself customer'''
richard_dds_3892;3.0;86.1;'''Offer; Consumer past interview position Imagine their nation'''
tina_powers_6521;23.0;64.1;'''Most: Space respond middle; Cover factor'''
jason_gomez_9790;;79.1;'''(Energy tell think) ; Whole step take and Item'''
taylor_banks_8491;64.0;45.1;'''(Republican break want) ; Available professional few young and Fight'''
joseph_roberts_3480;42.0;9.1;'''(Quality late bed) ; Design set machine and Hope anything him customer'''
alexandria_walker_1976;41.0;91.1;'''Staff couple only; Despite buy well ; Race add soon mission bed trip'''
charles_powell_2943;5.0;86.1;'''Article modern understand need issue: Group work them color poor; Center'''
joan_sandoval_8744;83.0;25.1;'''Note: Practice wear future; then Support reason'''
jerry_brown_3977;41.0;33.1;'''Season travel; Cell site realize single natural The store high give'''
john_stone_7820;79.0;17.1;'''Seem piece win; Grow example sometimes cup ; Final body audience'''
brian_hogan_8649;24.0;90.1;'''(Sing) ; Century think and Rather account painting'''
james_patel_9645;56.0;23.1;'''More; Theory certainly economic difficult Wear tend'''
harold_medina_9715;89.0;44.1;'''Everything already finally: Health red; Between move buy home'''
whitney_md_8864;58.0;95.1;'''Star best; Off into nature anyone moment Almost paper'''
ryan_rodriguez_3527;90.0;19.1;'''Tell with time participant beat; Stand second local leader wind ; Bed south friend now weight dinner'''
michael_hunter_2911;59.0;53.1;'''Himself boy hot laugh: National point; Know cold huge'''
bradley_whitney_2359;70.0;93.1;'''Note: Nice popular; then Offer particular could range'''
julie_mills_4570;34.0;97.1;'''(Per toward hospital) ; Walk political race and Budget religious too already'''
