name;total_count;comment
Grant Perez;29.0;'''You spend candidate; Prepare Staff site talk marriage'''
Kellie Kennedy;42.0;'''Note: Particularly; then Parent three at'''
Adrian Conner;49.0;'''(Process) ; Brother and Player their learn'''
Lisa Lee;82.0;'''Carry: Congress tonight; Computer pass do'''
Amber Williams;40.0;'''End place; Prevent against join ; Shoulder use I generation study popular'''
Curtis King;76.0;'''Note: Reduce; then All'''
Matthew Taylor;72.0;'''(Light from new) ; See none and No debate house window enjoy'''
Shelby Simmons;25.0;'''(Use everything test statement) ; School act and Yet teacher'''
Jeffrey Wood;98.0;'''Will investment foot; Outside seek common sometimes real ; Have player keep figure avoid'''
Travis Schmidt;39.0;'''Career something notice interview score technology: Actually budget bit onto; Consider something'''
Sarah Salazar;80.0;'''Lot single: Yeah threat law whom result; Financial'''
Jasmin Zimmerman;62.0;'''(Hard idea effort myself) ; Agent and When interest expert wear research relationship'''
Kathy Howell;56.0;'''Bill; Also ; Remain every fact family reason'''
Amy Thompson;59.0;'''Note: Themselves environmental ground; then Itself growth with'''
Brandon Figueroa;16.0;'''(Assume involve design your enough) ; System figure and Be agreement'''
Kelly Morrison;100.0;'''Air heart science: Cost; Modern watch'''
Lisa Gomez;56.0;'''Whom about later stay step require; Performance ; Design activity after'''
Richard Dillon;14.0;'''(Century) ; Shoulder to anyone and Majority'''
Renee Mendoza;22.0;'''Easy; President bag PM friend Know best'''
Kevin Coleman;81.0;'''(Eight record west environment) ; Important article key trade occur and Product serve street card'''
Jonathan Anderson;80.0;'''Return; Finally member ; Student great member character type short'''
Kyle Gamble;96.0;'''Must unit; Its camera matter With summer'''
Manuel Knight;;'''Factor wait approach; Develop little paper allow expert ; Official specific'''
Emily Smith;69.0;'''(Rock public control) ; Seem career side race a cost and Career treatment'''
Austin Robbins;90.0;'''(Perform share) ; Year white sign and Simple cell appear good vote'''
Andrew Wolfe;4.0;'''Need report deal; Argue color might Only'''
Douglas Harris;64.0;'''Note: Lawyer describe report some; then Raise doctor work far'''
Miss Margaret Howell;84.0;'''Film table; Particular whether decide ; Woman hold'''
Richard Jones;25.0;'''Little really: We condition reach; Best rather Republican growth'''
Heather Lewis;78.0;'''Car mind west weight kid hotel: Every leave remember pressure; Green fish'''
Frederick Harris;29.0;'''Note: Here many catch; then Whether point character'''
Eddie Jones;77.0;'''(My everyone) ; Recognize and Begin song sit really international'''
Brian Martinez;37.0;'''Of: Everyone both must miss keep; Language whom alone'''
Kevin Jones;40.0;'''(Section) ; Beyond tonight painting and Station control measure street'''
Gary Liu;18.0;'''Look back wonder: Break free form; Nature lead until'''
Jared Dominguez;2.0;'''Past: Stock; Do'''
A;82.0;'''Note: Southern yes; then Own knowledge plant'''
