username,age,salary,total_count,note,message
kara_chan_9821,53.0,12.1,62.2,"""Note: Go picture section community, then Memory up operation operation""","""Outside: All push several system yard, Choice"""
charles_myers_3069,87.0,12.1,25.2,"""(Like pattern) , Artist policy and Cause same account""","""Last from either; Son , Street religious water"""
suzanne_davis_2518,22.0,93.1,81.2,"""(Yard popular central seem huge) , Full full majority cause true and Politics amount skill Mr resource""","""Note: Break offer report four camera, then Next message view business number"""
john_peck_3835,88.0,40.1,22.2,"""Red claim name institution; Resource once , Loss leader understand something""","""(Capital scientist night easy poor) , Stuff test next and See"""
brandon_villarreal_5388,18.0,75.1,10.2,"""Doctor develop; Tonight billion within difficult , Century appear why really approach time""","""Note: Field here responsibility, then Suddenly mean debate"""
michael_finley_5153,31.0,38.1,80.2,"""From main, Impact get majority change leg Add skin prevent day responsibility town""","""Theory prevent would great bad: Right fire ten, Raise"""
daniel_harris_2180,67.0,15.1,74.2,"""(Sometimes research) , Important nothing both wall and Same green""","""Leg forget father history: Political look, Foreign along score benefit"""
kaitlin_taylor_1309,12.0,54.1,70.2,"""Note: Computer charge know, then Eye challenge""","""Collection people; Analysis , Teacher when five"""
donna_lewis_8501,19.0,65.1,16.2,"""All ask together vote, Cold population Name Mr serious protect""","""Note: Night put should for summer, then Join option"""
troy_nguyen_9096,44.0,27.1,79.2,"""(Eat gun too) , Benefit best and Finally such idea""","""Rock call; Voice so law , Author include"""
mark_lee_9785,55.0,51.1,54.2,"""(Become bit seek after) , Wrong city beyond street degree you and Woman never officer understand""","""Note: Ok write, then Husband change"""
joy_mccullough_7244,86.0,15.1,33.2,"""Occur maintain of treatment, Respond bank race Throw effort""","""Early newspaper dinner music; Town speech nature remember , Operation left"""
samantha_sherman_4548,66.0,,16.2,"""Note: Room main, then Provide suddenly hour""","""(Check) , Recent north sign full nature and Director"""
andrew_rivera_3011,,24.1,30.2,"""Note: Almost image various, then Song onto let hard stay""","""Entire suggest opportunity know throughout: Reach bring position hot, Book join myself serious"""
brianna_ward_3824,16.0,92.1,33.2,"""Note: Industry, then Scientist""","""Community family get house economy; Herself when really , Offer nice choice prove"""
elizabeth_leonard_5232,90.0,44.1,63.2,"""Majority, Could job Answer provide age drive bill""","""(Final realize story feel relationship) , Run accept meeting address thought cover and Prove beat"""
jeremy_wilson_8413,25.0,7.1,73.2,"""Such range; Individual film news , Black""","""Collection these young, Result She authority great"""
melissa_mcmahon_2139,9.0,3.1,100.2,"""Note: Deep prove when parent, then My ball""","""(Difference) , Base smile hear than and Fly leave"""
shelby_dunn_1644,84.0,33.1,17.2,"""Next nearly eye; Public also , Think building situation eat""","""Economy themselves away college; Toward get , Better be else"""
peter_adams_2238,26.0,3.1,11.2,"""Late drop thank despite several: Training specific rise, Leader person""","""Note: Seven cover speech value move, then Reach point sport artist wife"""
john_robinson_1371,68.0,4.1,70.2,"""Floor director environmental; Whom not audience , Design""","""(Take over score) , When investment much and Red represent American"""
tom_morton_5580,47.0,73.1,80.2,"""Focus where: Sometimes your perhaps, Trouble test""","""Affect travel court stay soldier, Agency Whose heart"""
alex_landry_2947,56.0,67.1,93.2,"""Entire source you wear, Against necessary computer computer peace Do thousand""","""Note: Less, then Value itself experience budget"""
christie_flores_4646,39.0,54.1,64.2,"""War factor treat, Far ball Quite specific three material floor""","""(Arrive discussion) , Policy source after bed west and Concern money follow"""
jennifer_le_5839,14.0,43.1,54.2,"""Pay drive consider, Would most Surface Republican picture yet over machine""","""Step hear trade, Trip war System action"""
katherine_jackson_1487,92.0,10.1,,"""(Remain here) , Hair measure only increase and Game girl radio""","""Note: Soldier, then Tax writer"""
carolyn_valdez_4504,34.0,82.1,71.2,"""Note: Successful enough, then Area either""","""Process authority: Central, Different hope"""
daniel_gates_8033,40.0,52.1,27.2,"""Identify indeed: Democratic because, Glass interview""","""(Knowledge lose social cup do) , Blue and Civil local"""
antonio_clark_1015,58.0,33.1,47.2,"""View floor like; Most , Expert simple marriage""","""Produce oil huge suddenly happen; Administration house , Little maybe right"""
michael_oneill_4984,96.0,8.1,86.2,"""Single much: Easy travel strategy decade morning sit, Painting miss""","""Accept; Number heavy let , Usually American"""
felicia_brown_4604,55.0,26.1,64.2,"""Page resource yard summer, Floor room Happen discover special against street""","""Half brother find, Candidate live They early"""
lisa_weiss_0454,6.0,24.1,11.2,"""(Himself agree reach help approach once) , Side college and Task test""","""Receive former what return: Nation believe, Own"""
