# This is a comment line to skip
name	age	rating	description	remark
Russell Heath	60.0	63.1	'''Employee provide when	 Skill power office walk Less ability many'''	'''Finally bag career available hit: Attention entire	 Hundred matter cost'''
Rachel Garcia	11.0	49.1	'''Business positive edge: Not less game its might operation	 Buy add'''	'''Hope analysis staff; Often best build 	 Know office blue once leave'''
Ronald Wong	59.0	5.1	'''Amount away: Blue other	 Skill anyone itself'''	'''Matter lose company despite; Address nearly 	 Just strategy past religious authority'''
Wesley Elliott	99.0	94.1	'''(Happen) 	 Difficult door and Interest'''	'''Note: Bit sure minute reflect	 then Hit industry'''
Anthony Burgess	19.0	35.1	'''(Increase) 	 Protect reduce dark situation great and Process well'''	'''Note: Defense ten realize old	 then Skin what network again particular rise'''
A	50.0	41.1	'''Court: Rest choice yeah	 Best'''	'''One represent	 Former keep leader civil situation wonder Glass'''
Yvonne Smith	3.0	62.1	'''(Actually still none letter water) 	 Manager prevent plan and Let factor social'''	'''Fear push: West respond allow	 Source form eight'''
Jenna Clark	100.0	26.1	'''Note: Program	 then Performance property nation light according around'''	'''Party per goal establish now; Design if him 	 Opportunity'''
Jason Davis	98.0	81.1	'''Note: Ok	 then Son'''	'''(Question important) 	 Bed deep and Election'''
Karen Simpson	59.0	37.1	'''(Bag) 	 Game according and Cultural move spend nearly way book'''	'''Lay fight personal	 Decision computer care face Whom tonight'''
Ian Reynolds	75.0	90.1	'''Memory property station court star lead; Probably total investment purpose 	 Fall big suggest'''	'''Long themselves	 War drug young Scene half'''
Kevin Reed	99.0	31.1	'''Note: Choose mouth	 then Chair action'''	'''Note: Agency heart kind card song change	 then Reality'''
Debra Hunter	84.0	72.1	'''Note: Capital born never TV brother make	 then Drug per somebody almost do able'''	'''Phone: Within	 Teacher series else everybody'''
William Hamilton		32.1	'''Network be: Per it	 Lay thing team'''	'''Soon truth moment Democrat expert: But either quite receive exactly	 Simply once owner possible'''
Taylor Stanley	87.0	53.1	'''Note: Bed leave long executive	 then Analysis name road'''	'''Note: Include	 then Certainly marriage letter member lose'''
Jake Robertson	42.0	45.1	'''Action there stop: None international	 Brother'''	'''Country: Nature control	 Prove'''
Andrew Grant	90.0		'''Fly discuss heart: Form ago town way difficult	 As role behavior paper air'''	'''(Person worry affect church) 	 She during according wonder and Film free'''
Heidi Sharp	86.0	76.1	'''List top; Must system 	 Great home water'''	'''Exist need quickly would: Letter	 Score middle director'''
Samantha Zimmerman	87.0	49.1	'''Note: Population certainly	 then Here remain sea we'''	'''(School work win owner) 	 Measure yet and Building certain'''
Elizabeth Woodward	25.0	58.1	'''Wind choose member; Find scientist themselves seven 	 Occur big'''	'''Executive attention: Mention government	 See capital'''
Eileen Shaffer	85.0	67.1	'''Political area; Study return when they 	 Should stage many'''	'''Pull sit	 Former piece energy record month Analysis deal air call'''
Stephanie Mason	95.0	31.1	'''Note: Against	 then Beyond set should'''	'''Note: So keep hundred	 then Recently every outside capital'''
Kenneth Carter	14.0	43.1	'''Coach question; Until return day 	 Politics leg short'''	'''Blue summer: Shake among	 Budget often use pay'''
Cody Maxwell	16.0	11.1	'''Recognize	 Right move finish Sister every plant book'''	'''Effort arrive because: Cultural white with	 Concern avoid'''
Alicia Hanna	23.0	43.1	'''Own; Store strong senior figure use food 	 Save civil foreign benefit but company'''	'''Plant: Management score since others table	 Reduce particular your'''
Anita Marsh	48.0	84.1	'''Note: Send agency will sound day read	 then Agent senior above before national computer'''	'''Task weight sell; Perform kitchen fine ground film 	 Stuff hard'''
Mr. Jose Murphy	14.0	43.1	'''Middle coach cold	 Happen newspaper Matter economy open'''	'''Suddenly: Instead	 Fight'''
Brandi White	83.0	15.1	'''Arrive	 Support speech Anything under'''	'''Note: Indeed foot week	 then Two'''
Antonio Ellis	98.0	62.1	'''Enjoy according	 Mean special view carry Military bill information give fear'''	'''Somebody building	 Operation close grow successful Story husband machine'''
