name,score,price,salary,description,note
Josh Jones,2.0,14.1,10.2,'''Nesciunt maxime hic nesciunt facere soluta: Optio distinctio rem odit, Veniam eaque iusto excepturi''','''(Ipsam delectus inventore) , Dolore nobis and Officia veritatis iure tenetur'''
Lucy Mitchell,39.0,24.1,70.2,'''Eligendi autem possimus; Ipsum saepe modi temporibus veritatis consectetur , Eligendi tempore omnis consectetur''','''Quaerat alias rem voluptatibus; Ex maiores aut , Perferendis labore enim nulla'''
Chloe Marshall,60.0,38.1,82.2,'''Note: Consectetur corporis eveniet dolorum nam iure, then Culpa exercitationem minus soluta tempore''','''Ducimus nihil est sequi: Repellat fugit sint, Totam ut distinctio'''
Mrs Charlene Walker,35.0,95.1,45.2,'''Note: Recusandae suscipit molestias laboriosam voluptate, then In repudiandae odio''','''Recusandae doloremque: Laboriosam harum omnis quis, Cupiditate non minima maxime non'''
Ross Watson,39.0,15.1,23.2,'''(Eos incidunt porro) , Eum and Rem distinctio esse''','''Note: Ullam consectetur quae assumenda natus, then Tenetur quasi perspiciatis'''
Marion Ward,,79.1,23.2,'''Reiciendis: Suscipit impedit et animi laborum suscipit, Soluta dicta quibusdam''','''Vero rem in; Nihil ad temporibus , Eius illum'''
Miss Charlotte Anderson,98.0,,76.2,'''(Harum incidunt) , Aperiam sequi animi and Asperiores''','''Sequi, Veritatis ipsum neque Quidem dolorem itaque'''
Mr Josh Owens,86.0,7.1,47.2,'''Rem molestias culpa, Temporibus et Dignissimos itaque dolor''','''Note: Nostrum officia repellat voluptatum, then Veritatis'''
Margaret Evans,94.0,26.1,91.2,'''(Distinctio hic sequi cum) , Ea voluptatibus quos molestiae nulla and Dolorem laudantium dolores aperiam eos''','''Iusto distinctio: Commodi, Quo sed'''
Melissa Pearson,100.0,22.1,31.2,'''(Sequi esse magni) , Quod and Quibusdam amet occaecati aperiam aliquam''','''(Culpa) , Dolorum tempore and Cumque atque'''
Suzanne Kent-Edwards,28.0,71.1,45.2,'''Delectus sit perspiciatis numquam dolore veniam; Ratione dicta a incidunt , Est maiores''','''Explicabo corrupti cumque: Repellat, Quaerat quos labore repellendus ratione'''
Miss Lauren Richardson,76.0,44.1,18.2,'''Atque eaque accusantium dicta tenetur fuga; Fuga perferendis , Maxime eligendi tempora nihil illo nihil''','''Saepe adipisci: Quidem repudiandae molestiae occaecati consequatur laborum, Optio quasi'''
Eleanor Adams,42.0,30.1,72.2,'''Ipsum harum quos tempore rem animi: Cum ipsam consequuntur fuga, Consequuntur illo minima minus''','''Ea: Qui perspiciatis quibusdam qui fugit accusamus, Nesciunt voluptatibus'''
Eric Richards,14.0,52.1,80.2,'''Laboriosam doloribus quidem accusamus voluptate, Corrupti Vitae voluptatibus''','''Note: Libero quidem, then Sed ab nemo'''
Ms Naomi Bennett,11.0,4.1,28.2,'''Note: Tenetur commodi at rerum, then Porro consequuntur ratione saepe''','''Rerum excepturi quia expedita; Adipisci ipsa doloribus , Assumenda modi'''
Damien Murphy,42.0,88.1,68.2,'''Quas error aliquam molestias; Accusantium earum , Laborum neque''','''Facere: Laborum eos nulla minima, Facilis voluptatum'''
Barry Williams,19.0,70.1,85.2,'''Iste dolorem: Magni voluptatum, Delectus ex fugiat nam''','''Dolorum odio quis, Amet Ratione maxime placeat'''
Kevin Evans-Richardson,25.0,76.1,4.2,'''Inventore: Pariatur facere sequi, Nostrum animi aliquid''','''Nulla deleniti, Culpa optio eius deserunt nobis Aspernatur ullam'''
Dr Joyce Dean,59.0,45.1,20.2,'''Culpa: Pariatur laboriosam possimus, Veritatis consequatur ex''','''Rem nihil: Quo itaque veritatis, Commodi error'''
Mr Mitchell Taylor,34.0,75.1,89.2,'''Note: Vitae aut, then Incidunt''','''Quia: Ipsam, Asperiores at eaque omnis itaque'''
Trevor Ali,6.0,9.1,93.2,'''(Ipsum rerum quos officia) , Explicabo provident quidem and Molestiae vel''','''Dolorum: Quas modi rerum sequi itaque est, Dolores maiores'''
Dr Zoe Edwards,1.0,99.1,82.2,'''Tempora nobis: Ratione nobis dignissimos, Repellat''','''(Rem architecto minus velit) , Veritatis nemo eius and Consectetur iste nisi'''
Alexandra Kennedy,32.0,88.1,68.2,'''Quos iure sed; Maxime deleniti , Reiciendis placeat vel''','''Quos molestias numquam, Ea dolore vitae quibusdam repellat Laborum dicta numquam'''
Donna Hall,58.0,40.1,60.2,'''Recusandae quos quasi: Rem tempore id mollitia nulla exercitationem, Odio eum est perspiciatis laudantium ad''','''(Perspiciatis autem) , Laboriosam reiciendis repellat cumque and Quos sunt amet at hic'''
Gareth Sykes,70.0,35.1,,'''Note: Omnis, then Expedita corrupti''','''(Natus) , Quis repellendus consectetur and Reprehenderit'''
Jennifer Grant,75.0,86.1,64.2,'''(Eaque) , Doloribus adipisci and Quas ipsum saepe consequatur ab enim laboriosam''','''Neque quas odio: Deserunt fuga voluptatum nulla architecto inventore, Similique doloribus nulla'''
Iain Gregory,25.0,84.1,22.2,'''Explicabo quasi natus esse aspernatur; In , Nemo''','''(In reprehenderit tempore temporibus) , Non earum and Consectetur explicabo'''
Gail Hardy-Murray,76.0,81.1,56.2,'''Blanditiis illum adipisci iste aperiam: Rem explicabo maiores cumque, Harum similique''','''Illo doloremque nisi, Accusamus quo Rem dolores'''
Darren Evans,43.0,31.1,61.2,'''Note: Eveniet alias, then Esse et aperiam ducimus''','''Quibusdam delectus in id illum doloribus: A eaque laboriosam, Consequatur porro nostrum ut maiores'''
Dr Martyn Stevens,48.0,56.1,55.2,'''Note: Voluptatibus maxime itaque fugiat, then Est mollitia''','''Note: Laboriosam aliquam suscipit omnis, then Inventore dolor'''
Martyn Brown,61.0,67.1,71.2,'''Sapiente aspernatur vitae, Ipsam maiores sunt Natus aspernatur minima''','''(Quis debitis cupiditate) , Adipisci quam totam and Ipsum quo'''
Mohammad Dean,8.0,53.1,41.2,'''Maiores commodi, Expedita tempore nesciunt cupiditate Quibusdam nam''','''Quas nihil, Consequatur exercitationem tempore Libero'''
Beth Smith,16.0,43.1,54.2,'''Laborum minima corporis accusamus aliquam, Quis Veniam voluptate''','''(Possimus) , Nobis dolores nisi and Ullam dolore necessitatibus at'''
Trevor Spencer-Sutton,1.0,24.1,74.2,'''Quia ullam voluptatibus dolorem; Officiis nesciunt nostrum , Pariatur''','''Porro numquam excepturi ipsam molestias atque, Modi ducimus minus iure Molestiae aliquid iure vitae iure'''
D,69.0,71.1,91.2,'''Debitis; Labore omnis ipsum , Repudiandae esse doloremque''','''Reiciendis labore quibusdam; Vero id dicta adipisci recusandae , Beatae'''
Mark Matthews,24.0,45.1,66.2,'''Magni porro odit ea delectus: Asperiores occaecati similique dolorem aut quidem, Voluptatum aliquid ipsam''','''(Magnam qui) , Fuga and Minima molestias'''
