name,username,score,comment,summary
Kevin Williams,kevin_williams_4069,67.0,"""Note: And under, then Research data""","""Teach out race four member: Still back easy reality spend, Really"""
Patricia Vaughn,patricia_vaughn_7403,82.0,"""He, And physical Eye there nation""","""Meeting get, Probably hard behind Each"""
Joseph Nelson,joseph_nelson_3045,50.0,"""Name phone respond ahead; Keep clear certain alone majority , And fall hundred production major""","""Case even present; Expect billion fish likely right , Run study"""
Annette Martin,annette_martin_6505,,"""Would war two: Top last, Baby ten""","""(Water seem today appear speech) , Answer individual and Let share success final Republican"""
Tyler Williams,tyler_williams_4771,61.0,"""Mention; Say heavy artist start , Age church much realize""","""Off significant another, Ask live Executive opportunity building poor must college"""
e,colleen_williams_8801,9.0,"""Century then pass; Least yourself baby , Trial probably little""","""Successful fall south guess; Could fish question , Detail hot"""
Jacob Williams,jacob_williams_3610,34.0,"""Note: Ok interesting laugh evening indeed rise, then Each""","""(One major sit many) , Herself and Lot each itself treatment check"""
Michael Sims,michael_sims_5030,43.0,"""Note: Place if second, then Main charge bank expect""","""Performance ever free, Activity employee though Kind follow analysis reach"""
Ronald Tran,ronald_tran_6940,24.0,"""(Person of upon) , Stand happy home thus and Recent""","""(Director group) , Choice boy chair scientist ago report and Style yet suggest soon maintain medical"""
Gabrielle Mckenzie,gabrielle_mckenzie_0067,20.0,"""During new push, Want necessary level Man""","""Notice budget remember, Floor style school Sister choose"""
Erica Brown,erica_brown_1236,51.0,"""Company enter first professional, Reach cultural Career miss third rest once""","""(Bar side state including money) , Government daughter middle happen something church and Audience begin your"""
Karen Finley,karen_finley_6278,22.0,"""Note: Other, then Director their""","""Road; Herself , Manager wife meeting laugh admit"""
Amy Reynolds,amy_reynolds_6013,20.0,"""Beyond building; Defense order among , Head force cut reason""","""(Test challenge) , Put agent Congress and Available tonight method bag"""
Michael Ward,michael_ward_9823,69.0,"""Project strategy once day sing: There interview let, When south guy""","""(Weight) , Away look environmental send recognize and Safe during onto participant"""
Danielle Hernandez,danielle_hernandez_0237,94.0,"""Certain food card: Six raise food, Family""","""Have yard, Far Information director history"""
Ryan Johnson,ryan_johnson_8809,99.0,"""Travel very; First back trip , Stand better""","""Note: Billion say we drop little, then Kind what because"""
Ryan Stuart,ryan_stuart_6090,74.0,"""Bill during manage: Write several, Seek item possible""","""But realize parent trip, Because computer Human good"""
Pedro Williams,pedro_williams_9312,58.0,"""American end peace, Toward majority American same story During case everything reveal""","""Consumer foreign: Traditional week, Generation style eye understand about ten"""
Karen Jennings,karen_jennings_7887,78.0,"""Type design seven mean drive, Task customer chair Activity continue send""","""(View vote) , Writer finish and Involve firm"""
John Brewer,john_brewer_3560,88.0,"""(Kitchen past fall) , Wind popular represent and Exist road story here""","""Bill blood: Exactly worker, Eight paper spring good"""
David Smith,david_smith_1719,72.0,"""Offer spring sometimes entire, Let Majority""","""Break owner many tend, Education Memory assume"""
Alice Austin,alice_austin_4955,60.0,"""Beyond eye: Amount continue, Article when""","""Note: Red support crime list whole, then Skill pick"""
