username,name,salary,age,summary,comment
kerry_bibi_1603,Kerry Bibi,89.0,72.1,"""Dolor expedita: Iste, Veniam facere odio""","""Note: Aliquid eius enim, then Facere"""
mr_bruce_1971,Mr Sam Bruce,89.0,53.1,"""Ipsa eaque; Perferendis , Consequuntur distinctio minus""","""Note: Neque minus, then Consequatur aspernatur commodi aliquam id"""
chelsea_watts_5063,Chelsea Watts,36.0,51.1,"""Tempore quo qui quisquam sunt; Quasi nemo , Recusandae quisquam cum""","""(Quod repellat dolor ea adipisci) , Molestias and Culpa dolor"""
norman_allen_5956,Norman Allen,77.0,78.1,"""(Excepturi dicta cupiditate eius) , Modi and Non""","""Note: Voluptate harum culpa itaque commodi, then Omnis mollitia quas ad"""
dr_jackson_4698,Dr Olivia Jackson,92.0,80.1,"""Repudiandae possimus, Rerum Pariatur sequi eos""","""Note: Eos perspiciatis recusandae facilis mollitia, then Magni velit ex atque"""
samuel_black_1818,Samuel Black,79.0,44.1,"""Note: Tempore sed, then Natus libero reiciendis magni voluptatem dignissimos""","""Note: Officia maiores deserunt, then Molestias saepe sequi veniam facere"""
clive_smith_2859,Clive Smith,29.0,37.1,"""Ad ex officia: Quisquam, Voluptatum officiis nulla""","""Alias itaque: Rerum temporibus corrupti, Nemo commodi dolore"""
tom_walker_5720,Tom Walker,71.0,87.1,"""Note: Quia asperiores, then Sed provident aliquam""","""Voluptates quae: Excepturi asperiores ipsum temporibus itaque, Necessitatibus dolore accusantium"""
ms_khan_7457,Ms Lynne Khan,49.0,22.1,"""(Explicabo unde earum minima) , Et error placeat quod and Fuga eaque perferendis""","""Quasi eos autem: Rerum tempore neque sit optio aspernatur eos, Ea nihil"""
mr_young_2176, ,,64.1,"""Praesentium explicabo: Voluptate magnam, Consequatur quasi""","""Animi ut; Possimus , Hic"""
helen_mills_7438,Helen Mills,37.0,28.1,"""Quibusdam quod corrupti omnis optio: Numquam possimus, Praesentium perspiciatis""","""Fuga nesciunt illum maiores sit doloremque, Sed fugiat Ipsam velit voluptatem"""
victor_schofield_0021,Victor Nash-Schofield,2.0,89.1,"""Dolores optio minima, Aspernatur animi ipsa praesentium Fugit animi occaecati quis possimus""","""Nulla minima blanditiis: Veritatis, Accusantium"""
dr_wright_6044,Dr Tracey Wright,25.0,34.1,"""Dicta nostrum, Eligendi impedit vero Ad maxime""","""Deserunt provident, Velit ipsam Dolorum consequatur totam sequi"""
dr_field_6101,Dr Samantha Field,16.0,81.1,"""A recusandae necessitatibus iure illum, Praesentium earum Quos quis""","""(Quae natus) , Aliquam reiciendis delectus exercitationem and A"""
james_bennett_3121,James Bennett,15.0,11.1,"""(Veritatis placeat accusantium sed aperiam provident) , Necessitatibus fuga and Laborum et beatae sint""","""Exercitationem reiciendis veniam cupiditate quos: Exercitationem aut quam quo, Ea"""
sarah_andrews_6194,Sarah Andrews,45.0,,"""Note: Doloremque illo voluptatem reiciendis, then Harum laudantium""","""Placeat autem ipsum esse, Odio quibusdam Cum recusandae quod odit"""
jay_wilson_1015,Jay Wilson,20.0,2.1,"""Assumenda asperiores quos id corporis, Voluptas repudiandae natus Ipsa""","""(Eum nisi) , Laudantium repellendus fugit architecto quae aliquid and Deserunt"""
ricky_hardy_7721,Ricky Hardy,44.0,52.1,"""Note: Illum minima iusto, then Dolor delectus quasi""","""Laborum quibusdam; Est quidem , Incidunt cum"""
ms_glover_5626,Ms Joanna Glover,51.0,36.1,"""Quo exercitationem, Voluptatem impedit tempora earum Aspernatur nam ut natus odit""","""Quos id, Fuga tenetur nihil unde Tempora laboriosam"""
leanne_kennedy_4645,Leanne Kennedy,11.0,2.1,"""(A quis dolorum) , Odit amet and Perferendis cupiditate rerum cum magnam iusto""","""Occaecati nostrum: Modi, Minima doloremque"""
frank_lambert_6898,Frank Lambert,17.0,15.1,"""Note: Est reiciendis illum alias, then Corrupti""","""(Cumque optio beatae) , Fuga a atque voluptatum numquam and Veniam"""
linda_fleming_7727,Linda Fleming,85.0,46.1,"""(Deserunt consectetur delectus) , Sapiente eum recusandae omnis and Atque modi nam""","""Possimus; Laborum placeat , Ullam maxime expedita odio"""
toby_ryan_3779,Toby Ryan,10.0,77.1,"""Eos, Odio aspernatur Voluptas ipsam accusamus""","""Sequi voluptatum tempora: Perspiciatis iure nihil, Libero quidem reprehenderit nemo"""
dr_smith_4164,Dr Leslie Smith,82.0,1.1,"""Nostrum: Non excepturi quibusdam nostrum quae, Eveniet provident nostrum maiores quisquam id""","""Exercitationem soluta: Enim esse itaque quaerat, Excepturi ad"""
dr_lewis_4072,Dr Katie Lewis,31.0,49.1,"""Fuga consequuntur: Non excepturi placeat quos, Natus""","""Natus ratione sed: Deleniti iure vero provident, Aut ducimus dolores"""
mr_wood_9012,Mr Robin Wood,9.0,52.1,"""Minus quasi; Fugiat , Laudantium eos""","""Note: Aliquam voluptatibus occaecati, then Unde provident voluptatibus"""
patrick_marsh_5440,Patrick Marsh,32.0,93.1,"""Facilis dicta; Rem aperiam fugit nemo corporis , Corrupti impedit ab debitis""","""Occaecati non: Temporibus ipsum reiciendis minima, Occaecati sequi"""
ms_wright_1953,Ms Rebecca Wright,89.0,55.1,"""(Et maiores rem dignissimos veniam) , Nostrum similique and Molestiae""","""Id iure veritatis; Quaerat repellat saepe quasi id architecto , Molestiae recusandae voluptatem"""
mrs_roberts_3207,Mrs Janice Roberts,27.0,76.1,"""Omnis necessitatibus sunt vel consectetur; Dolorum inventore numquam incidunt culpa , Dolorum deserunt tempora""","""Provident ipsa quos: Suscipit aspernatur cum, Non facere tenetur"""
teresa_mcdonald_9153,Teresa McDonald,88.0,82.1,"""Note: Animi perferendis dolores, then Quia explicabo quisquam doloremque""","""Quae: Aperiam, Eaque"""
dr_howard_9988,Dr Yvonne Howard,4.0,23.1,"""(Quibusdam provident a doloribus) , Alias accusamus and Corrupti""","""Eaque sequi ipsa: Necessitatibus veritatis, Adipisci non temporibus enim"""
jennifer_hanson_1853,Jennifer Hanson,23.0,73.1,"""Et ullam est tempore; Provident aspernatur quas quae , Modi""","""(Minus esse officia) , Repellat and Facilis consequuntur facere facere quod"""
megan_mclean_4885,Megan McLean,73.0,54.1,"""Note: Tempore, then Aliquam repudiandae debitis mollitia""","""(Accusamus aspernatur dolores) , Quo tenetur ducimus and Nulla consequatur maiores illo cupiditate blanditiis"""
