username;name;score;remark
justin_williams_7626;Justin Williams;86.0;"""Air cold way forward; Can Factor garden key"""
justin_paul_1040;Justin Paul;47.0;"""Note: Hour its line; then Group while along"""
madison_peck_9831;Madison Peck;51.0;"""Focus move; Part case available network Hotel left"""
jaime_thompson_5444;Jaime Thompson;23.0;"""(Write) ; East without and Population member me live bank"""
philip_davis_5561;Philip Davis;80.0;"""Report director option white; Performance somebody once through institution ; Brother so begin walk state"""
jennifer_morris_2344;Jennifer Morris;21.0;"""Note: Team from this power; then Thing industry green"""
joel_orozco_2474;Joel Orozco;38.0;"""Note: Care; then Couple"""
becky_guzman_2903;Becky Guzman;92.0;"""Another break relationship child language like; Water game majority cut ; Budget model have voice number only"""
joshua_clayton_4364;Joshua Clayton;75.0;"""Full spring century international answer; Point become Across social I head memory"""
kevin_green_7081;Kevin Green;76.0;"""Follow trip; Price design keep action development as ; Performance crime"""
david_murphy_4031;David Murphy;37.0;"""Note: Cultural continue student many; then Government purpose finally owner"""
brooke_lewis_3776;Brooke Lewis;33.0;"""(Think audience) ; Bank event and Then huge write"""
susan_md_2043;Susan Barnes MD;18.0;"""Note: Year; then Year their without value"""
james_macdonald_7871;James Macdonald;48.0;"""Skill; So standard Send trouble body"""
jessica_moore_0939;e;38.0;"""Move project since lose sort: Believe test; Mr next soon"""
jamie_freeman_8490;Jamie Freeman;66.0;"""Note: Both record attention; then Reach me number pretty"""
michael_wood_1209;Michael Wood;61.0;"""Note: Gas give with middle; then Though quality poor allow ready pressure"""
paul_ali_1725;Paul Ali;99.0;"""Note: Town former chance she area my; then On"""
bonnie_robinson_1473;Bonnie Robinson;100.0;"""Cover benefit; Range artist ; Official total"""
diane_johnson_3779;Diane Johnson;74.0;"""(Authority evidence name) ; Computer bring visit land and Southern source"""
dr_martin_1985;Dr. Jacob Martin;88.0;"""Certain high know foot send stay: Meeting; Skin Mrs"""
elizabeth_young_1667;Elizabeth Young;31.0;"""(Something break night white) ; Only course reach animal protect every and Game friend"""
mario_white_5550;Mario White;77.0;"""(Once board) ; Break of man culture ten and Law happy west magazine Republican"""
rebecca_nichols_2421;Rebecca Nichols;67.0;"""Team building; Rate apply particularly doctor ; Thank type certainly"""
alicia_robbins_7353;Alicia Robbins;96.0;"""Phone relationship expect learn fire; Finish because ; Lot store water"""
jamie_salazar_7503;Jamie Salazar;77.0;"""Note: Might design; then Hospital friend"""
mary_matthews_9288;Mary Matthews;26.0;"""Design thought: Throughout remember play; Certain story prove memory"""
elizabeth_turner_6160;Elizabeth Turner;38.0;"""Like around; Become figure pull federal take ; Adult realize truth recently"""
robert_torres_5771;Robert Torres;;"""Gun drive every hot animal; Feel ; Another note"""
mary_williams_0345;Mary Williams;63.0;"""Low lose: Receive system other understand; Upon team"""
gregory_reynolds_2353;Gregory Reynolds;7.0;"""(Name hear win cost) ; Question and Significant"""
patrick_frank_1514;Patrick Frank;4.0;"""(Increase parent put remember) ; Color travel director Congress and Short power religious especially left"""
kelly_watkins_2078;Kelly Watkins;15.0;"""Note: Window tend conference hospital general; then Try degree"""
victor_montes_4978;Victor Montes;51.0;"""(Herself floor) ; Call and Possible point positive for table"""
antonio_obrien_2437;Antonio Obrien;17.0;"""(Body produce station authority) ; Manage bank race involve tough reality and Cultural movie"""
