name,rating,price,age,summary,remark
Irene Patterson,15.0,36.1,70.2,"""Voluptatum quidem: Perferendis, Doloremque expedita cupiditate tenetur sint""","""Note: Eius vel beatae, then Accusamus"""
Francesca Wood,94.0,33.1,15.2,"""(Tempore officiis temporibus eaque voluptatum) , Tenetur doloremque eveniet and Deleniti blanditiis maiores numquam""","""Fuga molestiae adipisci, At unde sapiente aut Vel voluptatibus ea"""
Graeme Daly,80.0,67.1,84.2,"""Eveniet officiis eius: Corrupti odit, Mollitia cumque incidunt""","""Eaque similique: Odio, Quibusdam enim quod"""
Roger Power-Buckley,77.0,47.1,66.2,"""(Dolores dolore vel) , Harum and Eius atque necessitatibus saepe""","""Dolores repudiandae atque, Reprehenderit quas libero amet Expedita eveniet asperiores"""
l,56.0,23.1,75.2,"""(Molestias ipsa excepturi iste) , Molestias et autem magni and Fuga vitae""","""Consequatur inventore, Nostrum a autem eaque occaecati Excepturi velit exercitationem laborum nulla quisquam"""
Frances Fraser,31.0,80.1,24.2,"""Accusantium quo, Exercitationem expedita eos Repellat repellat nesciunt tempore natus""","""Debitis sapiente mollitia commodi id; Corporis , Eius neque"""
Katy Cox-Carpenter,51.0,74.1,79.2,"""Note: Molestias laudantium modi rerum praesentium natus, then Blanditiis voluptas dolores autem nesciunt""","""Note: Odit dolorem itaque fuga porro, then Quis saepe earum voluptatem ea"""
Dr Vincent Kemp,56.0,98.1,19.2,"""Note: Quas quasi quam, then Possimus non odio""","""Reiciendis consequuntur totam, Quisquam sapiente dignissimos eum Minus quos"""
Peter Kemp,97.0,57.1,83.2,"""Ut harum, Ratione Ipsam dicta repudiandae""","""(Minima) , Fugiat quos and Inventore expedita ad autem ea"""
Mrs Karen Smith,67.0,66.1,30.2,"""Distinctio fugiat ipsa fugiat: Doloremque hic iure veniam dicta reiciendis, Consequuntur voluptatem""","""Harum placeat, Ea cupiditate Amet hic"""
Ms Barbara Gallagher,1.0,99.1,43.2,"""Note: Reprehenderit quas ad, then Sapiente velit ullam distinctio""","""(Praesentium quaerat ut quaerat) , Reprehenderit and Architecto occaecati sequi cumque"""
Albert Lewis,10.0,61.1,48.2,"""Quas magnam provident omnis: Totam quis, Quis""","""Eligendi ipsa maxime asperiores; Dolorum culpa , Laudantium tempore"""
Stuart Mann,33.0,34.1,83.2,"""Odit excepturi quibusdam autem impedit possimus, Vitae velit Nulla exercitationem""","""Consequatur magni accusantium quisquam perferendis consequatur; Omnis , Perspiciatis voluptas ipsa cumque asperiores"""
Bradley Godfrey,82.0,90.1,71.2,"""Magnam officiis: Deleniti voluptatum, Enim corrupti""","""(Vitae et) , Unde nulla voluptatum dicta and Voluptatum"""
Glenn Collins,,14.1,7.2,"""Est aut, Porro Blanditiis facilis""","""Vitae: Eligendi labore quod at, Itaque facilis maxime"""
James Gibbons-Cunningham,55.0,60.1,10.2,"""Veniam, Eos deleniti expedita doloremque provident repudiandae Est sapiente aspernatur debitis quibusdam placeat""","""Nihil beatae culpa ex porro; Voluptate , Nulla in ratione eius voluptas minus"""
Kayleigh Riley,83.0,47.1,67.2,"""Qui architecto fuga nobis iusto dignissimos: Officia quia, Voluptatum officia impedit deserunt""","""Unde error ab dolore quis vitae nulla: Explicabo placeat, Eligendi dolorum"""
Heather Slater,94.0,22.1,90.2,"""Dolorem officiis: Nihil voluptatum autem, Ipsa accusamus voluptate et""","""Quo vel rerum, Temporibus incidunt molestiae optio Nobis quas et vel expedita doloremque vel"""
Dr Graeme Bryant,69.0,18.1,1.2,"""Repellat deleniti; Cumque ratione quis ad , Illum quasi at""","""Architecto; Optio quasi ducimus aliquid eligendi , Repellendus temporibus aut ex excepturi"""
