name	username	total_count	comment
Richard Wilson	richard_wilson_2134	77.0	'''Item camera; Attention side 	 You financial sister sure'''
Mariah Mcdaniel	mariah_mcdaniel_1819	85.0	'''Indicate use coach dog; Cause box positive maintain 	 Few here why'''
Stephanie Carter	stephanie_carter_7974	78.0	'''Lot collection goal	 White financial poor grow cause Any gas case'''
Jeffery Peterson	jeffery_peterson_9666	58.0	'''Whom	 Always style audience According couple or nice'''
Gail Marshall	gail_marshall_5710	89.0	'''Century crime: Consider beautiful	 Training attention represent back'''
Jennifer Jacobs	jennifer_jacobs_9843	80.0	'''Note: Task Mr account word provide compare	 then All agree film technology instead'''
Ashley Hart	ashley_hart_8000	73.0	'''To	 Too Generation'''
Luis Garcia	luis_garcia_5013	80.0	'''Mr community: Later network after	 Build hit million join opportunity'''
Christopher Lewis	christopher_lewis_0389	30.0	'''(Add clearly teacher) 	 Take spring health modern attention write and He still spring'''
Caitlyn Brown	caitlyn_brown_2943	42.0	'''Girl	 Paper college star turn Near else important'''
Carlos Chan	carlos_chan_3502	3.0	'''Need data	 Everything reach machine international Environment by meet quickly carry'''
Regina Kramer	regina_kramer_9450	24.0	'''That response	 Want one Point beat'''
Kenneth Smith	kenneth_smith_6816	97.0	'''(Will can) 	 Present trade discover and Entire after paper'''
Barbara Vega	barbara_vega_9030	94.0	'''Nearly new close	 Rather base keep Threat consumer'''
Zachary Wagner	zachary_wagner_9021		'''Particularly all subject near country: Role kid they reason discussion	 Send successful'''
Kelly Wilkerson MD	kelly_md_9684	89.0	'''Understand hot: Painting but information indicate popular	 Maybe well evening sister drive'''
Christopher Savage	christopher_savage_1276	78.0	'''Forget player hotel newspaper meet: Avoid	 House husband finish speech color score'''
Robin Wells	robin_wells_0675	98.0	'''Ok particularly list television; End during pattern red that 	 Describe degree'''
Kevin Morris	kevin_morris_1124	64.0	'''Next race leader: Recognize eight fear action	 General name bar even still huge'''
Samantha Watkins	samantha_watkins_2321	98.0	'''One attorney call: Part people	 After decision why church force direction'''
Austin Hodges	austin_hodges_7446	67.0	'''Prepare beat; Spring front 	 Top by'''
Brett Stewart	brett_stewart_1033	63.0	'''Note: Method since suggest after million	 then Dog adult all account'''
Chelsea Smith	chelsea_smith_1935	51.0	'''(Billion somebody) 	 Just history most the and Science particular'''
Sandra Stephenson	sandra_stephenson_8778	43.0	'''Note: Cup court	 then Manager'''
Christopher Gibson	christopher_gibson_7288	83.0	'''Same it born	 Others tough else Affect'''
Austin Petersen	austin_petersen_1719	18.0	'''(Group amount establish least education) 	 Role born claim and Off'''
Kristen Hernandez	kristen_hernandez_8806	30.0	'''Note: Trouble majority	 then Right Republican'''
Joyce Riddle	joyce_riddle_3076	34.0	'''Office land little	 Member leg national white Film sometimes no action identify'''
Ann Thompson	ann_thompson_5292	35.0	'''Leader relationship the	 Eight water it lose work Wall peace tend'''
e	holly_johns_3946	7.0	'''(Only response talk industry) 	 Animal and Record'''
Leslie Trevino	leslie_trevino_8399	96.0	'''Each western court; Last 	 Many south'''
Catherine Whitaker	catherine_whitaker_6317	52.0	'''Note: Meeting	 then Light magazine whatever'''
Andrew Tran	andrew_tran_8214	59.0	'''Marriage specific; High choice door discover 	 Respond contain human current'''
Bryan Thomas	bryan_thomas_5675	77.0	'''Effect past arrive; Fact entire agree 	 Need'''
