username	name	total_count	salary	description
mike_knight_0571	Mike Knight	8.0	91.1	'''Note: Whom window arm director	 then Place clearly'''
chad_nelson_2285	Chad Nelson	9.0	59.1	'''Note: Job population suddenly voice	 then Remember lose worry'''
alexandra_reynolds_7459	Alexandra Reynolds		90.1	'''(House baby drop save current town) 	 Hold evening guess and Number prevent charge'''
anna_wilson_0198	Anna Wilson	72.0	21.1	'''(Land specific matter) 	 South dog while and All fine'''
ashley_williams_2101	Ashley Williams	12.0	57.1	'''Cell individual let: Cost example	 Age be'''
elizabeth_harris_0553	Elizabeth Harris	65.0	94.1	'''Range art three: Other best	 Experience new'''
amy_skinner_4220	Amy Skinner	32.0	10.1	'''Finally: Respond reduce course president major	 Participant'''
deborah_massey_3347	Deborah Massey	45.0	12.1	'''Similar	 And both Memory enter'''
eric_patterson_1155	Eric Patterson	36.0	76.1	'''Information various	 Traditional society dream vote they Painting beyond manage laugh'''
crystal_taylor_2319	Crystal Taylor	33.0	42.1	'''Note: Morning fund	 then Fish professor quite southern'''
glenn_huff_5415	Glenn Huff	70.0		'''(Stage) 	 Ability deep standard free science summer and Identify face mission official write likely'''
andrew_ray_1935	Andrew Ray	95.0	44.1	'''Note: Suggest	 then Season explain voice'''
robert_campbell_5931	Robert Campbell	68.0	40.1	'''(Vote even industry piece) 	 Season once despite and Worker not bring card human'''
michael_murray_4690	Michael Murray	87.0	98.1	'''Continue law catch investment score: Culture energy office soldier store	 Would short'''
ricky_taylor_1525	Ricky Taylor	100.0	38.1	'''(Too) 	 Box state store and Pick something generation bit team'''
mr_nelson_9555	Mr. Samuel Nelson	16.0	32.1	'''Sea require figure: Southern college home end	 Choose population into investment'''
sarah_md_3281	Sarah Reynolds MD	36.0	29.1	'''Issue off hundred surface ahead	 Deal Fund add store relationship agency'''
stephen_coffey_6632	Stephen Coffey	92.0	31.1	'''Born middle	 Safe research Evidence central generation'''
sherry_collier_4075	Sherry Collier	90.0	11.1	'''Other red mouth; Last friend any it 	 Wonder various election'''
kayla_williams_8011	Kayla Williams	30.0	62.1	'''Dark deal can standard down	 Hour Shoulder'''
heather_diaz_1121	Heather Diaz	48.0	36.1	'''Third per	 Pay cup his several condition Interview central'''
allen_conway_8943	Allen Conway	16.0	52.1	'''Note: Something hot store democratic	 then Cost try no'''
ruben_wong_3188	e	99.0	59.1	'''Beautiful down well	 President Respond I thank'''
john_ali_9636	John Ali	29.0	26.1	'''Note: Professional apply	 then True'''
dennis_hall_1047	Dennis Hall	46.0	33.1	'''More boy: Miss throughout ahead turn statement seek	 Treatment'''
david_robinson_5895	David Robinson	4.0	9.1	'''(Nation decade crime) 	 Within bar and Box face'''
anita_morris_2130	Anita Morris	51.0	73.1	'''(Evidence mention management) 	 Out one even and Before really amount candidate'''
alex_anderson_3793	Alex Anderson	35.0	95.1	'''(Work event sign) 	 Show water performance four and Another structure'''
