username,salary,age,score,remark
joshua_roberts_2242,5.0,39.1,30.2,'''Note: Vitae molestias ratione quod, then Delectus voluptate'''
shane_jones_6195,14.0,,12.2,'''Facilis porro optio eius; Porro , Vero qui provident nam'''
ms_butler_3724,81.0,80.1,26.2,'''Quod maiores architecto voluptas amet voluptate: Consequatur asperiores culpa, Sunt atque'''
mr_clarke_1649,60.0,93.1,23.2,'''Incidunt porro, Dicta quibusdam Accusantium pariatur'''
kieran_lane_9917,37.0,55.1,55.2,'''(Eligendi veniam eveniet magnam assumenda) , Natus excepturi non consequuntur and Vitae quidem ipsa'''
david_sullivan_6221,65.0,70.1,44.2,'''(Excepturi eligendi distinctio et ullam) , Quis earum aliquam and Deserunt reprehenderit'''
tom_rose_8159,77.0,99.1,25.2,'''Note: Ducimus earum repellat repellat sapiente perferendis, then Dolores amet'''
lewis_hobbs_3635,6.0,53.1,66.2,'''Note: Doloribus labore, then Iure quos delectus odio eum'''
rosemary_hughes_2610,22.0,42.1,11.2,'''Exercitationem aut; Temporibus numquam nisi , Laboriosam hic occaecati ipsum'''
stephanie_butler_4145,5.0,62.1,7.2,'''Odit; Quibusdam facere quod aperiam fugiat , Perferendis provident'''
mr_hudson_8883,93.0,72.1,26.2,'''Iusto facere, Autem atque quasi adipisci nam Dolore repellendus atque'''
justin_little_9774,91.0,19.1,16.2,'''(Laudantium nobis quasi tempora) , Quisquam magni quos facilis and Enim fuga'''
declan_richards_4662,,30.1,81.2,'''Sint laborum error occaecati sapiente: Corporis, Atque nulla fuga illum quis'''
eric_griffiths_2577,76.0,14.1,85.2,'''(Nulla minus illo) , Error ducimus and Doloremque fuga alias'''
dr_williams_9069,60.0,1.1,90.2,'''Doloribus quia nesciunt nihil quia asperiores voluptas: Facilis optio harum animi distinctio, Quia voluptatem mollitia similique'''
anthony_rose_5674,22.0,61.1,40.2,'''(Porro) , Est nemo and Omnis libero fuga'''
josh_cooper_7868,25.0,41.1,88.2,'''Note: Repellat, then Molestias delectus'''
miss_lucas_7427,10.0,16.1,66.2,'''Et modi: Autem veritatis sunt, Reiciendis eos sed et'''
ms_walker_5197,64.0,17.1,79.2,'''Placeat fugit: Cupiditate laudantium, Dolore nisi ab'''
denis_williams_5657,27.0,65.1,40.2,'''Libero: Minima nemo, Inventore iste eius enim placeat animi'''
mathew_price_7242,16.0,90.1,45.2,'''Doloribus odit eos incidunt; Saepe magnam , Nobis ullam corrupti accusantium'''
dr_ashton_8432,38.0,45.1,51.2,'''Ea consectetur reiciendis: Nostrum, Sed explicabo soluta'''
roy_birch_5322,39.0,14.1,29.2,'''(Debitis quas) , Tempore ratione asperiores minus eligendi and Voluptates voluptas'''
mr_jarvis_7884,48.0,70.1,76.2,'''(Nemo labore delectus) , Vitae vitae impedit similique and Atque qui quam'''
gail_mills_0620,85.0,76.1,41.2,'''Note: Rem inventore dolorum odit, then Veniam laborum'''
alexandra_smith_8131,99.0,24.1,27.2,'''(Ratione) , Cum and Velit pariatur adipisci natus corporis'''
daniel_barnes_9909,80.0,70.1,50.2,'''(Cum) , Ipsum and Ad'''
ms_taylor_8960,13.0,1.1,37.2,'''Note: Error error modi, then Nemo deleniti'''
martyn_barrett_9500,45.0,1.1,66.2,'''(Sint) , Eum architecto corporis and Soluta reprehenderit aperiam dolorum minus'''
damien_howells_4500,61.0,36.1,99.2,'''Eos doloribus, Quaerat Quo eos'''
donald_preston_9628,60.0,88.1,98.2,'''Recusandae ut dolore doloribus alias harum, Laboriosam suscipit vitae Neque aliquam quae'''
sam_hill_3686,26.0,23.1,54.2,'''Odio quas ipsa; Inventore ex ut , Molestiae quia repellendus veritatis unde'''
miss_knight_5521,93.0,86.1,90.2,'''(Voluptas repellat laudantium) , Reiciendis and Doloribus'''
gemma_murphy_2693,7.0,72.1,38.2,'''(Iure impedit) , Harum quo ad velit ea and Maxime ut molestiae'''
hayley_king_4884,72.0,21.1,88.2,'''Itaque inventore autem magnam, Eligendi reiciendis Nobis amet non vitae nesciunt'''
douglas_george_4100,78.0,40.1,,'''Laboriosam odio: Cupiditate quisquam, Laudantium ipsa perspiciatis'''
malcolm_bates_3355,62.0,15.1,93.2,'''Ullam corrupti quae; Id quasi deleniti , Quidem'''
jamie_ahmed_1350,25.0,50.1,75.2,'''Note: Provident non exercitationem, then Tempore repellat'''
dr_moore_6792,49.0,51.1,80.2,'''Recusandae enim: Nam esse recusandae velit blanditiis, Similique praesentium quae neque debitis'''
