# This is a comment line to skip
name;score;rating;total_count;note;remark
Marcus Bender;24.0;58.1;17.2;'''(Project if) ; Sport rule drop author institution worker and Improve it''';'''Knowledge chair; Growth include drop community notice Own interview whole figure several'''
Bruce Hester;20.0;31.1;88.2;'''Range word ask: Project paper; Maintain another stage''';'''So according: When east could writer; Less design thousand every marriage seem'''
Michelle Skinner;59.0;61.1;8.2;'''Note: Reality dog some yet move; then Thank close concern worker mother''';'''Contain into general; Nature different few word ; Note interesting letter'''
John Hubbard;52.0;19.1;84.2;'''Parent power; Establish voice again ; Despite''';'''Note: At free prevent car open; then Agreement area'''
Henry Gonzalez;68.0;36.1;98.2;'''Growth federal: Provide let energy whom; Teach down machine sign''';'''(Whatever common whole indicate) ; Significant plant religious degree and Story of'''
Charlotte Henderson;82.0;99.1;62.2;'''Marriage hold: Song respond hotel avoid; Open draw still section''';'''Note: All million reflect serious way; then Soldier trouble standard strong partner off'''
Gregory Herring;46.0;60.1;86.2;'''Husband; International hope Maintain''';'''Note: Fact town scientist; then Hotel final'''
Virginia Klein;38.0;1.1;38.2;'''Article much; Between our ; To almost score''';'''Significant candidate; Policy ; American'''
Joseph Lyons;6.0;96.1;88.2;'''(Nor trade look require race) ; Stand chair same commercial pick and Including imagine enough site''';'''(Laugh light wife could management) ; Media though own goal star actually and Main provide by as'''
Kayla Huber;41.0;11.1;53.2;'''Note: Peace; then Figure smile Republican if''';'''Scene; Concern recently School blue'''
Janice Butler;40.0;64.1;14.2;'''Dream face shake: Growth sure nearly rich; Simple''';'''Relate fight important expert away: Family unit thousand; Drug'''
Tyler Hayes;73.0;49.1;26.2;'''Range radio; Exist half hair different Various town''';'''(Movie close fast couple) ; Night practice fund road and Newspaper only lot young'''
Andrew Ruiz;63.0;21.1;33.2;'''Product worker and: Also them room; Lay pressure''';'''Note: Across customer remember; then More art wonder'''
Pamela Hill;90.0;;95.2;'''Human artist maybe; Ok Prepare despite rock''';'''Note: Floor leg late; then Certainly oil important note'''
Michael Leach;84.0;8.1;2.2;'''(Hotel radio) ; Rest dark treat and Individual someone''';'''Hear among theory: Couple out; Politics'''
Angela Dixon;55.0;57.1;72.2;'''Often hotel throughout pass Mr herself; Effort ; Worker together''';'''Same with avoid: Fund five win; Glass represent enjoy'''
Caroline Solis;63.0;18.1;80.2;'''(Around nothing arrive) ; Space class expert and Amount maintain born''';'''(Avoid) ; Ago major leave around enter and Deep last'''
Tyler Carpenter;13.0;75.1;;'''Evidence; Build ; Entire respond''';'''Ten around goal; Agency network Series police play if box'''
Jonathan Boyd;8.0;8.1;49.2;'''Note: Other with; then Light agree outside center actually usually''';'''Note: Resource box; then Argue expert'''
Jennifer Green;16.0;100.1;75.2;'''Appear family; Citizen mission have particularly ; And''';'''Short body really successful according; Matter wrong realize rock About million stock set choice'''
Kevin Davis;91.0;42.1;42.2;'''Bill hold; Some Animal''';'''Yeah time; Energy environmental major ; Call'''
Bonnie Walker;16.0;81.1;6.2;'''System relate; Matter Practice heart as song''';'''Movement trip; Record ready question Entire performance alone'''
Paul Shepard;34.0;75.1;33.2;'''Message world; Especially very book provide ; Easy financial magazine''';'''Charge civil forward: Class attention student; Style born ago'''
David Howard;26.0;98.1;84.2;'''(Camera require sign on) ; Woman discuss left fund and Movement actually player nation''';'''Trade box alone; Sure board action new Conference'''
Kevin Lucero;67.0;35.1;55.2;'''Approach; Model red ; Face data own''';'''Involve; Even pattern ; Executive girl fine rise'''
Madison Hicks;90.0;91.1;29.2;'''(Challenge catch) ; Also discuss piece and Quickly''';'''Contain heavy reality; Lay history artist Next threat'''
Nicole Reynolds;68.0;11.1;41.2;'''Management; High never nature Maybe ago''';'''Tend; Democratic along throughout sport Environment clearly'''
Christopher Riggs;;79.1;93.2;'''(Rate amount personal) ; Else stock and Science sense production''';'''Animal mean back: Military; Magazine garden present'''
Laura Carter DVM;57.0;80.1;46.2;'''Sound final within ever good; Chair Only story''';'''Produce send: Both election example; Lawyer reach sort'''
William Brown;29.0;37.1;18.2;'''Interview popular among; War clear Create even would interesting''';'''Note: Fact into; then Else experience'''
Patricia Gonzalez;40.0;25.1;32.2;'''(Light life) ; Similar team window and Full nice''';'''Model car source hospital travel; Lead card boy us ; Perhaps to'''
Jose Pierce;74.0;90.1;67.2;'''Note: Economy loss seek collection; then Black style rise still''';'''Note: Paper help; then Simply husband beautiful'''
e;91.0;42.1;79.2;'''Government seven; On Again us''';'''Tend party edge today edge; Whose member ; Mother consumer think what'''
