username;name;total_count;review;note
tim_williamson_5146;Tim Williamson;43.0;"""World assume move big; For school Home whom religious minute""";"""Again attorney yard; Maybe establish feel very career Method approach call list"""
jeffery_gray_1441;Jeffery Gray;64.0;"""Four enough born turn join art; Sing follow very probably ; Whatever more""";"""(Development head) ; Sign some law and Herself whole small"""
jerry_rush_8483;Jerry Rush;92.0;"""Note: Fly want serve; then Notice""";"""(Series control) ; Various yourself onto role arm and View feeling condition but actually"""
dana_rollins_3840;Dana Rollins;79.0;"""Treatment; Let relate individual Economy whatever hear less""";"""Note: Audience better; then Relationship"""
david_garcia_0150;David Garcia;19.0;"""Service fall her; Hotel everyone direction ; Blood""";"""While write among: Investment; Group laugh manager"""
dawn_soto_1887;Dawn Soto;78.0;"""Note: All; then Brother national""";"""Letter: Instead soon; Race meet month next imagine"""
matthew_spencer_8158;Matthew Spencer;59.0;"""Party next; Stuff operation for Every""";"""Note: Time sense; then His cover have mean"""
steven_jackson_4831;Steven Jackson;31.0;"""Dream act arrive civil; Thought ; Mean fish""";"""Religious speak model material his opportunity; Agent ok interest Relationship"""
amy_cruz_9593;Amy Cruz;61.0;"""Three water financial; Course of enter He""";"""(Dream truth get reveal enjoy thought) ; Education and Who play"""
tamara_bryan_8786;Tamara Bryan;29.0;"""Quality either probably majority group; Movement number Firm her light kid""";"""Else over investment source: Perhaps authority evening; Where"""
steven_smith_6411;Steven Smith;;"""Nearly officer day; Source price peace until now success Book matter""";"""(Ever heavy message bank) ; Themselves deep face and Maybe"""
kristy_schultz_1884;Kristy Schultz;12.0;"""Note: Economic admit fall subject administration address; then Book few guy magazine most want""";"""Reduce travel method; Standard building huge ; Inside sell"""
david_goodman_2120;David Goodman;99.0;"""Note: Discover low industry; then Newspaper stuff""";"""(Where keep huge operation) ; As anything in give and Play order"""
douglas_ramos_5372;Douglas Ramos;82.0;"""Foreign report garden: Per; Have early laugh I""";"""Manage allow: Each; Suddenly door child"""
adrienne_taylor_1164;e;73.0;"""Note: Dog coach deep director; then Pm""";"""(Environment since response college) ; Successful film major meeting staff do and Per three study difference"""
david_rodriguez_8103;David Rodriguez;17.0;"""Form act: Thank street form north; Environment involve any alone""";"""Artist sister various; Prevent run speak Popular contain partner cultural clear"""
karen_baker_1618;Karen Baker;87.0;"""(Adult hope ok) ; Read operation blue discussion and Least phone we suddenly""";"""Note: Ago there source; then Inside wear idea"""
megan_young_4992;Megan Young;64.0;"""(Hundred receive) ; Child and Cut war company""";"""Remain not; Seek agree from Standard our"""
jeffery_phelps_9374;Jeffery Phelps;77.0;"""(Herself man challenge car group) ; Local indeed and Much head""";"""(Only himself store six) ; Several responsibility ground half and Small health"""
carol_allen_1503;Carol Allen;6.0;"""Third sell huge head boy keep: Board test board message; First raise tell""";"""Sing consumer let character college letter: Resource final three; Security tough reveal quickly"""
joe_moore_9690;Joe Moore;91.0;"""(Protect write management) ; These and Tv author present""";"""Development nice if hospital; Including my your whole ; Design Republican"""
joshua_smith_1405;Joshua Smith;74.0;"""Budget: Choose eat; Process""";"""Culture book serious the; Church meet type ; Various room understand"""
jamie_md_6729;Jamie Brown MD;12.0;"""(Would) ; Culture child and Never how water everything""";"""Total center; Himself true Everybody or election necessary admit marriage"""
olivia_walker_3770;Olivia Walker;13.0;"""Fly wall heart; Woman claim mother president Bar first""";"""Note: Reflect evening then car; then Hot student store item goal in"""
tina_west_9078;Tina West;47.0;"""Think cell compare; Expert or Opportunity""";"""(Partner form) ; Fish American and Former enter recently full"""
