name	username	age	score	price	note
Amber Bradley	amber_bradley_8538	40.0	2.1	95.2	'''Note: Increase sell today key	 then Several your blue'''
Eric Hill	eric_hill_5933	25.0	23.1	31.2	'''Event lose; Art name seat area 	 Easy'''
Zachary Davis	zachary_davis_5976	88.0	72.1	30.2	'''(All to general) 	 Include carry and Ok culture fast'''
Molly Joseph	molly_joseph_6292	81.0	35.1	68.2	'''Note: Send charge building	 then Into sign'''
Aaron Ryan	aaron_ryan_2611	28.0	65.1	56.2	'''Human office moment half huge: My model simple	 It if window'''
Angela Smith	angela_smith_4422	11.0	7.1	86.2	'''Note: Person detail	 then Deal'''
Katherine Burgess	katherine_burgess_6528	24.0	21.1	43.2	'''Alone decade employee	 Involve hot cold Child kind condition open claim'''
Mark May	mark_may_9005	91.0	56.1	45.2	'''(Common national) 	 Would game child and White'''
Connie Carter	connie_carter_0402	9.0	85.1	16.2	'''Later	 Truth seem Over letter church interview'''
Nicole Wheeler	nicole_wheeler_3489	9.0		39.2	'''Note: Anyone may could check	 then White'''
Robert Hamilton	robert_hamilton_6545	44.0	23.1	38.2	'''Note: Experience total	 then Suddenly'''
Michael Peters	michael_peters_9269	59.0	55.1	1.2	'''Hold state brother: Prove physical	 Risk player'''
Troy Butler	troy_butler_3872	14.0	82.1	35.2	'''(My without main much) 	 Can almost and Arm'''
Jennifer Moreno	jennifer_moreno_8344	93.0	46.1	54.2	'''Expect who hour: Hold rise particular east suddenly	 Finish far'''
Christopher Brown	christopher_brown_2516	78.0	69.1	83.2	'''Break: Ground	 Sister sign nation'''
Mark Jones	mark_jones_4590	59.0	28.1	12.2	'''Analysis experience	 Performance player collection nearly base Else'''
e	gregory_smith_5319	85.0	3.1	36.2	'''Them partner material successful space identify	 Prove stand mean teacher Subject contain'''
Jeffrey Watkins	jeffrey_watkins_9147	72.0	18.1	61.2	'''Use	 Program recognize change above away Authority newspaper'''
James Valenzuela	james_valenzuela_3198	34.0	86.1	95.2	'''(Test arm) 	 Effect animal behind break marriage and Right management power appear last road'''
Anthony Nelson	anthony_nelson_2966	48.0	91.1	63.2	'''He article change	 Bar Thank meeting seem month'''
Jordan Malone	jordan_malone_4663	45.0	72.1	43.2	'''Note: Happen	 then Old either'''
Brian James	brian_james_9650	55.0	17.1	22.2	'''Note: Break past out offer	 then Responsibility begin'''
Justin Mccarty	justin_mccarty_0235	42.0	83.1	49.2	'''Each far	 Paper every Subject bad list realize'''
Rachel Sims	rachel_sims_3287	80.0	91.1	95.2	'''Mr middle eight	 Buy Person from word'''
Diane Ramos	diane_ramos_0679	20.0	26.1	1.2	'''Note: Job even common	 then Generation drive prove born evidence'''
Terry Rivera	terry_rivera_3936	85.0	28.1		'''Note: Bring for image draw certainly home	 then Scene three'''
Edward Cardenas	edward_cardenas_7269	57.0	28.1	86.2	'''Create road husband different	 Under agree If coach full sure job staff'''
Kari Williamson	kari_williamson_7795	73.0	43.1	45.2	'''Black long contain	 Project similar Stand describe'''
Angela Martin	angela_martin_3876	21.0	54.1	78.2	'''Everything notice past west: Huge recently but best apply staff	 Minute hair question worry'''
Travis Hamilton	travis_hamilton_9233	19.0	83.1	54.2	'''Include appear whatever; Have hot on rich market begin 	 Sport stand'''
Dr. Justin Sanchez	dr_sanchez_9138	54.0	84.1	90.2	'''Note: About sport	 then Country because else guess machine ahead'''
Helen Austin	helen_austin_8292	64.0	97.1	24.2	'''Nor western artist investment line: Top discussion	 Heavy throughout'''
Robert Butler	robert_butler_2874		9.1	37.2	'''Look network: Particular forward ahead	 Officer yard who certain'''
Gary Richardson	gary_richardson_9314	64.0	83.1	84.2	'''Note: Upon suddenly simple local check nothing	 then Prepare single hotel'''
Patrick Newton	patrick_newton_4015	87.0	98.1	50.2	'''Note: Low with	 then Detail community meeting if baby citizen'''
