name	username	total_count	price	salary	review
Charlene Brooks	charlene_brooks_3209	30.0	89.1	56.2	"""Note: Molestiae velit maxime	 then Quos modi"""
Debra Robinson	debra_robinson_3811	45.0	32.1	99.2	"""(Voluptates similique) 	 Temporibus tenetur and Sit omnis minima soluta amet"""
Jayne Ferguson	jayne_ferguson_0163	13.0	91.1	97.2	"""Sapiente ipsam: Delectus ullam	 Provident minima"""
Justin Stephens	justin_stephens_8828	27.0	48.1	83.2	"""(Quo consequuntur fuga) 	 Reiciendis magnam iste and Facere corporis aliquam"""
x	jean_williamson_8976	76.0	53.1		"""(Qui in repellat incidunt) 	 Delectus facere repudiandae and Aperiam veritatis"""
Julian Freeman	julian_freeman_8188	95.0	19.1	31.2	"""Saepe; Tempore temporibus 	 Rerum autem"""
Lindsey Singh	lindsey_singh_3662	2.0	100.1	43.2	"""Note: Eum magni laborum dolorum optio praesentium	 then Aperiam"""
Gordon Bennett	gordon_bennett_2165	87.0	19.1	6.2	"""Id explicabo mollitia; Debitis provident 	 Eum"""
Miss Wendy Spencer	miss_spencer_7515	96.0	27.1	61.2	"""Ipsum doloribus	 Mollitia praesentium illum similique vitae Repellendus saepe neque"""
Aaron Noble	aaron_noble_8676		76.1	15.2	"""Voluptatibus; Voluptatem deleniti cumque ex quos 	 Possimus laboriosam ullam asperiores"""
Mr Craig Lamb	mr_lamb_8037	47.0	75.1	87.2	"""(Perspiciatis fugiat ab ad vitae) 	 Incidunt dolore sint and Quasi cupiditate ratione"""
Stewart Bell-Bradley	stewart_bradley_7508	61.0	44.1	69.2	"""Iste molestias dignissimos	 At odio dolorum Explicabo dolorem veritatis dolor"""
Dr Gemma Wilson	dr_wilson_6789	36.0	43.1	65.2	"""Vitae; Labore soluta 	 Soluta totam maxime necessitatibus similique"""
Miss Margaret Reeves	miss_reeves_0981	28.0	90.1	24.2	"""(Reprehenderit doloremque laudantium saepe nihil voluptas) 	 Accusamus culpa and Occaecati"""
Ms Lindsey Newton	ms_newton_6461	43.0	58.1	85.2	"""Ut atque incidunt: Commodi	 Fugiat repellat"""
Samantha Hughes	samantha_hughes_1342	97.0	23.1	31.2	"""Note: Numquam aliquam ipsa doloremque	 then Asperiores perspiciatis praesentium"""
Dr Dylan Bennett	dr_bennett_3053	59.0	10.1	52.2	"""(Nulla ad) 	 Vel delectus et and Eius tenetur"""
Dr Clare Burgess	dr_burgess_4455	7.0	67.1	55.2	"""Tenetur aperiam ea architecto: Neque sunt atque nesciunt	 Odit doloribus nobis fugit voluptate"""
Dr David Burton	dr_burton_0331	12.0	32.1	30.2	"""(Iste incidunt id) 	 Hic and Incidunt voluptates ab vero reprehenderit sint"""
Gavin Smith	gavin_smith_4543	30.0	62.1	81.2	"""Natus cumque: Quisquam repellendus velit non alias dolore	 Doloremque illum vel vero omnis exercitationem"""
Mr Bruce Wilson	mr_wilson_7237	62.0	30.1	14.2	"""(Sit aperiam) 	 Placeat culpa illo and Eius unde id totam adipisci"""
Dr Jason Sanderson	dr_sanderson_4108	18.0		85.2	"""Praesentium: Recusandae ea	 Molestiae vero"""
Miss Natasha Hyde	miss_hyde_2392	74.0	56.1	59.2	"""Fugiat aliquam ea inventore: Rem eum provident	 Non"""
Robert Russell	robert_russell_1137	27.0	66.1	80.2	"""Magnam; Rem id occaecati 	 Qui amet occaecati"""
Maureen Davies-Reynolds	maureen_reynolds_0063	55.0	3.1	45.2	"""Earum officiis eius porro	 Nam veniam veritatis hic saepe Facere eligendi id"""
Mr George Clarke	mr_clarke_8731	2.0	72.1	66.2	"""(Magni quae voluptatem) 	 Qui and Veniam ratione voluptate"""
Ms Barbara Edwards	ms_edwards_1980	100.0	32.1	68.2	"""Aut facere; Expedita necessitatibus excepturi id eum voluptate 	 Adipisci omnis repellat ratione"""
Amanda Bailey	amanda_bailey_2803	90.0	76.1	55.2	"""(Voluptate) 	 Ex and Deleniti quae quos modi"""
