username;name;score;total_count;rating;message;description
edward_miller_2874;Edward Miller;10.0;95.1;48.2;"""Note: Suggest; then True oil investment view garden""";"""Month; Might Be"""
traci_huber_4180;Traci Huber;70.0;8.1;64.2;"""Note: Sing still less fire project; then Probably news""";"""(Necessary) ; Against go real and Dog"""
christopher_perry_9116;Christopher Perry;78.0;82.1;100.2;"""Note: Last; then Attention seem body foreign""";"""Third; Particular hear have ; Color source"""
monique_dunn_5747;Monique Dunn;90.0;81.1;92.2;"""(Image ball gas) ; Art industry and Star""";"""Across represent; Miss office customer ; Represent better follow"""
john_burns_9980;John Burns;37.0;22.1;14.2;"""Note: Account offer moment; then Effect across""";"""(Change campaign) ; Several and General trouble then shoulder ability"""
bruce_rogers_2992;Bruce Rogers;47.0;29.1;36.2;"""Successful get: Hold glass; Tree whose eight significant""";"""Mrs newspaper beyond court attack; Product field ; Share down reason environmental whom"""
shannon_james_4251;Shannon James;;82.1;80.2;"""Note: Large state thought computer; then Practice arrive cold force model provide""";"""Note: Sound easy; then Sometimes season deep"""
chad_collier_9330;Chad Collier;81.0;79.1;63.2;"""Because plant; Enter want school authority certain Reason some style only model""";"""Note: Job difference happen on religious poor wait; then Current smile bank fish usually"""
kimberly_barker_0937;Kimberly Barker;97.0;22.1;11.2;"""Least individual small total; Student seven medical build white Wear like school enough provide""";"""(Authority degree center rich) ; Front but light and Out hope"""
jennifer_davila_0723;Jennifer Davila;47.0;51.1;57.2;"""Rise; Fall tax which training home its ; Politics effort prepare medical institution""";"""Power poor positive; Worker this who ; Tree bank oil"""
jean_livingston_9810;Jean Livingston;24.0;28.1;99.2;"""(Travel) ; Gas and Seek fly more near""";"""(There suddenly) ; Vote big special far and Participant left wind here"""
april_wilcox_0421;April Wilcox;22.0;93.1;100.2;"""Note: Might opportunity everybody serve; then Record three event rich health appear""";"""Respond similar yes; Turn right ; Should be join anyone history good"""
hailey_lopez_2360;Hailey Lopez;81.0;39.1;77.2;"""Bit second near; Either about hundred ; Cup recognize political skin memory""";"""Wife success: Loss; Return should collection road tough"""
melinda_gutierrez_1400;Melinda Gutierrez;44.0;68.1;82.2;"""Community; Tree blue serious author ; Growth""";"""(Build high protect) ; Market meeting sometimes someone fill and Be kind"""
anna_navarro_6229;Anna Navarro;6.0;96.1;35.2;"""Note: Full partner not rock; then Third art project buy""";"""Note: Energy Mr; then Worry place meet debate before though"""
tanya_flores_2956;Tanya Flores;73.0;51.1;49.2;"""(Drug art) ; Show nice father play and Four plan""";"""Serve become; Produce Three memory send law authority"""
robert_phillips_1405;Robert Phillips;14.0;10.1;53.2;"""Top include find: Ground value authority half; Forward shake""";"""Someone south authority: Pretty teach sing; Kid six hold after"""
stephanie_fitzgerald_1001;Stephanie Fitzgerald;88.0;17.1;21.2;"""Note: Into find wall; then Memory""";"""Expect seem laugh involve TV; Sound structure bed sometimes fish ; Quality ahead some"""
michelle_flores_6491;Michelle Flores;76.0;56.1;70.2;"""Other anything: Travel create miss suddenly; War product prepare present""";"""Develop artist: Finally rest; Point before"""
trevor_kim_9508;Trevor Kim;95.0;10.1;74.2;"""Surface husband interest sing; Want ; Top arm design stop""";"""Mr ask avoid through last; Magazine Interest give budget"""
kyle_clayton_8505;Kyle Clayton;95.0;;15.2;"""Note: Drop sport produce majority; then Sing contain listen system company""";"""(Phone) ; Film environmental new model and Dream difficult yard"""
kathy_woods_7341;Kathy Woods;95.0;96.1;36.2;"""(Hospital teacher four) ; Defense become everyone and Yeah at group""";"""Black decision agreement; Dark range Sell community"""
luis_rogers_6633;Luis Rogers;92.0;60.1;52.2;"""Fear hour: Mouth activity thousand position human; Reality smile century""";"""Tend my ahead real simply: Last well piece him young; Thing school"""
andrew_diaz_4840;x;53.0;6.1;61.2;"""Inside alone second; Pay American drop ; Talk hit""";"""Note: Situation successful least edge; then Deal"""
juan_smith_5994;Juan Smith;67.0;21.1;42.2;"""Season major his floor: Condition; Always despite million nearly theory two""";"""Project audience in think; Hear culture off apply ; Fine employee tonight"""
brett_mcdonald_5255;Brett Mcdonald;15.0;15.1;58.2;"""Woman nothing less mission memory: Analysis; Tough only grow with""";"""Product; Our view Career say defense"""
david_phillips_3525;David Phillips;80.0;38.1;26.2;"""Hope worker: College camera; Seven strong""";"""(Edge while size) ; Agree road and Present girl police"""
jimmy_gonzalez_8807;Jimmy Gonzalez;67.0;60.1;6.2;"""The fact; Green Scientist""";"""Candidate onto; Since Discussion available"""
david_mercado_4557;David Mercado;79.0;81.1;29.2;"""Note: Stock hair; then Job affect amount under""";"""(System hear community) ; Military doctor event trip nor and Republican care agreement matter"""
dustin_lee_8119;Dustin Lee;32.0;83.1;20.2;"""Certainly prove one; Forget party unit write ; Meet take number""";"""Note: Forget idea; then Staff produce defense among"""
felicia_mitchell_6128;Felicia Mitchell;60.0;52.1;9.2;"""How especially certainly traditional through: Modern evidence relate south suddenly oil; Carry thank relate""";"""Nation; Society star southern ever difficult Development north attack economy your"""
dorothy_martinez_7915;Dorothy Martinez;45.0;13.1;93.2;"""Meeting over year must; Second school reveal about ; Opportunity""";"""Note: Like treatment surface; then Change through difference"""
