name	price	description
Laura Hart	20.0	'''(Room) 	 Air and Democratic alone your easy wish'''
Angela Donovan	3.0	'''Note: Safe less record	 then Before'''
Mrs. Jill Howard	25.0	'''Learn think remain short necessary	 Brother First general'''
Valerie Perkins	75.0	'''Environmental service thing ok instead	 Music American his production suffer'''
Dr. William Dunn	22.0	'''Short both town rest	 What bill amount add Second process trip'''
Gabriel Calderon	88.0	'''Child church: Area hold	 Sport let suffer about either'''
Alisha Turner	80.0	'''Note: Resource cover	 then Debate by'''
Jason Thomas	21.0	'''The; Wait low 	 Rate community happen'''
William Mendoza	34.0	'''Note: House manage laugh partner civil	 then Could television'''
Kenneth Cunningham	95.0	'''Sound study; Role treatment see both service 	 Deal because those indicate'''
Pamela Hernandez	1.0	'''Ready	 Cause human Than poor game'''
Carlos Cordova	31.0	'''Have decision; Establish 	 Teach civil'''
Patricia Hall	43.0	'''Note: Song indeed half commercial better	 then Which these'''
Toni Howard	49.0	'''On difference: Trip material sister	 Tree worry show'''
Brian Chambers	88.0	'''(Tell fine) 	 Order site consider and Will statement oil sign door education'''
Emily Moore	17.0	'''(Need special) 	 He represent and Truth'''
Paula Davis	86.0	'''Note: Reality sense	 then Travel improve speak build'''
Michael Cole	48.0	'''Thank citizen agent: Fire	 Drug win also world'''
Amanda Duncan		'''Note: Family network	 then Appear modern structure understand deep pressure'''
Ryan Hendrix	28.0	'''Six party; Establish line 	 Dinner cup suffer'''
Timothy Davis	51.0	'''Note: Large	 then Require pick have show'''
Benjamin Crawford	49.0	'''Parent area require: Watch deep economic seek	 Age material'''
Whitney Hughes	16.0	'''(Thought high skill live cell) 	 Eight investment and Day agreement director'''
e	46.0	'''Note: High population never	 then Hard term exist almost up'''
Kathleen Jenkins	76.0	'''(No travel effort three thank) 	 Sea share and Son live media'''
Debra Richmond	39.0	'''Note: Prepare	 then Example without'''
Danny Kelly	55.0	'''Eat; Yourself move 	 Likely time house under'''
Justin Lopez	78.0	'''Single good: Set not	 Child amount several structure itself bit'''
Patricia White	13.0	'''Face line; Section side 	 Short'''
Donna Fields	42.0	'''Note: According relate hand agreement	 then Stuff political ground candidate run allow'''
