username	total_count	salary	summary
mr_smith_2278	40.0	53.1	'''Blanditiis mollitia: Ipsum architecto dolorem	 Labore id veritatis cum beatae'''
mr_pearce_4047	20.0		'''(Officia eum voluptas reprehenderit facere) 	 Ut pariatur eum and Maxime'''
cheryl_robinson_1944	14.0	24.1	'''Note: Quod non corrupti ipsum recusandae	 then Veritatis laudantium cupiditate'''
dr_hussain_1442	60.0	83.1	'''Note: Quod nemo cum totam	 then Officiis voluptatem perspiciatis ex'''
mr_hewitt_7239		56.1	'''Facere facere rerum esse illo: Ducimus optio eveniet	 Rem in'''
mrs_briggs_8190	22.0	35.1	'''(Accusamus) 	 Ducimus explicabo quia and Nostrum'''
heather_walters_8670	99.0	59.1	'''Porro aliquid ipsam unde fugiat: Magnam magnam	 Iusto exercitationem sequi nulla'''
ashley_quinn_2080	20.0	24.1	'''Amet odio: Adipisci voluptates	 Harum iure voluptatem sit'''
miss_stephenson_9271	53.0	33.1	'''Officiis et dolorum	 Officia odit nesciunt Ab'''
damien_morgan_2819	17.0	71.1	'''(Sapiente perspiciatis repellendus) 	 Doloribus molestias ipsum and Necessitatibus tempora voluptatem recusandae accusamus'''
louis_wood_2126	9.0	92.1	'''(Odit rerum architecto tempora itaque est) 	 Expedita odio et and Voluptatum architecto'''
sian_gallagher_3366	7.0	11.1	'''Ut: Ad modi	 Adipisci'''
ruth_taylor_4866	41.0	80.1	'''Note: Labore atque accusantium	 then Sequi'''
glenn_byrne_5070	20.0	17.1	'''Esse ab	 Numquam at quidem totam Beatae suscipit'''
kenneth_bennett_3865	19.0	20.1	'''(Doloribus sed omnis soluta quasi optio) 	 Magni quos and Beatae mollitia consequatur'''
gordon_hughes_7734	33.0	62.1	'''Note: Molestiae inventore suscipit facere ad	 then Aperiam adipisci provident a'''
olivia_wilson_7874	2.0	65.1	'''Note: Modi natus	 then Corrupti'''
mr_oliver_0931	19.0	56.1	'''Quaerat commodi reprehenderit	 Ut ratione Totam natus'''
trevor_thorpe_8310	67.0	50.1	'''Voluptate quasi ullam	 Delectus adipisci sint Eius'''
charles_young_9015	12.0	54.1	'''Quas ipsa: Officiis sit iure ratione repudiandae ad	 Voluptatum at sint facilis illo esse'''
james_jones_1543	26.0	34.1	'''Note: Esse alias	 then Amet odio debitis'''
ms_walker_8395	4.0	83.1	'''Sapiente vitae: Pariatur assumenda recusandae sint	 Ab autem veniam asperiores veritatis unde'''
annette_sullivan_6906	91.0	32.1	'''Numquam illo dignissimos corrupti	 Sed repellat voluptates sapiente Blanditiis tempore'''
luke_cross_1087	56.0	26.1	'''Excepturi sed adipisci qui inventore hic: Beatae hic possimus deserunt	 Ducimus vitae dicta'''
carl_fraser_9310	7.0	70.1	'''(Omnis) 	 Placeat architecto eius dolore tenetur and Aliquam voluptatibus aspernatur excepturi'''
dr_spencer_1252	63.0	94.1	'''Iste nam rem: Odit at molestiae	 Temporibus veniam doloribus sint'''
natasha_booth_1330	80.0	2.1	'''(Quas maxime atque voluptates) 	 Facere eum itaque eos illum and Voluptatem ad minima laudantium harum possimus'''
gerald_kirby_9547	6.0	17.1	'''Repellendus corrupti quibusdam cum: Maiores	 Molestias officia saepe neque'''
scott_pratt_5767	79.0	76.1	'''Note: Doloremque	 then Qui vitae cumque'''
