# This is a comment line to skip
name,salary,description,remark
Benjamin Palmer,34.0,'''Successful us; Group fill , Born provide''','''Note: Create, then Table drive professor place'''
e,7.0,'''(Floor) , Happen form and Easy if field yet similar''','''(Firm religious) , Eye and Service itself second certainly'''
Patricia Crane,2.0,'''Note: Popular on suddenly dinner condition floor, then Whole''','''Claim last pass owner: Even, Court economy sure direction able'''
Taylor Wilcox,24.0,'''Current charge outside form; Wait , Loss suddenly''','''(Themselves because trial) , Information like season and Where look close'''
Joseph Harris,20.0,'''Already, Computer Cup effort''','''Note: Far message paper pull especially, then Successful really paper democratic'''
Lisa Watson,7.0,'''Note: Need floor machine medical campaign, then Drive each region''','''Entire trial great particular soon speak, Property Always office every'''
Gina Sutton,8.0,'''Throughout series; Officer center we , American conference''','''Note: Include major scientist, then Chance or office firm'''
Tammy Tate,59.0,'''(Hold decision) , Most run cut and Radio coach detail many''','''Happen board; Especially cultural employee test , Discover response issue suddenly school'''
Sergio Fletcher,88.0,'''Open push drug, Soldier name media month Newspaper example attorney''','''Foot herself: Reflect worker rise democratic resource whatever, Sort law'''
Steven Christian,9.0,'''Enough fish question thought together, Cause else Benefit walk''','''Bill least institution; Great the size friend , It usually image'''
John Sullivan PhD,39.0,'''Then position; Film left , Its marriage''','''Lot, Help address alone Two person thus resource blood'''
Sharon Smith,,'''(Black particularly dinner) , History free successful alone and North more our affect''','''(Strategy range) , Station again institution and Arrive seek involve consider'''
Courtney Robinson,42.0,'''Seat difference; Go per interview debate popular , Management case strategy drop''','''Per involve: Debate spend admit, Very'''
Melvin Long,70.0,'''Step, Apply painting Similar most''','''(Throughout community arrive image work rise) , Employee least and Happy think bit'''
Travis James,81.0,'''(At agency compare decision) , Loss stock main and Bill avoid''','''Which: Attorney ever book, Work recognize'''
Brittany Cook,37.0,'''(Room one) , Particular yet and Whole actually meeting''','''Whatever respond almost: Trial none, Red live catch offer'''
Natalie Carson,45.0,'''Book order, Cup possible economy impact Family boy necessary''','''Note: Not appear teacher kind who, then Red ten show gas happy'''
Richard Cooper,74.0,'''(Seek third reflect knowledge) , Each director product society once and Threat''','''Sing fall: Tough call space me large view, Little happy arrive civil purpose'''
Roberto Horton,7.0,'''Eye; Act top character , Cultural alone individual character''','''Design affect old fish anything: Quality kitchen prove hour machine, Executive compare'''
Ricky Giles,21.0,'''Visit perform me these wide, Analysis at human direction listen value North forward who bad hope''','''Establish Republican two, Each control Remain involve shoulder'''
Kevin Adams,86.0,'''Which: Today start professor to now, Budget move building wait prepare''','''Realize new again include: List, Choose purpose'''
Steven Carlson,5.0,'''Party PM able attack although cell: Create success shoulder yeah, Face beyond''','''(Suddenly experience) , Shoulder too cost pull child and Benefit fear'''
Sarah Donovan,27.0,'''Line; Approach movement , Others unit with''','''Especially: Sing truth, Table door other'''
James Leonard,52.0,'''Clearly politics what woman ten, Science value cup Responsibility policy should''','''Note: But figure wind, then Leader media'''
Bruce Grimes,95.0,'''Note: Reality Democrat unit, then Boy ask''','''Note: Language star government animal, then Hospital PM industry'''
James Flowers,1.0,'''Somebody among within once; Could mind carry , Begin feeling''','''(Long win claim) , Commercial and Fact threat however'''
Miranda Aguilar,14.0,'''Early, Concern exactly standard operation Collection southern right four investment''','''Movement job; Put special , Travel'''
