username,name,salary,total_count,review
andrew_flores_3603,Andrew Flores,66.0,11.1,'''Note: Major should, then Record physical it'''
julie_peck_2009,Julie Peck,13.0,1.1,'''Talk fast: Politics director decision, Produce its to'''
nicholas_tapia_5619,Nicholas Tapia,8.0,10.1,'''Work protect military: Rock tonight, Feeling whom'''
alyssa_juarez_1405,Alyssa Juarez,17.0,89.1,'''Ever, World hour Artist head throw week'''
miranda_wilson_5150,Miranda Wilson,35.0,14.1,'''Note: Particular blue, then Few'''
teresa_harper_1878,Teresa Harper,63.0,51.1,'''Note: Phone doctor social, then Score mouth'''
dennis_black_4990,Dennis Black,,68.1,'''During every arrive go; Remember final foot true ten again , Present pressure data window'''
brian_alexander_7786,Brian Alexander,51.0,18.1,'''Quickly we: Fund from adult sport under, Finish style call'''
carrie_gray_6911,e,90.0,48.1,'''Friend believe Republican: Relationship those, Hundred'''
judy_collins_0462,Judy Collins,30.0,42.1,'''Note: Question beyond between, then Model spring'''
mr_jr_6178,Mr. Robert Williamson Jr.,79.0,22.1,'''Morning factor; Finish yet system culture , Project reflect challenge'''
marcia_ingram_9060,Marcia Ingram,10.0,17.1,'''Note: Fly performance community, then Agent'''
lawrence_powell_9824,Lawrence Powell,93.0,93.1,'''(Make note amount themselves require) , Natural picture table and Economic want allow garden expert bank'''
john_campbell_4169,John Campbell,31.0,1.1,'''Case right majority help cut; Result , Process else resource'''
joshua_dunn_6975,Joshua Dunn,7.0,25.1,'''(Employee left) , Wonder travel career series share and Stop Republican manager'''
catherine_daugherty_9630,Catherine Daugherty,42.0,5.1,'''(Remember with tough college value) , Material quickly support man and Dark share exactly rate'''
michelle_perez_4097,Michelle Perez,35.0,25.1,'''Respond cold, Time stay Several born approach town'''
april_wade_6237,April Wade,3.0,45.1,'''Note: Certain, then Something laugh above'''
amy_villanueva_7706,Amy Villanueva,91.0,74.1,'''Produce area gas lot purpose, Close south Keep trip'''
paul_villanueva_7351,Paul Villanueva,63.0,14.1,'''Note: Radio, then Keep finish wrong'''
charles_howard_1551,Charles Howard,73.0,8.1,'''Theory resource despite; Among ago wife , State'''
samuel_anderson_2711,Samuel Anderson,47.0,98.1,'''(Hold news) , Popular system nor and Pull in'''
stephanie_miller_2353,Stephanie Miller,65.0,59.1,'''Travel suddenly sister: Rest company book, Avoid offer'''
brian_pham_5927,Brian Pham,89.0,83.1,'''Week and; Without box out line , Material represent court parent goal one'''
eileen_reeves_3393,Eileen Reeves,13.0,97.1,'''Why language operation itself, Around place Style total major police'''
ronald_cline_8226,Ronald Cline,70.0,96.1,'''Foot, Threat TV Partner particularly'''
scott_medina_7017,Scott Medina,55.0,62.1,'''Note: Second, then Nearly TV develop such wait'''
lisa_miller_7287,Lisa Miller,44.0,75.1,'''Modern grow; Step buy line body , Great'''
brittney_rogers_9645,Brittney Rogers,10.0,31.1,'''(Require box thing then heart) , Drop public father partner item and Before kind onto'''
jose_day_7107,Jose Day,90.0,81.1,'''Note: Knowledge ago follow tax purpose, then White focus'''
kathy_dvm_5878,Kathy Byrd DVM,5.0,97.1,'''Lead current fire look them: Ground say, Pass benefit'''
kevin_adams_7416,Kevin Adams,80.0,89.1,'''Occur identify show much; Old write visit , Cause garden'''
phillip_banks_1671,Phillip Banks,20.0,29.1,'''Tonight method short never star, Several city thousand they use Move best record'''
kathleen_bates_7749,Kathleen Bates,11.0,69.1,'''Heavy usually continue official, More couple Much together Mrs cover product use'''
jenna_hahn_9253,Jenna Hahn,78.0,94.1,'''In west, Factor Task sit strong collection large perform'''
matthew_valenzuela_0239,Matthew Valenzuela,17.0,55.1,'''(Hair various main) , Form other lot pull and Hope stuff improve address'''
brendan_benson_0397,Brendan Benson,9.0,99.1,'''Note: Vote then however, then Agent result'''
anthony_king_7634,Anthony King,60.0,22.1,'''(Financial surface end) , Interest course relate nation goal site and Police step particular special'''
susan_robinson_9424,Susan Robinson,43.0,10.1,'''Offer follow light: Any into impact method professional, American loss necessary'''
eric_rush_9274,Eric Rush,64.0,13.1,'''(Step) , Gas image and Compare language like cut'''
autumn_davis_2664,Autumn Davis,45.0,39.1,'''Also rather; Mean simply list , Audience call'''
terry_lynn_4473,Terry Lynn,51.0,87.1,'''Note: Different likely wind, then Rather current'''
kenneth_simmons_0531,Kenneth Simmons,31.0,,'''Remain mean election effort who: Different learn debate, Inside goal'''
christine_ray_9483,Christine Ray,61.0,61.1,'''Store speak; Red possible believe relationship front , Task any so American'''
james_kramer_5993,James Kramer,52.0,60.1,'''Note: Shoulder likely, then Green before away then candidate'''
denise_rodriguez_5871,Denise Rodriguez,32.0,28.1,'''Project maintain: Break wide, Coach I herself easy apply'''
bradley_lewis_7426,Bradley Lewis,25.0,100.1,'''Note: Hand technology until then physical return, then Popular keep'''
jose_king_2343,Jose King,26.0,40.1,'''(Visit) , Write wear tonight action and Since'''
elizabeth_murillo_5471,Elizabeth Murillo,2.0,85.1,'''Task blood for often program, New nothing difficult toward interesting understand Ask'''
