name	username	age	score	summary
Jason Nicholson	jason_nicholson_9878	12.0	23.1	"""Must site charge class lawyer: Event stock from central oil	 Radio trip somebody"""
Rhonda Gonzales	rhonda_gonzales_3157	66.0	6.1	"""(Owner) 	 Old various court long yet and Administration series suggest method determine"""
Sally Matthews	sally_matthews_5431	76.0	62.1	"""(Similar officer everyone) 	 Party choose next level and Very factor administration"""
Madison Sharp	madison_sharp_3524	24.0	6.1	"""Note: Brother especially face level spring recent	 then Assume north"""
Thomas Hansen	thomas_hansen_6093	80.0	92.1	"""Note: Their per course run marriage	 then Everybody happy recent"""
Travis Aguirre III	travis_iii_8518	31.0	37.1	"""Open information generation mind indicate	 Man language Part trial seem"""
Kelly Garza	kelly_garza_8827		95.1	"""West than few; Enjoy ability enter specific 	 Care agreement agency people half"""
Mrs. Stacey Thompson	mrs_thompson_1417	51.0	25.1	"""Audience medical hundred ask; None 	 Police life"""
Peter Mills	peter_mills_7356	58.0	94.1	"""Board pick today: Management soldier	 Cold pressure author offer"""
Lauren Smith	lauren_smith_2251	84.0	67.1	"""Kind pass	 Decade inside while plan Sport one"""
Eileen Bowers	eileen_bowers_8377	73.0	47.1	"""What create surface meet how	 Cause property song since national Wall whose"""
Kyle Powers	kyle_powers_8669	56.0	41.1	"""Between add knowledge parent machine: Remain Republican benefit	 Fall"""
Tabitha Baker	tabitha_baker_7785	91.0	22.1	"""Note: Staff prevent	 then Republican station walk partner up happy"""
Beverly Gutierrez	beverly_gutierrez_6381	91.0	19.1	"""Instead conference; Thank step act throw also example perform 	 Miss individual when would project may"""
Tom Davis	tom_davis_4904	45.0	76.1	"""Note: A down act	 then Recent agree"""
Breanna Carter	breanna_carter_1440	50.0	2.1	"""Street standard store	 Section low Too run"""
Scott Morgan	scott_morgan_2223	49.0	15.1	"""(Wall interest) 	 Team maybe break and Shake card send power unit"""
Daniel Huang	daniel_huang_4131	54.0	83.1	"""Responsibility: History short establish statement law data	 Later participant"""
Aaron Martinez	aaron_martinez_8163	100.0	24.1	"""Back own peace; Which else table 	 Hour thing"""
Troy Baker	troy_baker_2328	90.0	9.1	"""Beyond notice former also she: Them film	 Seven surface fall less"""
Teresa Lee	teresa_lee_6123	19.0	68.1	"""These song plant; Other experience 	 Where when"""
Andrea King	andrea_king_9235	47.0	58.1	"""All spend civil	 Culture close five activity instead Fund science under skin increase"""
Jeremy Santos	jeremy_santos_4866	98.0	63.1	"""Note: Hit most question voice	 then Training bag instead note"""
Jennifer Nunez	jennifer_nunez_9852	27.0		"""Anyone newspaper party fight step character; Remain black box 	 Exactly window relate challenge magazine"""
Wesley Perry	wesley_perry_1747	55.0	6.1	"""(Again rock) 	 Poor east seem and Several"""
Wanda Cummings MD	wanda_md_3887	26.0	13.1	"""Ability	 Continue head camera Old environment significant"""
 	donna_watkins_6023	44.0	50.1	"""Note: Main what general explain	 then By cut"""
