name,age,remark
Kara Fuentes,44.0,'''List war down of per other; Every , Result different company'''
Mary Bryant,95.0,'''Agreement weight company: Difference win seek realize poor, Throw'''
Anthony Stephens,67.0,'''(Continue) , Technology and Approach property memory street'''
Ryan Nunez,37.0,'''Behavior policy; Large wide , Body'''
Amanda Jones,2.0,'''(Fly brother PM yeah) , Marriage article only forward add cause and Others series operation'''
Shannon Hahn,26.0,'''At produce also: Summer service blood, Sign serve spring'''
Julie Williams,74.0,'''Of out woman operation human, Something carry tree traditional beat Use mention board'''
Danielle Johns,33.0,'''Cup owner floor throw thing: Operation open, Good test'''
Jasmine Garcia,97.0,'''Note: Create measure region eye upon sea, then Myself child interview here'''
Abigail Barnes,51.0,'''School instead: If so once, Possible break'''
David Cervantes,41.0,'''East happen power, Night camera friend Population'''
Tom Watkins,29.0,'''Discuss task him, Cell establish choose out Available key'''
Robin Rojas,76.0,'''Which feeling wife father although; Short bed up , Yourself director'''
Cynthia Blair,21.0,'''Think particular hotel lay; Middle , Bit sport idea'''
John Buck,98.0,'''Police worker finally charge seem type; Argue claim great , Team part better talk interview'''
Ryan Yu,52.0,'''(Accept address) , Full would off suggest and Election call'''
James Mueller,33.0,'''Scene seven seek: Ok write audience, Result fact where middle'''
Lauren Goodman,54.0,'''(Better small under involve three hair) , Teacher meeting rest and Hundred somebody read bill look'''
Antonio Wilkins,94.0,'''Cultural; Rock these two , Hear pattern'''
e,30.0,'''Note: Own remain structure deal, then Most rule apply bag economic'''
Jacob Parker,94.0,'''(Director far plant whole) , Card and Cultural growth building crime long south'''
Kayla Watkins,,'''Spend against card: Role method option, Drive trade free'''
Melissa Perry,52.0,'''Fish easy: Push return, Reality program financial employee personal'''
