username;name;rating;review
sylvia_curtis_4352;Sylvia Curtis;47.0;'''(Vel nihil doloremque) ; Aliquam est reprehenderit voluptates quo unde and Officiis dignissimos'''
nicole_harding_0137;Nicole Rowe-Harding;29.0;'''Asperiores laborum: Reiciendis quo explicabo; Voluptates perspiciatis'''
bradley_smith_4814;Bradley Smith;55.0;'''Note: Assumenda esse molestias saepe; then Voluptatum nostrum accusamus accusamus'''
ms_patel_8877;Ms Lucy Patel;;'''Recusandae deleniti accusamus; Ipsa sapiente blanditiis Esse'''
marilyn_moran_8093;Marilyn Patel-Moran;73.0;'''Error voluptas dicta; Eos sunt aperiam ; Excepturi corrupti'''
ms_mason_0377;Ms Nicola Mason;39.0;'''Note: Dolorum ipsam; then Consectetur deleniti'''
valerie_osborne_0465;Valerie Lewis-Osborne;7.0;'''(Dolor provident rem) ; Dolorem atque saepe and Commodi ducimus'''
julie_craig_5395;Julie Craig;63.0;'''Et quaerat; Ex aspernatur voluptatem quisquam ; Error veniam esse harum ut'''
stephen_vaughan_6238;Stephen Vaughan;17.0;'''Note: Perferendis quasi dolorum; then Quo sapiente explicabo'''
mr_king_7290;Mr Terry King;5.0;'''Amet repellendus laboriosam repellendus dolorum: Deleniti; Quis veritatis repudiandae'''
bethan_green_2366;Bethan Green;9.0;'''Eos autem enim aliquam: Possimus officiis tempore suscipit; Aperiam odit aliquid quo'''
stewart_williams_3506;o;51.0;'''(Vitae) ; Praesentium necessitatibus and Nobis'''
mohamed_lowe_8819;Mohamed Lowe;62.0;'''(Dolorum illo) ; Veniam quod voluptate beatae and Nemo temporibus'''
max_scott_3012;Max Scott;24.0;'''Natus possimus: Odit; Saepe delectus'''
stephanie_owen_5566;Stephanie Owen;92.0;'''(Laboriosam repudiandae) ; Quo minima laboriosam and Illum facilis aspernatur'''
kate_walker_0667;Kate Walker;70.0;'''Aliquam nesciunt impedit praesentium ducimus; Velit est ab Porro enim in'''
frances_freeman_3339;Frances Freeman;44.0;'''Deserunt non fugit sapiente perferendis; Laborum ipsa ; Consequuntur sequi facere reiciendis itaque'''
bernard_gilbert_8288;Bernard Gilbert;67.0;'''Assumenda: Corrupti culpa; Neque reprehenderit'''
miss_page_2581;Miss Carly Page;98.0;'''Molestias sapiente praesentium; A quod Aliquid omnis aspernatur sed'''
kieran_miller_6117;Kieran Miller;51.0;'''(Nisi earum) ; Repellat pariatur veniam and Sequi adipisci'''
