username	name	rating	note
tina_hussain_6208	Tina Hussain	74.0	'''Ex suscipit maxime: Similique nemo error laboriosam praesentium	 Harum voluptates dicta'''
harriet_neill_8925	'Harriet O''Neill'	88.0	'''(Ab iure) 	 Officia sint enim qui and Iure blanditiis'''
andrea_hughes_6206	o	62.0	'''(Nobis odio debitis saepe) 	 Temporibus porro molestias sapiente and Sint dolores expedita'''
june_james_4646	June James	37.0	'''(Dolor error) 	 Praesentium quod aliquid nostrum eius and Explicabo explicabo provident'''
dr_fry_8538	Dr Dylan Fry	7.0	'''Nemo cum exercitationem est exercitationem	 A ex Quasi'''
mr_mann_2548	Mr Roy Mann	2.0	'''Labore harum odit nobis: Rerum soluta	 Temporibus assumenda praesentium eius repudiandae'''
jennifer_pollard_2202	Jennifer Pollard		'''Numquam necessitatibus; Eum nobis 	 Perferendis'''
chelsea_davies_4780	Chelsea Davies	98.0	'''Minima dolorum; Iure facere 	 Quisquam'''
mr_thompson_1350	Mr Thomas Thompson	59.0	'''Velit eveniet; Rem eligendi repudiandae 	 Ullam'''
mrs_watson_8513	Mrs Sharon Watson	83.0	'''(Tempora quis vitae culpa consequatur) 	 Cumque suscipit natus eveniet esse accusamus and Sapiente in'''
john_clarke_3059	John Clarke	62.0	'''Note: Harum beatae	 then Accusamus nisi saepe ad non'''
josh_lambert_6319	Josh Lambert	73.0	'''Temporibus quos nobis excepturi	 Provident Facere'''
katy_thomas_0377	Katy Thomas	44.0	'''Facilis aut magnam: Voluptate repellendus exercitationem	 Veniam cupiditate deserunt aliquid'''
scott_roberts_1471	Scott Roberts	37.0	'''Note: Eos beatae minus	 then Velit tempore quia consequatur'''
lee_faulkner_7105	Lee Faulkner	80.0	'''Ea cumque molestiae ipsam necessitatibus: Consequatur omnis	 Voluptates eligendi quisquam'''
sam_clayton_0092	Sam Barker-Clayton	47.0	'''(At vel tenetur nostrum ducimus) 	 Magni nesciunt aliquid doloribus and Accusantium'''
kelly_frost_7486	Kelly Frost	65.0	'''Sapiente est dolor: Saepe numquam possimus aliquam optio repellat	 Eveniet corrupti perferendis deleniti nam facilis'''
alexandra_hill_6281	Alexandra Rose-Hill	41.0	'''Corporis cumque; Earum adipisci 	 Blanditiis alias veniam'''
mrs_dixon_5059	Mrs Alice Dixon	80.0	'''Molestiae; Optio accusamus eligendi 	 Nemo at'''
rebecca_nolan_0090	Rebecca Nolan	17.0	'''Expedita nostrum; Reprehenderit est eaque 	 Ad quisquam'''
