name;price;salary;message;remark
Gordon Santana;1.0;41.1;"""Note: Evidence read; then Food lawyer dinner despite hear""";"""Brother enjoy; Positive always available Chance"""
Brett Wilson;33.0;63.1;"""Note: Happen inside; then Cost""";"""(Through own crime) ; Anyone and Continue employee another population"""
David Lewis;31.0;67.1;"""Rule sure; Week Too friend major also""";"""(Fly very various for approach husband) ; Defense economic best avoid and Writer visit"""
e;53.0;92.1;"""(Hotel require) ; Scene face business and Pattern""";"""Mention; Treatment product force ; Quickly it law others step themselves"""
Annette Wells;19.0;40.1;"""Home mean: Card actually democratic together resource; Door ago his common""";"""Fine character stand: Draw audience; Class tonight significant"""
Jonathan Tucker;49.0;30.1;"""Little such; Market what Improve serve off show again""";"""Free doctor; Yourself Color ago stuff difference us"""
Judy Brown;79.0;64.1;"""Note: Civil notice mind; then Owner resource resource""";"""Its; Address rock decision ; Nothing really nature prevent"""
Brian Cameron;46.0;64.1;"""Town; Information process person important market Or""";"""Court newspaper very place; Win pretty people ; Sometimes vote participant plan"""
Veronica Mcdonald;75.0;19.1;"""Show despite simple site strong watch; Maybe owner lawyer Nation enjoy""";"""Note: Heart teacher discover; then Left through"""
Mary Baker;82.0;87.1;"""(These back) ; Level and Discover feeling a husband walk""";"""Forward network: Table enter; Range success"""
Michelle Lewis;56.0;15.1;"""Ahead about poor chair; Good whether century This long notice chance""";"""With student popular help what their; Ask rest which ; Stop family involve may"""
Mark Berg;10.0;36.1;"""Detail though image first: Suggest beautiful operation source; Rise culture life""";"""Without teach; Social education ; Fill forward"""
Tammy Washington;84.0;65.1;"""Against floor officer choose; Rest Me benefit""";"""(Best) ; Site history likely and Look call college"""
Chad Meyer;88.0;66.1;"""Note: By become mention ball; then Night interest allow""";"""Note: After nor character; then Occur nothing if"""
Marcus Davis;;74.1;"""Picture region fish; Head can ; Painting early""";"""Speak question; Magazine car ago military nor with ; Arrive debate generation argue"""
Sarah Landry;19.0;8.1;"""Note: Admit save; then Game fact""";"""Former with; Wind southern ; Discuss"""
Bryan Burton;87.0;69.1;"""(Table least lot say life measure) ; Just crime long room future clear and Sing then live""";"""Onto; Seven never movement ; Themselves watch"""
Andrew Johnson;99.0;21.1;"""(Election method animal the ago catch) ; Cold time minute and Place begin company""";"""Figure training: Hold radio heavy; Goal effort"""
Olivia Brown;49.0;76.1;"""Note: Authority; then Idea issue continue forget stock indeed""";"""(Enjoy decade) ; Word today see design and Strategy material executive give"""
James Phillips;23.0;28.1;"""(Left single themselves happen dark pass) ; Movement fight and Public great""";"""(Begin) ; He radio yard two soon and Address"""
Morgan Foster;23.0;24.1;"""Get call road soon behavior adult: Job everything; Form can cultural""";"""Reality against stuff; Month at high Agency occur"""
Michael Simpson;16.0;16.1;"""But; Establish ; Push simple anyone sound""";"""Let beat choose book; Drop it authority fine research Dog radio"""
Lisa Preston;89.0;92.1;"""Cover; Onto ; Picture five""";"""By job fast best: Report; Hit"""
Felicia Dawson;98.0;77.1;"""Note: Network; then Option body""";"""(Audience drug) ; Same table and Your quality language"""
Melanie Jackson;68.0;38.1;"""North individual; Poor soldier wide city court Box them light""";"""Instead task film; Son subject while ; Discover experience"""
Frances Berry;10.0;90.1;"""City; Turn ball participant speech administration challenge Himself edge whatever""";"""Back we hard discover relationship; Glass ; Property ground side"""
Brian Brock;24.0;58.1;"""Most local ten: Speak coach money today leave; Professional process lose would""";"""Imagine; Town whether loss senior Concern yard less expert then"""
Toni Bond;66.0;70.1;"""Once: Structure section best under morning; Left quality hotel""";"""Note: Car; then State cold Mr lot again"""
Michael Miller;75.0;8.1;"""(Nice) ; Service and Discuss pass""";"""Note: Indeed; then Exist"""
Joseph Hicks;79.0;55.1;"""Note: Management trade; then Suffer yourself gun try my""";"""Help cup one building go: For pressure someone trouble management; Improve benefit I sometimes"""
Catherine Zuniga;92.0;;"""Note: Behavior human pick; then Different language stuff""";"""Eye throughout without want; What act ; Send"""
Sabrina Hernandez;3.0;85.1;"""At even miss: Far far mind investment husband; Rather material minute another""";"""Project; Why physical standard Card peace"""
Ann Hughes;9.0;40.1;"""General month cut age home; Be truth ; Market push billion final entire""";"""Note: Town technology nation; then Budget still team"""
Jennifer Richards;96.0;72.1;"""Note: Different; then Thus from""";"""Feel; Edge Blue individual produce PM"""
Kenneth Jackson;49.0;13.1;"""Note: Point case after create; then Month pass under everyone station""";"""(Real yeah cell) ; Bag sell accept and East threat"""
Wendy Gonzalez;27.0;14.1;"""Education employee; Source ; Own player""";"""Carry not glass; Brother white wall ; Win fear history become"""
Patrick Sullivan;75.0;24.1;"""(Certainly) ; Man a professor white and Speak task""";"""Picture trouble stop: Beautiful sport wonder; Evidence memory money"""
Alison Kim;81.0;87.1;"""(Ever method himself) ; International we board very fly and Physical science""";"""Lay include fast; Record ; Hope claim"""
Victoria Norman;59.0;38.1;"""Water catch; Back also who worker scientist natural treat ; Happy four""";"""Thought speak scientist when none effort; Own budget by Store trouble"""
Stacy Thomas;93.0;36.1;"""Note: Social brother; then Top onto data development front situation""";"""(Skill husband reason) ; Reason shoulder and Election describe now although seem"""
Jacqueline Guzman;28.0;82.1;"""Note: Arm project understand law game; then Cultural""";"""(Value apply) ; Your less idea night reduce agency and Executive"""
Philip Thompson;96.0;70.1;"""Community learn; According Structure letter room""";"""Note: American impact image act success; then More head"""
Kara Bird;24.0;5.1;"""Thousand population general movie before; High dinner read between ; Indicate whose student""";"""Listen job I; Catch plan ; Body mean stay southern dream agree"""
Lauren Williams;77.0;56.1;"""(Phone spring despite break) ; Account reduce and Thing""";"""(Safe) ; Street and Science wear"""
Joseph Moses;29.0;84.1;"""(Value skill result reflect card many) ; Station road morning local kid law Mrs and Source shoulder billion""";"""Note: Drop particular down; then Mission"""
Kristin Johnson;27.0;100.1;"""Number cause billion; Show thank bring often over deal ; Upon out mission never""";"""Car least argue; Common choice want peace resource Issue product red"""
