# This is a comment line to skip
name;age;salary;description
Tammy Craig;61.0;48.1;'''(Medical hospital stand face) ; Student then skin single turn and Respond apply'''
Christina Johnson;100.0;23.1;'''Generation from; Anything top Still official'''
Amber Jackson;5.0;81.1;'''Fly office recognize writer; Fill a since ; She natural relationship piece bring'''
Aaron Torres;30.0;2.1;'''Note television stay: Strong; Guess but I million concern'''
Felicia Davis;95.0;77.1;'''Information full every least: Task yeah include respond green network; Security myself answer'''
Lee Rivera;84.0;49.1;'''Note: Media spend space early discussion; then Deal impact reduce cold wonder'''
Brian Sanchez;18.0;23.1;'''Simply from seat: Trouble fight small; Money together staff court'''
Kimberly Peterson;11.0;63.1;'''Former something open push; White environment from Nothing himself talk'''
Mario Dillon;62.0;14.1;'''Change left at; Time moment Head any trip tend deep'''
Robin Kelly;25.0;57.1;'''Understand score; Interesting PM require Others owner health'''
Carolyn Harvey;60.0;63.1;'''(Today thus public) ; At must other yourself and Choose network'''
Brandon Cardenas;64.0;68.1;'''Note: Look from religious; then Us back'''
Justin Mccoy;42.0;55.1;'''Finally away; Hit Strategy style'''
Christine Olson;11.0;89.1;'''Note: Along majority green newspaper; then Drive score most'''
Thomas Jones;95.0;56.1;'''Some among; Model skin back write my Nation force true'''
Melissa Wells;85.0;7.1;'''(Will financial give poor statement) ; Once boy and Action wonder eat'''
Jesse Murray;14.0;53.1;'''When group left want; Training learn natural establish simply rise ; Establish run necessary standard'''
Gregory Smith;68.0;56.1;'''Religious personal; Easy region here again ; Agency reach development possible'''
Barbara Owens;18.0;88.1;'''Difficult structure; Citizen Collection both'''
Kim Petersen;36.0;53.1;'''Also media; Light trouble oil character make ; Present worker control'''
 ;100.0;23.1;'''Note: Include stand; then School letter many'''
Douglas Chavez;9.0;62.1;'''Note: Important whom; then Strategy base'''
Terry Crane;83.0;85.1;'''(Truth still especially benefit cause) ; Population list blue even and Drop develop type American'''
David Casey;30.0;80.1;'''Partner mother surface popular life available; Billion individual ; Direction often two staff require'''
Jeffery Gonzalez;66.0;78.1;'''Maintain consumer; Fall could one Week bed mother'''
Jeremy Phillips;10.0;75.1;'''Practice pretty analysis: Down dog; Book movement politics claim us'''
James Murillo;49.0;69.1;'''Teacher fire: Paper as; Around baby away'''
Lee Wagner;5.0;29.1;'''Sound read will occur; Eye long ; Guess style could rich'''
Brian Young DDS;3.0;57.1;'''Free computer open: Author Democrat; Ahead TV son court'''
Samantha Johnson;3.0;6.1;'''Official order; Happy father office season Simply situation as create'''
Marc Anthony;94.0;11.1;'''Note: Over; then Side act direction'''
Charles Daniel;47.0;3.1;'''Note: Two fill rather; then Property'''
Morgan Hebert;82.0;39.1;'''Note: Recently against admit; then Policy economic'''
Jason King;;96.1;'''Throw skin experience size; Food other truth protect fish support ; Again apply relationship'''
Todd Scott;14.0;67.1;'''Fact else: Put area; According explain product'''
Jennifer Sloan;29.0;38.1;'''Economy sister cultural: Figure cell; Story family free probably cover'''
Emma Lee;75.0;;'''Against baby; Yard available seat could Most card choose road run'''
Andrea Anderson;96.0;51.1;'''A brother item; Music off sea Hotel nor'''
