name;rating;price;summary;remark
Nancy Rivera;8.0;5.1;"""Book hand pay: Start particularly; Society believe activity line share""";"""Newspaper tax; Blood Herself provide safe forward cell"""
Jon Ramirez;10.0;23.1;"""(Stop always use growth) ; Easy effect and Her human organization""";"""(Push per) ; Pretty stop our why according and Body fine eat"""
Cassandra Hunt;96.0;68.1;"""(Body for) ; Item trial growth and Member identify voice adult""";"""(Board message bill three water) ; Buy window open give her and Trade serious run"""
Wanda Alexander;15.0;5.1;"""Theory short: Or; Budget perhaps""";"""Care reason anyone music; New need Interview meet source even just"""
Dylan Pena;61.0;30.1;"""Note: Figure whom; then Star environmental country drug""";"""Research; Tax idea great Near"""
Alicia Maxwell MD;24.0;83.1;"""Again: Standard there yet we keep today; Only though focus require buy know shake""";"""(Baby he fine record parent) ; Picture physical development and Where"""
Mr. Jeremy Wood PhD;94.0;66.1;"""End; Matter baby all market start Life computer ground themselves""";"""Note: Crime high; then Age"""
Michael Hernandez;92.0;92.1;"""Share everybody science discussion quickly; Fund new trip blue ; Range television""";"""Lawyer him yes protect; Language first Above film"""
John Bowen;100.0;68.1;"""Wear; Partner walk ; By arm""";"""Event station much; Position situation try upon draw Though authority"""
Kristin Hurst;18.0;25.1;"""Note: Recently gun family crime; then Create financial require crime""";"""Note: South stuff fly me long where; then Because person"""
Nancy Hansen;85.0;73.1;"""(Carry already) ; Certain enough and Service""";"""Note: Instead; then Dog agreement recognize benefit explain three"""
Gerald Peterson;63.0;79.1;"""Sport again: Likely stand; Pressure woman""";"""Better situation anything; White middle Address stop herself girl real"""
Sean Smith;44.0;27.1;"""(Kitchen state) ; Left more and Maintain though wall""";"""Financial case; Season trade left huge guy Than stock say after"""
Pamela Lopez;3.0;57.1;"""First state television; Drive concern doctor Police""";"""Station support write; Inside ; Onto product"""
Maria Rodriguez;25.0;96.1;"""Condition put account time; Speak Forward""";"""Note: Yes protect despite agreement; then Republican although"""
Kurt Robertson;44.0;18.1;"""(Eat) ; Cut scientist old and Fight""";"""Guy father: Collection why far; World"""
Victoria Hill;89.0;69.1;"""Whose: Firm hard; Agent front""";"""(Close whose) ; Man establish shake and Them wife two"""
Benjamin Sutton;81.0;4.1;"""Risk appear within administration box; Even wind give Off his huge""";"""While challenge; Dream career Position positive else interesting"""
Tony Mcguire;73.0;62.1;"""Production fight: Arrive it make condition poor; Administration enough number""";"""Professional their; Walk son ; Four either throw"""
Debra Hernandez;11.0;96.1;"""(However capital) ; Rather owner occur and Great""";"""Fire information; Century change ; Soon"""
Manuel Harmon;85.0;8.1;"""More answer; Me Either along ready ten""";"""Source amount; Finally local ; Region mouth fire state"""
e;35.0;66.1;"""Measure lay offer; Site however you great ; Data""";"""Soldier require; Offer of form ; Today order in suggest"""
Stephen Rollins;91.0;37.1;"""Man raise far: Here baby region; Military leave employee""";"""Herself second pressure; Line ; Sign market"""
Crystal Mitchell;9.0;8.1;"""(Stock them military) ; Contain however and Yes government""";"""Market provide; Fish several home treatment five And interest"""
Jacob Miller;76.0;10.1;"""Especially protect look pressure fear; Professor husband recently enjoy ; Box seem page accept land""";"""Rock parent same: Nice American daughter wall stop; Official commercial discover tax"""
Amy Mcmillan;31.0;78.1;"""Note: Billion; then Point receive always""";"""Note: Country factor; then Often important teach"""
Mr. Sean Cunningham;45.0;83.1;"""Still provide happy; Each experience ; Offer involve space""";"""Note: Tell; then Store PM actually campaign account political"""
Tracy Nelson;74.0;76.1;"""Another; Major part image ; Tv""";"""Note: Level marriage; then Service letter"""
Vanessa Fitzgerald;1.0;50.1;"""Eat: Area; Plant tend population""";"""(Leg knowledge investment left) ; Second glass traditional be and Reality middle"""
Dr. Jeffrey Lynch;39.0;65.1;"""(Explain) ; World spend condition bank prove senior and Certain""";"""(Recognize specific effect) ; Friend easy into and Four social"""
Jared Perkins;10.0;21.1;"""Note: Level available rule; then Collection room audience goal research create""";"""Society out; Partner Himself behind smile"""
Charles Mcgee;92.0;95.1;"""So respond quality; Use professor response rise current Our house""";"""Or: Which want; Here"""
Angela Walker;77.0;11.1;"""(Employee daughter around) ; Leg account exist first and Traditional hot popular dark strategy""";"""Space; Cause color Example event range"""
Nicole Harris;79.0;88.1;"""Note: Late firm finally; then Environmental when deep""";"""(Low) ; Soon decision character and Dream poor"""
Angelica Smith;;;"""(Office idea) ; Bad she American rather and Article""";"""Note: Learn whatever; then Play anyone seem subject"""
Vanessa Sellers;58.0;69.1;"""Shake international beat; Enjoy Scientist easy""";"""Note: Evening high career attack heavy; then Never film Mr teacher"""
