name,username,salary,total_count,rating,description
Michelle Pearson,michelle_pearson_1426,15.0,75.1,4.2,"""Note: Establish others, then Figure under"""
Teresa Schmidt,teresa_schmidt_7840,54.0,27.1,41.2,"""Arm tell, Often TV hospital Party me"""
 ,robert_cruz_8295,73.0,9.1,94.2,"""Actually nothing possible: Enter, Politics team"""
Karen Richard,karen_richard_6888,9.0,71.1,18.2,"""Shake economic defense, Style Size prevent state hope from door suggest"""
Jill King,jill_king_4120,86.0,37.1,74.2,"""Note: Behavior huge late, then On until information"""
Carlos Hughes,carlos_hughes_8678,,45.1,16.2,"""Opportunity case these piece; Really interview study , Project"""
Tyler Cox,tyler_cox_2570,83.0,94.1,61.2,"""Now call defense dinner, Against again discuss No including certain full per color green"""
Veronica Stevens,veronica_stevens_8437,43.0,97.1,15.2,"""Society whose difficult owner, Learn design strategy Sound white scientist again low effort"""
David Elliott Jr.,david_jr_6879,52.0,43.1,22.2,"""(Share clear return) , Course and Line traditional"""
Kenneth Green,kenneth_green_9553,54.0,46.1,64.2,"""Note: Drug brother church, then Be commercial late forget culture"""
Sarah Walker,sarah_walker_2765,53.0,78.1,38.2,"""Factor suggest; Entire work field , Why religious"""
Justin Baldwin,justin_baldwin_6747,12.0,61.1,1.2,"""Left alone; To , Able stock win"""
Justin Mcguire,justin_mcguire_8300,19.0,,91.2,"""Note: Organization fish guess, then Ahead somebody decision hotel fund politics"""
Christina Garcia,christina_garcia_7950,87.0,45.1,,"""Task now; Minute him short , Raise from simply"""
Russell Ramirez,russell_ramirez_5736,17.0,30.1,82.2,"""Note: Sister white, then Site radio whole"""
Tracie Fuller,tracie_fuller_7976,60.0,52.1,42.2,"""(Answer begin) , Matter somebody and Tonight nothing"""
Denise Brown,denise_brown_2589,31.0,98.1,100.2,"""Note: Night apply range meeting, then Measure number"""
William Montgomery,william_montgomery_0731,45.0,9.1,2.2,"""Explain debate free general natural, Together Certainly form bill available natural"""
Amy Morse,amy_morse_0708,28.0,40.1,79.2,"""Bag huge; Task leader difficult cup run , Air shake new"""
Alexandra Saunders,alexandra_saunders_2903,48.0,84.1,20.2,"""Here better; Project , Baby"""
