username,name,total_count,comment
robert_adams_3576,Robert Adams,12.0,'''Claim what; Current civil thousand , Better watch'''
rodney_chang_4835,Rodney Chang,15.0,'''(True apply) , Against street sound and Parent say memory rest possible'''
brent_lewis_9329,Brent Lewis,43.0,'''Address what available; East beyond daughter could , Site'''
stacy_wagner_8594,Stacy Wagner,68.0,'''Available reflect situation possible, Just call between Computer word market something'''
henry_huerta_1879,Henry Huerta,94.0,'''Note: Guess window, then Few already'''
jeremy_sanchez_0949,Jeremy Sanchez,95.0,'''(Issue either low ball) , More parent inside know and Language college fear suffer'''
brittney_lee_1468,Brittney Lee,55.0,'''Soon around American check weight; Laugh drive again , Modern seat'''
misty_rich_6357,Misty Rich,44.0,'''Prevent bar environmental building final: Organization reason bed guy, Focus compare'''
tiffany_stephenson_0628,x,82.0,'''(Me trip accept) , Send rock anything bank and Which avoid'''
pamela_escobar_0447,Pamela Escobar,24.0,'''Audience but stop glass: Standard everything follow run president, Ahead society'''
derek_hawkins_0491,Derek Hawkins,73.0,'''(Itself order them) , Major door budget fall late and Deep analysis trial'''
chad_iii_6568,Chad Harmon III,55.0,'''(Under learn ever) , Outside find chance simply and Development'''
mark_townsend_9779,Mark Townsend,57.0,'''(Miss ready so black nature suddenly) , Successful ten and Fish over bring'''
karen_carney_0568,Karen Carney,79.0,'''(Because expect) , Organization dinner degree and Clearly police along among nation author'''
gary_scott_9712,Gary Scott,35.0,'''Note: Would have choose through could, then Yes pull upon'''
darlene_md_8294,Darlene Jimenez MD,39.0,'''(Of scene) , Camera true and Ready three could agent'''
lisa_brewer_3892,Lisa Brewer,51.0,'''Population success: Attorney, Adult'''
rhonda_murphy_6748,Rhonda Murphy,4.0,'''Star even young to, Recent Hand during rest'''
sydney_brown_2773,Sydney Brown,32.0,'''Note: Apply rest, then Politics'''
katrina_willis_2129,Katrina Willis,,'''(Even) , Just cultural blood and Home nearly'''
virginia_porter_7801,Virginia Porter,31.0,'''Responsibility bar fight; Upon perform , Tell me'''
melissa_mendoza_2816,Melissa Mendoza,75.0,'''Property mean: Happy mission, Good general'''
benjamin_doyle_8546,Benjamin Doyle,42.0,'''Note: By look, then Any huge toward impact'''
