# This is a comment line to skip
username;name;score;age;comment
david_richards_9286;e;26.0;78.1;"""Reach strategy; Kitchen walk state energy sell See guy"""
stacey_henderson_0566;Stacey Henderson;97.0;42.1;"""(Pm) ; Anything official and Government nation"""
tammy_cook_3914;Tammy Cook;44.0;79.1;"""Song: You interest better; Single writer"""
sandra_oliver_7191;Sandra Oliver;;53.1;"""Yourself per happen drive just; Become paper ; Value letter today future"""
adam_davis_6680;Adam Davis;29.0;53.1;"""(Believe) ; Scene could yes begin even and Bank finish age short side"""
nicole_sparks_9854;Nicole Sparks;33.0;72.1;"""(Issue) ; Address and Foreign source"""
paul_medina_0162;Paul Medina;3.0;19.1;"""Contain no idea better bill career: Stage politics maintain weight organization; Level heavy character standard"""
elizabeth_west_8454;Elizabeth West;23.0;87.1;"""Mind put: Piece young; Billion establish site beyond special"""
william_scott_6823;William Scott;54.0;;"""(Vote sport contain yourself small) ; Whose air among some those and Ago"""
shelley_johnston_9519;Shelley Johnston;58.0;69.1;"""Beat whatever child somebody between; Evidence hand whom sea ; Anything"""
blake_burns_1061;Blake Burns;93.0;79.1;"""Statement: My pick last; Ahead stock sister road look"""
carrie_johnson_7170;Carrie Johnson;82.0;83.1;"""Note: Him admit high tell; then Economy action west network your"""
joseph_dds_6156;Joseph Baker DDS;16.0;92.1;"""Indicate it: Serious up; Civil effect official painting bill"""
sarah_olsen_4097;Sarah Olsen;10.0;18.1;"""(Admit) ; Understand chance and South whole"""
erin_sherman_6277;Erin Sherman;6.0;11.1;"""Anyone source civil; Just commercial rate really His time"""
darrell_williamson_9273;Darrell Williamson;17.0;43.1;"""(Campaign) ; Tough cause arm song west and Wind determine"""
karen_miller_6746;Karen Miller;28.0;52.1;"""Note: Many challenge; then Enjoy need my trip"""
mr_gonzales_6777;Mr. Larry Gonzales;81.0;54.1;"""When position; Yes red boy ; Let choose"""
sarah_davis_5980;Sarah Davis;30.0;10.1;"""Key central on; Law like eye Affect artist"""
kyle_curry_3995;Kyle Curry;85.0;49.1;"""Relate: Class behavior; His computer remain see"""
