username;name;age;score;note;remark
gary_holt_1138;Gary Holt;96.0;84.1;"""(Voluptates nihil) ; Esse praesentium nostrum and Repudiandae eius quaerat accusamus ducimus""";"""Note: Voluptatibus; then Pariatur aliquid voluptatibus esse debitis"""
amelia_morris_2692;Amelia Davies-Morris;61.0;57.1;"""Dolor; Animi unde minima ; Quos expedita temporibus amet""";"""Quaerat cumque praesentium tenetur rem; Libero enim ; Maiores eum laborum deserunt"""
gary_barrett_7205;Gary Stanley-Barrett;89.0;63.1;"""Officia deserunt possimus eligendi magnam; Deserunt sint Aspernatur""";"""(Quae accusamus corrupti) ; Nisi rem and Reiciendis voluptates officiis"""
maria_murray_7230;Maria Cooper-Murray;35.0;62.1;"""Note: Autem mollitia; then Officiis in facere""";"""Facere dicta; Sint natus Debitis corrupti"""
mr_walker_8583;Mr Arthur Walker;80.0;24.1;"""Magnam magnam; Dolorum temporibus ; Velit illo harum culpa suscipit""";"""(Ipsam sapiente debitis) ; Magnam eligendi and Vero"""
adrian_carter_4289;Adrian Carter;64.0;76.1;"""Note: Modi facilis mollitia labore; then Suscipit quia amet nihil""";"""Adipisci voluptas; Modi consequatur minima ; Explicabo adipisci natus"""
june_ward_1475;June Ward;91.0;62.1;"""Dolor suscipit quia; Nihil culpa Necessitatibus voluptates eaque""";"""Inventore nihil laboriosam; Non autem Eum magnam"""
gordon_shaw_6561;Gordon Preston-Shaw;41.0;40.1;"""(Fugit accusantium) ; Fuga dolores eaque and Veniam mollitia""";"""Laboriosam voluptate; Modi veniam deleniti ; Voluptatum nobis hic at"""
jack_wilson_4573;Jack Wilson;;72.1;"""Commodi: Maxime harum incidunt; Ea doloribus""";"""Error fugiat pariatur accusantium: Rerum; Placeat neque ut itaque quam amet"""
dr_bradshaw_1610;Dr Adrian Bradshaw;96.0;88.1;"""Note: Recusandae consectetur reprehenderit; then Facere laborum repellendus exercitationem illo""";"""(Nihil nulla) ; Doloremque provident doloribus nesciunt numquam consequatur and Fugiat"""
deborah_taylor_3609;Deborah Davidson-Taylor;38.0;69.1;"""Harum at; Assumenda quam maiores Tempora assumenda cupiditate""";"""Ipsam reprehenderit pariatur dolorum; Assumenda ; Repudiandae eius neque blanditiis dicta"""
mr_adams_5090;D;95.0;32.1;"""Ut assumenda quos: Aspernatur dignissimos voluptatibus; Libero nisi nobis pariatur""";"""Quaerat ex consectetur; Possimus Dolorem blanditiis omnis"""
dr_mason_6703;Dr Douglas Mason;19.0;32.1;"""(Vero deserunt architecto) ; Accusamus perspiciatis quaerat aliquid and Vel officiis occaecati officia temporibus""";"""Note: Perspiciatis; then Voluptatibus accusantium distinctio eum"""
dr_williams_3926;Dr Georgia Williams;33.0;16.1;"""Aspernatur unde; Vero est assumenda Minima""";"""Note: Beatae; then Velit sed"""
mr_taylor_4044;Mr Victor Taylor;21.0;79.1;"""(Eum animi) ; Quia and Sed blanditiis est commodi totam animi""";"""Deleniti eos fuga incidunt libero: Culpa; Quos ipsam"""
jake_clarke_5335;Jake Clarke;9.0;12.1;"""Quibusdam non aliquid eum; Eveniet provident excepturi dolor ; Illo ducimus ipsum""";"""Note: Dolor necessitatibus; then Quas maxime eum itaque eveniet"""
joe_walker_8774;Joe Walker;25.0;5.1;"""Note: Iste deserunt nam; then Et quaerat laboriosam laboriosam dignissimos""";"""Nihil ducimus reprehenderit; Aliquid qui distinctio quibusdam Quisquam fugit assumenda laborum asperiores impedit"""
kieran_hussain_7467;Kieran Hussain;22.0;22.1;"""Repellendus recusandae; Dolore illo Saepe doloribus excepturi laudantium""";"""Ad vero; Repudiandae laborum doloribus Reiciendis quasi sint beatae"""
mr_mitchell_9302;Mr Mitchell Mitchell;70.0;6.1;"""Note: Tenetur rem voluptate; then Sequi reiciendis excepturi""";"""Note: Excepturi minima; then Ratione perferendis"""
maureen_davies_8235;Maureen Davies;78.0;21.1;"""Note: Voluptatum voluptates; then Culpa commodi""";"""Corporis: Commodi illum quisquam nam doloremque in; Expedita ex corporis"""
alison_clarke_1599;Alison Clarke;74.0;;"""Corporis iusto quisquam tempore nihil sed; Id tenetur ; Eaque""";"""(Nulla) ; Temporibus suscipit voluptatum and Commodi aspernatur cumque fuga"""
