name	score	price	comment
Nancy Taylor	58.0	11.1	'''(Produce general film) 	 Call class and Beyond'''
William Greene	91.0	92.1	'''Work design finish now; Why never 	 Truth relate walk'''
Mary Taylor	30.0	24.1	'''(Arrive before) 	 Present history and Catch girl only reduce lawyer water'''
Eric Turner	29.0	43.1	'''Listen teach follow mother whole thank color; How all manage relationship piece position 	 Group yeah federal'''
Anthony Bates	56.0	44.1	'''Almost camera chair	 Its skill assume mean animal Company'''
Alisha Barker	5.0	79.1	'''Note: Force just ok	 then Away'''
Sandra Thompson	29.0	99.1	'''Fear each collection; Remain western 	 Tell pay on huge'''
Cynthia Garcia	78.0		'''Piece call	 Why store maybe record tough Subject hard'''
Travis Rice	16.0	85.1	'''Expect bed seek: Various on front sense	 Kitchen'''
Mr. Howard Cook DDS	83.0	65.1	'''Air item	 Man agree face Realize hear rich none'''
Tina Mccoy	64.0	26.1	'''Road young building project	 Simple Single development'''
Michael Sharp	66.0	93.1	'''(Building establish middle every stuff) 	 When last and National own'''
Robert Hill	67.0	91.1	'''Side	 Sometimes family age Hope'''
Amy Wagner	43.0	6.1	'''Hot religious imagine exactly will; You single five 	 Word way between purpose'''
Rebecca Henry		75.1	'''Interesting toward recently wish become; Agreement entire decision mouth nothing 	 Themselves table our'''
A	3.0	99.1	'''(Local) 	 Keep election and Develop apply head'''
Robert Baldwin	29.0	56.1	'''Industry must	 West Add mother'''
Julie Knight	49.0	53.1	'''Fish	 Play trouble race White glass'''
Michael Avila	26.0	28.1	'''Notice section today: Hot term	 Talk population manager theory simple around'''
Daniel Hayes	51.0	63.1	'''People tonight yourself	 Determine second Single work fill'''
Laura Anderson	30.0	59.1	'''Note: Hair among language between plan	 then Charge show college human follow'''
Dawn Page	15.0	88.1	'''Tell energy; Knowledge 	 Skill concern kid'''
Valerie Tran	11.0	17.1	'''Use campaign; Myself room 	 Might story'''
Sara Castro	90.0	52.1	'''Region focus hotel go; Wall environmental respond later 	 Learn himself'''
Kelly Hill	48.0	91.1	'''Subject; Peace include 	 Ahead much'''
Wendy Williams	6.0	65.1	'''Note: Smile read expect	 then Environment short everything court edge'''
Mitchell Fritz	11.0	33.1	'''Ago; Change work effort visit 	 He voice when sit'''
Justin Peterson	99.0	58.1	'''Fill single real according western: House run	 Throw nice professional'''
Gina Vang	71.0	13.1	'''(West street) 	 During finally admit offer fast and Bad worry'''
Savannah Arnold	57.0	44.1	'''Collection him move; Than hot bed 	 Parent attorney much design'''
Xavier Lee	44.0	10.1	'''Challenge base see perform inside: Five traditional front	 Instead nice'''
Alicia Callahan DDS	22.0	57.1	'''Them old minute	 Color page South seven want thank'''
Danny Parker	99.0	82.1	'''Amount this candidate during: Through art beat	 Which decade unit loss occur'''
Jennifer Mata	80.0	23.1	'''(Rather to behind) 	 Character pick and Trade better tell'''
James Blankenship	47.0	55.1	'''Note: Appear lead	 then Hospital city meeting yet religious'''
Richard Moore	95.0	18.1	'''Per language seven traditional: Six	 Race blood'''
Kari Hernandez	90.0	6.1	'''Man training story heart; Something blue 	 Professional glass'''
Laurie King	48.0	8.1	'''Range cell range: Serious reveal	 Some'''
