# This is a comment line to skip
username;name;rating;score;comment;description
molly_jones_1349;Molly Jones;40.0;91.1;"""(Tempora suscipit) ; Voluptatibus quos quis and Debitis quos repudiandae""";"""Ducimus aspernatur maxime deserunt: Recusandae dignissimos tenetur reprehenderit sunt; Consectetur repellendus expedita"""
dr_ali_9166;Dr Melanie Ali;4.0;76.1;"""Note: Sed; then Pariatur""";"""Laudantium illo reprehenderit; Aliquam ; Fugiat facilis"""
lindsey_gibbs_2364;Lindsey Gibbs;18.0;27.1;"""Cupiditate corrupti; Hic totam Est autem dicta expedita""";"""Esse nostrum corporis; Quae maiores eius asperiores fugiat dolor ; Sapiente illum eveniet"""
emily_cooper_2167;Emily Holmes-Cooper;17.0;88.1;"""Eius minus: Accusantium repellendus; Quidem possimus culpa at""";"""Note: Occaecati error; then Natus repellat"""
mr_barnett_7436;Mr Harry Barnett;57.0;97.1;"""Note: Alias; then Enim ullam""";"""Quos dolores alias repellat animi; In Enim"""
ann_cole_2579;Ann Cole;41.0;96.1;"""Aperiam; Ipsam beatae dolorum iusto ; Eveniet vitae""";"""Nemo eum facere delectus: Aut unde aut; Dolorem nulla"""
malcolm_jackson_0022;Malcolm Lewis-Jackson;84.0;95.1;"""Quas; Asperiores iure laudantium Ratione itaque""";"""Alias delectus; Incidunt sunt sed ; Voluptas optio omnis nesciunt excepturi"""
dr_fletcher_5287;Dr Alan Fletcher;8.0;68.1;"""Eaque molestias consequuntur quibusdam natus; Sed aperiam ; Repellendus corrupti officia mollitia at totam""";"""Odit maiores; Ullam a accusamus ; Amet harum dignissimos vel"""
karen_long_4411;Karen Long;;64.1;"""Note: Voluptates sit nisi eius fugit; then Magnam""";"""Dicta natus illo illum: Totam reiciendis; Laudantium tenetur"""
connor_cox_0990;Connor Cox;72.0;79.1;"""Recusandae laborum voluptate; Quam aut iusto ; Unde aliquam ipsam""";"""Perferendis eos: Est nostrum aspernatur; Unde eaque dolore repudiandae perferendis"""
brandon_butler_7022;Brandon Butler;36.0;37.1;"""(At dolor provident) ; Aliquam asperiores ex consequuntur iste and Doloremque perspiciatis""";"""Magni aspernatur; Totam Ea vero iusto"""
carly_dixon_3436;Carly Dixon;57.0;42.1;"""Note: Vero inventore; then Aspernatur modi ab occaecati aspernatur delectus""";"""Note: Eos; then Earum harum sed"""
shannon_smith_3355;Shannon Bates-Smith;70.0;65.1;"""(Assumenda recusandae provident) ; Odit id and Omnis""";"""Note: Dignissimos necessitatibus; then Nostrum accusantium"""
brenda_turner_7906;Brenda Turner;30.0;86.1;"""Note: Laboriosam modi; then Occaecati placeat cupiditate""";"""Ex explicabo; Ab necessitatibus eveniet ; Dolore tempora molestias nesciunt"""
kerry_cameron_8824;Kerry Cameron;46.0;55.1;"""Perferendis tenetur iste autem necessitatibus; Numquam culpa Soluta ex nulla""";"""Note: Ex mollitia ipsa perferendis; then Debitis qui"""
abdul_wilkinson_4890;Abdul Doyle-Wilkinson;9.0;4.1;"""Explicabo consectetur perferendis nulla reprehenderit sapiente; Minus ipsum ad iste Minus accusamus doloribus maiores""";"""Adipisci quasi sint ipsa; Id dolor doloribus optio nisi ; Alias officiis nulla"""
ms_nolan_1369;Ms Lesley Nolan;58.0;48.1;"""Note: Ipsum ratione; then Commodi in fugit""";"""Ab numquam explicabo modi nemo iusto: Vel explicabo; At saepe"""
thomas_harris_1401;Thomas Harris;56.0;46.1;"""Note: Provident quasi distinctio; then Impedit consectetur earum iure""";"""Note: Eligendi necessitatibus; then Et enim"""
marc_fisher_6309;Marc Fisher;37.0;11.1;"""Note: Pariatur in; then Aspernatur quisquam cumque dolores""";"""Note: Quas optio quia ea a; then Tenetur expedita minima eum"""
rhys_chapman_9906;Rhys Chapman;5.0;35.1;"""Note: Dolores dolorem; then Excepturi""";"""Note: Accusamus vero quod; then Earum quod libero"""
