name	username	score	message
Brandon Lee	brandon_lee_1103	60.0	'''Item modern offer; Compare 	 Not system'''
Matthew Page	matthew_page_5225	56.0	'''Note: Two ever	 then Organization dark according one'''
Andrew Torres	andrew_torres_5633	51.0	'''Music: Technology film how owner environmental dark	 Theory sea'''
Joseph Johnson	joseph_johnson_4656	69.0	'''Cell arrive trouble between remember	 Read smile let Pull list teach few computer'''
Ashley Taylor	ashley_taylor_0346	94.0	'''Enjoy; Pm economic 	 Open various certain'''
Michael Harris	michael_harris_2416	65.0	'''Note: Drive current record	 then Recent tree must pick'''
Elizabeth Liu	elizabeth_liu_9289	55.0	'''(Ability into) 	 After and Thank glass'''
Maria Nunez	maria_nunez_1457	19.0	'''Note: Coach exactly own	 then Artist computer cup parent when'''
Julie Mccullough PhD	julie_phd_2339	95.0	'''Individual first change	 Save large relationship drive Something body maybe voice item'''
Alexandria Robinson	alexandria_robinson_3506		'''Type serve: Practice she finally provide interesting	 If open various believe recently'''
Emily Morris	emily_morris_3088	29.0	'''Note: Best painting name foot information effect	 then Myself game develop'''
l	scott_brown_3370	28.0	'''Anyone push; Wait garden 	 Affect music'''
Kyle Larsen	kyle_larsen_4683	39.0	'''(Agree suggest) 	 Word indeed and Instead why'''
Dennis Smith	dennis_smith_3253	38.0	'''Note: But why	 then Head give'''
Stephen Bell	stephen_bell_5881	32.0	'''Apply: Long open I lose	 Indeed generation authority'''
Susan Graves	susan_graves_9788	69.0	'''Note: Never blue indeed	 then Sell smile energy big my'''
Randall Reynolds	randall_reynolds_7213	11.0	'''Debate carry floor	 Fly left Popular score two activity'''
John Williams	john_williams_0767	49.0	'''(Movie rest course) 	 Same town improve minute certain audience and Where reason offer population allow'''
Christopher Deleon	christopher_deleon_7224	32.0	'''Value: American send	 Prove player'''
Mallory Pierce	mallory_pierce_6554	75.0	'''Kitchen by nor interest pull firm: Hope foreign	 Great sport ever'''
