# This is a comment line to skip
name,total_count,age,score,comment,message
James Hansen,77.0,39.1,66.2,'''Pm manage music attorney identify; Event simply lose , System foreign''','''(Section change camera next suffer) , Cover and From hard'''
Catherine Flores,28.0,79.1,86.2,'''(Begin) , Offer news do bit where and Role region yourself easy executive''','''Account rise: Market throughout worker, Late now'''
Erin Bailey,92.0,58.1,44.2,'''(Provide stage) , Positive strong both and Within interview somebody''','''Structure maintain realize second against: Share, Total'''
Mary Murphy,47.0,25.1,73.2,'''Note: Than hot, then On sea''','''Usually either economic least group; Store simple , Girl wish field'''
Christine Clark,13.0,16.1,59.2,'''Last learn onto respond medical particularly; Upon lose movie capital budget forward , Reduce able change example pick imagine''','''Give material, Keep last Western town democratic'''
Brittany Rowland,39.0,36.1,13.2,'''Risk relationship, Unit into plant model Politics''','''Attention term; Moment sometimes significant , Yourself wall question'''
Lori Jarvis,4.0,70.1,49.2,'''Crime month car could tonight, Recently any everybody Water like join''','''Material: Process leg, Machine pick just'''
Alexis Gomez,43.0,78.1,90.2,'''Spring year evidence during truth: Republican make reach some, Five safe memory''','''Stuff box produce opportunity that; Reflect , Art front such investment'''
Jennifer Butler,61.0,72.1,,'''Story, Him season we pattern Person into special''','''Quite, Nothing Knowledge'''
Brandon Perez,12.0,86.1,69.2,'''Out college believe center; Hear admit three , Help miss color''','''Not service: Carry some, Performance interest why'''
Cynthia Walker,6.0,,22.2,'''Power human: Act decade tend, Worker discover''','''Simple citizen statement friend, We Explain understand country property field'''
Roy Willis,96.0,60.1,6.2,'''Election threat prove song; Interview necessary smile , Professor herself individual what mention''','''(Research) , Few and Nearly nearly party less'''
Jeffrey Blake,66.0,68.1,6.2,'''(Stage owner generation know technology public) , A reveal and Sign far''','''(Former pull guess) , Table speech large and Able police possible'''
Thomas Knight,55.0,48.1,31.2,'''Admit forget: Program often anything community material, Agreement fund''','''Anything TV check executive huge: Hundred alone outside too trade, Various look once apply'''
Jennifer Wilson,33.0,11.1,67.2,'''(Choice condition hospital capital) , Last find debate manager probably a and Thousand cultural''','''Note: Time positive, then Information do'''
Christopher Young,,30.1,35.2,'''Note: Ago rather expert study bag themselves, then Suffer''','''Picture: Anything world, Put rather yard'''
A,23.0,70.1,83.2,'''Single cover statement mind return: Institution treat thought move decision, Federal agreement paper fund''','''(Born action change low tax) , Low indeed tell and Become return note me guess present'''
Devin Wheeler,98.0,12.1,52.2,'''Success enter might rock nice: Growth analysis expect, Might arrive condition wide''','''(Not table) , Thus never office and Really defense unit'''
Michelle Shaffer,84.0,46.1,52.2,'''Unit rather shoulder stage give: Shake central, Baby test''','''May Mr race side, Maintain call Enter stand son'''
Charles Mckinney,25.0,14.1,42.2,'''Teacher mention together past; Degree require any seek , Environmental agency ball course''','''Economic into, Worker heart Send call scientist'''
Mary Zuniga,74.0,42.1,35.2,'''Note: Partner animal, then Parent work board most program''','''Some space teach maintain; Order adult save , Tax wonder rate'''
Natalie Hammond,37.0,98.1,82.2,'''(On peace use) , Measure and Everything financial develop''','''(Far late) , Example close and Level police difficult'''
Perry Hughes,49.0,49.1,93.2,'''Data lose through, I Sure tough''','''Note: Exactly measure, then Exist'''
Melissa King,52.0,88.1,80.2,'''Late several, Blue reach response itself these Parent write''','''Modern federal short agreement, Suffer good Else use push'''
Beth Hampton,3.0,78.1,39.2,'''(Financial) , Explain and Near stage different involve up international''','''According reality simple, Manager speak them century Box'''
Jeffrey Mccoy,81.0,100.1,60.2,'''Against: Executive across, Surface fish teacher let''','''Go: Region officer do, Evidence'''
Diana Rubio,43.0,73.1,73.2,'''(Knowledge occur decide skill) , Drug crime line and Draw simply quickly board family''','''Section production, Here mother white thought Drug social discuss'''
Amber Gonzalez,85.0,35.1,17.2,'''Region; Forget high myself , Cause election level method well seem''','''Note: Record build Mr, then Across capital mention'''
Alex Alvarado,75.0,31.1,31.2,'''Note: Other field last beyond animal, then Color these offer pretty away''','''(Far difficult tell) , Air Mrs add stay quickly and Tend then white'''
Justin Jimenez,85.0,43.1,85.2,'''Discussion available test give expect; Allow letter , Level him''','''Herself: Main ground, Cost government window probably admit'''
