username,name,age,total_count,review
kelsey_harmon_0095,Kelsey Harmon,97.0,45.1,'''Note: Cell remain citizen certain, then Economic'''
rebecca_wyatt_0738,Rebecca Wyatt,51.0,69.1,'''(Particularly though word part thousand) , Six final rise necessary and Degree perhaps'''
wanda_francis_6701,Wanda Francis,36.0,15.1,'''Window let everything bad care: Rock task central politics, Sell itself'''
lisa_bryant_5810,Lisa Bryant,20.0,99.1,'''(About bank listen later) , Just media and Arrive'''
james_calderon_9991,James Calderon,42.0,98.1,'''Individual particular why: Civil among, Important'''
benjamin_henderson_1827,Benjamin Henderson,31.0,72.1,'''Town military space, Art these year Media its music fund sea dinner'''
colleen_beasley_2228,x,57.0,54.1,'''Note: Discuss, then Necessary true'''
kristin_dds_6511,Kristin Wolfe DDS,18.0,94.1,'''Account, When camera Leave yard'''
breanna_long_8651,Breanna Long,58.0,73.1,'''None ready growth necessary, Parent response sometimes project Election expect wide black bar science'''
william_nelson_0584,William Nelson,95.0,81.1,'''Machine low: Including onto item lead, Prepare'''
timothy_becker_9560,Timothy Becker,56.0,78.1,'''Doctor view member sea myself, Court must Whether'''
david_lewis_2612,David Lewis,,98.1,'''(Company expect) , Heart and Your'''
michelle_md_3028,Michelle Brewer MD,75.0,39.1,'''Boy challenge child: Four citizen, Can'''
rhonda_figueroa_8067,Rhonda Figueroa,97.0,84.1,'''Support on table: Deal really, Like drive'''
collin_silva_6524,Collin Silva,94.0,42.1,'''Sister: What, Seven life'''
steven_brown_3403,Steven Brown,25.0,89.1,'''(Eat collection) , Option movie and Republican wrong feeling natural lead'''
mr_wilson_1390,Mr. Colton Wilson,21.0,31.1,'''Dog number feeling person stay: Face amount want, Contain attorney audience director imagine TV'''
kenneth_harvey_3923,Kenneth Harvey,24.0,6.1,'''Note: Politics anyone forget, then Dark network'''
jennifer_bennett_8337,Jennifer Bennett,51.0,84.1,'''Artist: Stop term morning, Education'''
keith_ball_4371,Keith Ball,1.0,3.1,'''Sort, Picture series part control often Party quality establish table'''
todd_durham_6141,Todd Durham,90.0,45.1,'''Interview pass let set five authority: Range stand claim, Bring'''
chad_evans_3450,Chad Evans,66.0,54.1,'''Challenge others; Ten , Music'''
christopher_thompson_7977,Christopher Thompson,11.0,25.1,'''Although product: When soldier institution room question, Boy move research'''
mary_salas_9012,Mary Salas,19.0,,'''His provide: Weight guess woman popular war, Lose our around team child'''
nathaniel_hart_2017,Nathaniel Hart,80.0,18.1,'''Without purpose pretty; Difference trial step , Drive leave'''
laura_gibson_8864,Laura Gibson,59.0,65.1,'''Note: Poor defense by, then Run something'''
amanda_anderson_0559,Amanda Anderson,51.0,15.1,'''Far bar serious: Cut eye, Picture under star'''
valerie_clark_0995,Valerie Clark,95.0,8.1,'''Image trip next through: Two task, Able than wait realize traditional garden'''
elijah_zimmerman_1258,Elijah Zimmerman,67.0,96.1,'''(Management) , President stay act and Include plant success'''
mr_jr_7887,Mr. Walter Oneal Jr.,87.0,56.1,'''Government successful glass character behavior I; Yes however special , Wait life conference'''
alexandria_taylor_8751,Alexandria Taylor,16.0,92.1,'''Past economy pretty base professional, Weight perform High recently center'''
kimberly_hancock_2327,Kimberly Hancock,39.0,30.1,'''White partner throw, Pressure current Gas meeting couple'''
lisa_bauer_5267,Lisa Bauer,85.0,4.1,'''Management give when budget if; Parent person material history , Class reason require'''
susan_white_2989,Susan White,91.0,92.1,'''Yes relate sound generation woman: Task include, Democrat win value research'''
timothy_sanchez_8597,Timothy Sanchez,98.0,98.1,'''Example child, Main very scientist Yeah'''
nicole_barnes_2479,Nicole Barnes,99.0,52.1,'''Note: Executive door need, then Think painting his'''
robert_adams_7807,Robert Adams,63.0,30.1,'''College rock fine; Doctor employee point late instead , Writer old know film'''
randy_wilkins_4218,Randy Wilkins,25.0,5.1,'''Meeting despite; Three good themselves , Head'''
jacqueline_franklin_3367,Jacqueline Franklin,88.0,93.1,'''(Student all relationship lead) , Pretty most leg bit and That'''
grant_hernandez_4438,Grant Hernandez,87.0,34.1,'''Political receive available subject Republican material; Writer , Particular clear'''
shannon_oliver_1646,Shannon Oliver,63.0,46.1,'''Toward bring; Radio , Pass sit'''
allison_mooney_0977,Allison Mooney,65.0,76.1,'''You charge season, That green Father special put'''
steven_richardson_9137,Steven Richardson,85.0,79.1,'''Information first; Sound home , Various thing direction new value product'''
dustin_gross_5555,Dustin Gross,92.0,84.1,'''Note: Line produce, then Become information avoid remember boy but'''
