# This is a comment line to skip
username;score;rating;total_count;summary
deborah_singh_9924;35.0;8.1;27.2;'''(Tenetur) ; Ea and Ullam laboriosam'''
mr_lee_8801;76.0;34.1;16.2;'''Note: Vero cum soluta; then A aliquam'''
margaret_brooks_5040;100.0;41.1;90.2;'''(Libero accusantium laborum tenetur deserunt quod) ; Officiis and Delectus rerum eius voluptatibus'''
joyce_turner_8869;64.0;59.1;83.2;'''(Officia a enim esse nostrum animi) ; Officia ipsum provident neque earum and Iure maiores laudantium ut'''
hugh_harvey_7975;95.0;91.1;75.2;'''(Alias tempora ex sapiente) ; Autem mollitia and Doloribus'''
maureen_lynch_4081;76.0;12.1;87.2;'''Note: Possimus nesciunt; then Magnam soluta ipsa consectetur ratione harum'''
sally_davies_3618;39.0;66.1;23.2;'''Incidunt fugit error; Corporis voluptas Corporis'''
miss_barry_6716;79.0;45.1;64.2;'''Dolorum nesciunt assumenda corporis; Totam nobis ; Quod sequi soluta repudiandae'''
carole_davidson_5809;69.0;60.1;34.2;'''Note: Labore hic; then Enim voluptates'''
dr_tucker_2467;38.0;21.1;65.2;'''Iste; Impedit ea ; Vitae optio'''
miss_barber_9672;23.0;;33.2;'''Amet saepe harum ut neque: Deserunt distinctio adipisci; Nostrum'''
leanne_dean_0136;41.0;38.1;58.2;'''Soluta maiores praesentium atque: Iusto iusto quod; Amet adipisci'''
grace_king_9042;;39.1;40.2;'''(Sint quidem) ; Enim esse consequuntur exercitationem and Molestias vitae excepturi error rerum'''
chloe_warren_4145;30.0;60.1;94.2;'''Tempora culpa dignissimos molestiae praesentium occaecati: Ex; Voluptatibus unde aliquid'''
eleanor_bailey_1653;98.0;50.1;45.2;'''(Nemo quos quas praesentium) ; Omnis dolore vitae quidem and Repellat quia dignissimos'''
denise_marsh_2455;92.0;75.1;11.2;'''(Enim suscipit cumque quasi quo cupiditate) ; Ipsum enim and Recusandae nulla ipsum consequuntur'''
ms_duffy_1564;12.0;62.1;8.2;'''Note: Exercitationem temporibus; then Expedita enim debitis ipsam officia sint'''
mr_jackson_6034;30.0;46.1;65.2;'''Officia aliquid: Inventore consequatur ullam commodi; Aperiam fugiat'''
michael_jackson_9163;9.0;60.1;83.2;'''Ipsa; Laboriosam mollitia ; Voluptas non adipisci'''
pamela_archer_5089;46.0;55.1;40.2;'''Doloremque quae provident officiis: Ipsum repellendus labore consectetur magnam; Dicta animi sed fugiat corrupti'''
marian_wood_0207;91.0;35.1;89.2;'''Velit: Rem; Quos'''
trevor_jones_2722;82.0;1.1;71.2;'''Maxime occaecati repellat quasi: Blanditiis eius; At'''
elliott_andrews_1463;61.0;82.1;62.2;'''(Commodi sequi ab modi a) ; Assumenda and Quia numquam laudantium fuga'''
janice_baker_5159;35.0;34.1;;'''Numquam dolorem pariatur labore aliquam: Earum nam saepe; Dolore dolor et'''
rachel_webster_0141;30.0;40.1;50.2;'''Aliquid id eos fugit aliquam placeat; Veritatis veniam Aspernatur'''
linda_allen_0966;4.0;39.1;75.2;'''Eum voluptatem corporis; Necessitatibus sed ; Atque eligendi dolores dolorum'''
