# This is a comment line to skip
username	name	rating	score	comment	remark
gary_jimenez_8278	Gary Jimenez	1.0	70.1	"""(Four us) 	 Federal and Act air recently instead social"""	"""Effect direction indicate through nor; World say 	 Teacher machine ahead"""
richard_brady_2038	Richard Brady	73.0	24.1	"""(Above sound for) 	 Pretty subject and Discover clearly material raise every"""	"""(Behavior big style institution) 	 Successful four and Service country"""
keith_taylor_7557	Keith Taylor	19.0	92.1	"""(Responsibility fine) 	 Quickly agreement easy try and Throughout"""	"""Will just table	 We Shake"""
peter_marquez_6087	Peter Marquez	1.0	59.1	"""Attorney the important provide writer; Inside not so sing spend 	 Industry local thing voice"""	"""Close tend serve environmental believe gun	 Exactly specific everything Statement oil open soon discuss"""
alex_le_0553	Alex Le	98.0	87.1	"""According important; Include only 	 Describe family near"""	"""People record	 Season nice Source truth"""
vincent_williams_5465	Vincent Williams	72.0	75.1	"""Deep behavior so	 Look go minute order Truth theory"""	"""Rich beautiful police	 A product floor Force manager member"""
deborah_griffin_8490	Deborah Griffin	17.0	1.1	"""Plan assume here: Husband	 Fine TV set during"""	"""Happy career capital; Rock south 	 Which them medical"""
alexander_phillips_3807	Alexander Phillips	2.0	2.1	"""Remember consumer wife: Responsibility pass energy bar unit heavy	 Wonder then"""	"""Would sing gas	 Seek oil run talk Anyone sell"""
marcia_diaz_2887	Marcia Diaz	93.0	94.1	"""Today; Person 	 Value south condition"""	"""Rather effort culture join: Republican there group	 Hundred area training would"""
terri_williams_5957	Terri Williams	91.0	23.1	"""(While bank) 	 Practice hard buy when and Range health little"""	"""Approach me attention year Congress; Tonight century difference product 	 Use full"""
cheryl_sanchez_9653	Cheryl Sanchez	26.0	15.1	"""Animal nothing paper few; Himself past surface professional throughout west 	 Listen establish"""	"""Culture piece: Change	 Star"""
destiny_young_6840	Destiny Young	49.0	78.1	"""Free start	 Behind challenge million score trip Nature degree"""	"""(Support past over state receive prove) 	 Feel you and Current international born"""
angela_small_7643	Angela Small	74.0	38.1	"""(Apply leg mission create spend) 	 Hair record two and Guy visit"""	"""(Long everybody serve) 	 Ten week town management and Different score senior stage window notice"""
