username,name,salary,price,comment,message
dr_williams_7941,Dr Margaret Williams,39.0,21.1,"""Repellat officia corrupti voluptatum nulla: Tenetur, Voluptatem dolorem porro""","""(Neque nesciunt quidem delectus) , Adipisci and Adipisci facilis inventore reiciendis"""
nicole_mitchell_0678,Nicole Mitchell,56.0,26.1,"""(Deleniti porro) , Neque officiis ratione id and Nesciunt alias magni""","""(Veritatis blanditiis provident consequuntur quidem rerum) , Architecto facere officia and Explicabo optio"""
joanne_howells_4114,Joanne Howells,52.0,99.1,"""Deleniti iure doloremque, Veritatis ex quos Vitae""","""(Quibusdam modi quaerat) , Vel neque ullam neque and Iste iure"""
joseph_davies_5666,Joseph Booth-Davies,44.0,77.1,"""Asperiores omnis: Eaque, Doloribus aliquid""","""Quo debitis possimus veritatis libero tempora: Reiciendis dolorem error, Esse dolorem tenetur occaecati temporibus"""
jonathan_watts_3359,Jonathan Watts,83.0,23.1,"""Note: Non repellendus dignissimos id repudiandae rem, then Mollitia sapiente""","""(Dolorum provident voluptas) , Id cupiditate and Magnam delectus quod"""
rosemary_bradley_9713,Rosemary Bradley,40.0,44.1,"""Nam, Atque magnam provident Rem cum nostrum optio""","""At laboriosam animi; Amet , Optio tempore illo praesentium"""
sam_walker_3051,Sam Walker,73.0,25.1,"""Rem nostrum repudiandae id; Nemo quod recusandae ullam aliquam sint quaerat , Id quae quidem nam""","""Soluta voluptatum non officia, Distinctio Iure delectus omnis dolores eius"""
mrs_cross_1178,Mrs Jessica Cross,86.0,4.1,"""Note: In, then Earum fugit""","""(Cumque tenetur) , Quibusdam earum and Doloremque"""
diane_clark_5062,Diane Clark,2.0,25.1,"""Note: Dolore sequi nulla exercitationem necessitatibus, then Possimus""","""Nostrum rerum, Ea similique placeat rerum voluptates ab Minus vel"""
shaun_adams_5556,Shaun Adams,59.0,32.1,"""Note: Occaecati vero fuga recusandae, then Suscipit enim dolore""","""Nihil consequuntur autem; Corrupti , Sit maxime natus"""
ms_hutchinson_2709,Ms Jennifer Hutchinson,21.0,68.1,"""Tempora ut laudantium occaecati; Eius illo amet molestiae voluptas , Cupiditate""","""Maxime doloribus; Quas tempore , In quaerat"""
abbie_walker_9217,Abbie Walker,81.0,57.1,"""Note: Cupiditate beatae, then Eligendi cum explicabo""","""Animi; Cupiditate blanditiis iure , Necessitatibus debitis ad quis explicabo"""
valerie_campbell_7429,Valerie Campbell,88.0,8.1,"""Note: Voluptatum maiores tempore fuga, then Dolore ab""","""Dolores numquam, Qui atque aspernatur Deserunt consequuntur iusto ea aliquid voluptatibus"""
miss_middleton_1926,Miss Claire Middleton,71.0,73.1,"""Note: Aperiam error error, then Pariatur veritatis eius""","""Pariatur eius autem laborum velit, Nostrum Quia temporibus"""
miss_cook_7439,Miss Jean Cook,,4.1,"""Vitae maxime, Repellendus Corrupti perferendis ratione""","""(In culpa) , Temporibus architecto magni accusantium and Debitis saepe veniam omnis error"""
dr_gilbert_3569,Dr George Gilbert,98.0,90.1,"""At unde: Nesciunt veritatis, Corrupti repudiandae autem dolores iste tenetur""","""Eaque accusantium cum: Consequuntur iusto, Quaerat fugiat ex voluptatibus"""
mr_leach_6778,Mr Dale Leach,4.0,63.1,"""Optio voluptate; Nihil exercitationem molestiae corrupti , Molestias id quis magni aut odio""","""Ab quos aspernatur aut doloremque rerum nam; Hic saepe inventore , Natus quae sint"""
marian_akhtar_5948,Marian Akhtar,11.0,43.1,"""Note: Maiores delectus natus tenetur, then Perferendis totam""","""Deleniti beatae nostrum facilis, Impedit odit quisquam id Inventore esse"""
dr_shepherd_3138,Dr James Shepherd,11.0,30.1,"""Note: Quae distinctio ducimus, then Nulla maiores""","""Note: Voluptatem earum laboriosam quis magni, then Delectus sed doloremque"""
kenneth_cartwright_5139,Kenneth Cartwright,43.0,4.1,"""Occaecati modi officia tempore quas: Et aut, Praesentium molestias quisquam""","""Animi possimus nobis provident laborum, Non iure Est officia sunt"""
martyn_todd_5137,Martyn Todd,63.0,55.1,"""Eveniet ullam voluptate, Modi error ab Molestiae iusto sed""","""(Aliquam dicta pariatur corrupti nulla officia) , Itaque asperiores consequuntur debitis expedita and Voluptate qui"""
mrs_middleton_9679,Mrs Chelsea Middleton,89.0,53.1,"""Doloribus explicabo quis et distinctio: Vero rem ducimus unde magnam doloribus, Unde quasi dicta est""","""Natus inventore consectetur: Quas adipisci officia architecto, Voluptates deleniti nisi"""
guy_chandler_3725,Guy Chandler,50.0,10.1,"""Eos culpa recusandae quae: Mollitia consequuntur, Consectetur labore atque tempore expedita""","""(Similique atque tempore aperiam) , Veniam similique and Delectus quod at temporibus vitae"""
joshua_collins_9055,Joshua Collins,77.0,32.1,"""At: Illum veniam deserunt facilis, Adipisci provident ab nisi minima""","""(Voluptatum) , Ipsum illo labore laborum and Optio fugit explicabo harum"""
ross_taylor_2716,Ross Taylor,85.0,,"""Ducimus voluptas rem id ipsa deleniti quod; Aliquid , Sit""","""(Totam maiores) , Tempore ullam and Maxime necessitatibus eos"""
joshua_kent_6295,Joshua Kent,37.0,97.1,"""Consequatur; Facilis , Incidunt""","""Accusamus assumenda fuga, Eius magni Aut"""
bruce_robson_7844,Bruce Robson,51.0,97.1,"""Note: Ducimus esse exercitationem, then Illo quo""","""Asperiores doloremque: Similique est voluptate libero, Illum expedita atque fugit quaerat"""
barry_dodd_5455,Barry Dodd,9.0,27.1,"""Impedit; Distinctio dolorem minus , Exercitationem laudantium""","""Note: Repellendus officiis repellat architecto earum, then Veritatis"""
richard_barnes_1513,Richard Barnes,60.0,78.1,"""(Odit reiciendis) , Velit est and Magni vitae labore sequi""","""Quo saepe alias dolorum quidem deserunt, Voluptatum dolores totam molestias earum Error officiis"""
joe_martin_3034,Joe Martin,28.0,87.1,"""Ab; Veniam aut minima atque officia fugiat , Ipsum dolorem ducimus numquam""","""Note: Molestias, then Corporis dicta facilis"""
