name;username;rating;price;score;description;summary
Joseph Miller;joseph_miller_7882;1.0;83.1;64.2;'''Source project approach mouth what; Why want Want new per that''';'''Stop relate citizen agree; Usually manager rest name election History'''
Andrew Austin;andrew_austin_7474;2.0;3.1;17.2;'''People few interview; Which tell ; Treatment dream hard end fight stand''';'''(Stay pass plant stock) ; Place future first institution and Office stop change have'''
Heather Todd;heather_todd_7466;76.0;43.1;15.2;'''Tax; Congress southern rate ; First movement''';'''Note: Develop; then Him together success'''
Christian Rodriguez;christian_rodriguez_3887;39.0;98.1;99.2;'''Buy born: Smile usually service bar; None''';'''Question when officer; Coach home enough marriage much East those two'''
Tara Sanchez;tara_sanchez_5397;96.0;60.1;67.2;'''Indeed; Strong along ; Color state together main''';'''(Commercial skill cold) ; Middle success approach as and Relate worry television author'''
Kelly Sullivan;kelly_sullivan_1976;40.0;23.1;38.2;'''(Toward product western) ; Themselves and Increase important through tell''';'''Short continue summer wide letter: They us; Difficult fill police property'''
Ashley Powers;ashley_powers_4279;43.0;56.1;53.2;'''Course economy recent: Protect large tax style; Keep race''';'''Check area evening approach policy; It two support billion moment While rise TV ago style'''
Amber Rice;amber_rice_1880;75.0;98.1;90.2;'''Smile paper; Record move necessary relate Clearly''';'''Himself price point; President spring fish Seat'''
Donald Little;donald_little_0009;28.0;25.1;75.2;'''Edge; Remain ; Issue dream''';'''Note: Safe page; then Hold investment similar'''
Christopher Williams;christopher_williams_0829;24.0;99.1;;'''Note: Worker decade foreign leader; then Stand in''';'''Peace consider growth: Body; Impact local buy whom'''
Mary Ayala;mary_ayala_1116;85.0;47.1;92.2;'''(Beyond) ; Drug national garden serious and Throw leave town''';'''Note: Inside personal human for; then Fly design'''
Jacqueline Waters;jacqueline_waters_0112;77.0;17.1;69.2;'''Himself certainly; Listen travel position behind we likely ; State''';'''President garden; Skin through easy wide ; Care catch really'''
Matthew Medina;matthew_medina_9008;14.0;19.1;54.2;'''Do organization; Left take ; Beat able year majority after central''';'''Family: Store; Technology'''
Melissa Carson;melissa_carson_7128;9.0;3.1;18.2;'''Top move finish wife natural style: Often million hundred voice; Again yourself''';'''Recent real man everything; Tough service past person involve ; Recognize cell'''
Angela Barrett;angela_barrett_9444;15.0;41.1;68.2;'''Note: Pressure part allow; then Current window officer practice entire mission''';'''(Tend draw others) ; Surface what your worker politics and With senior'''
Mitchell Thomas;mitchell_thomas_2912;44.0;11.1;65.2;'''(Hard film better) ; Hope and Value fund hospital less''';'''(Option sport receive) ; Series moment nice and Develop term pressure'''
Tracy Vang;tracy_vang_6814;;55.1;34.2;'''Tv treat; Structure place Simply participant could''';'''Note: Age amount fast easy; then Develop Congress fire'''
Sabrina Wilson;sabrina_wilson_0626;43.0;63.1;27.2;'''Memory production: Exist treatment can only model myself; Weight box must''';'''More outside order rest evening grow; Type fish small Official relate memory send'''
Robert Burns;robert_burns_8795;100.0;35.1;21.2;'''(Place senior deep third of) ; Collection themselves subject and Court sign former Republican''';'''(May more) ; Everyone ability and Where ago produce board behind recently it'''
Joshua Barnes;joshua_barnes_8281;46.0;51.1;30.2;'''Example top: Avoid turn with; Product set''';'''Note: Almost not; then Management anything admit'''
Jennifer Wright;jennifer_wright_0562;29.0;5.1;15.2;'''(Claim our yourself just) ; Dinner at light and Surface wear''';'''Feel film view little; According loss Kind world some market'''
Jessica Wagner;jessica_wagner_6955;41.0;79.1;44.2;'''Note: Court nature; then Country day quickly''';'''Member stay; Author tax back Chair'''
Pamela Adkins;pamela_adkins_8848;81.0;77.1;30.2;'''(Team various realize) ; Single election and Race analysis''';'''Through minute consider administration; Cell choice mother Laugh performance or'''
Thomas Allen;thomas_allen_8919;98.0;24.1;8.2;'''Note: Day character simple dream; then Such''';'''More value she them; Later north ; Feeling'''
