name	price	age	remark
Robert Wheeler	53.0	45.1	"""Message interesting focus; Pattern 	 Sing professional view"""
James Simpson	11.0	45.1	"""(Stand ask western) 	 Human sign of and Teacher enjoy family interesting blood"""
Ricky Robinson	17.0	27.1	"""Challenge example animal find; Computer beautiful 	 Question lawyer"""
Charles Jordan	62.0	86.1	"""Note: Per term	 then Argue leader figure question since"""
Felicia Nelson	18.0	34.1	"""(Political claim especially give) 	 Ten and Western kind"""
Brooke Hicks		83.1	"""Eat friend	 Modern federal save South special everyone successful middle"""
Jason Jimenez	42.0	20.1	"""(Outside understand concern) 	 Officer choice and Know yard treatment"""
Joshua Ritter	68.0	21.1	"""Note: Seat day	 then Field response now"""
Desiree Ramirez	37.0	67.1	"""(Seven) 	 Campaign like and Need coach physical"""
Adam Colon	72.0	30.1	"""Note: Stock research	 then Ask raise"""
Linda Smith	15.0	95.1	"""Note: Specific statement	 then Value attention again relationship"""
Brian Gray	47.0	69.1	"""Note: International fall this during	 then Finish process"""
Kevin Mercado	58.0	25.1	"""(Wide contain look wear) 	 Whatever wind production everything you despite and A indeed"""
Jennifer Ray	62.0	15.1	"""Side; Nearly over 	 Rest remain interview candidate five"""
Robert Perry	60.0	86.1	"""Wind	 Catch kid Congress name Investment old offer"""
Shawn Mcbride	24.0	59.1	"""Answer loss: Leave after	 Central"""
Richard Edwards	72.0		"""(Data write seem) 	 Crime knowledge discuss day must and Water why building"""
Timothy Scott	8.0	34.1	"""Note: Turn list no through score	 then Property after season"""
Melanie Ballard	97.0	73.1	"""Agree detail something son; Such theory strategy network 	 Manager administration that large"""
Melinda Molina	43.0	62.1	"""Weight its establish describe: Choose form	 Anything learn skin"""
Jennifer Erickson	31.0	32.1	"""Weight respond pay happen	 Push store attack throw Cultural different result power"""
Preston Rasmussen	8.0	5.1	"""(Walk attorney happen) 	 Public record and Cost history follow"""
D	68.0	83.1	"""Note: Authority dinner	 then Likely off guy thousand certainly"""
Tammy Scott	66.0	89.1	"""(Morning simply) 	 Town more in let parent mission and Perform take term"""
Linda Hardy	93.0	90.1	"""For: Full	 Appear"""
Andre Ford	17.0	27.1	"""Enjoy least democratic	 More sport friend Ten"""
Susan Thomas	91.0	66.1	"""Maybe traditional listen understand: Garden industry agent forward task	 Again"""
Elizabeth Friedman	15.0	79.1	"""Capital particularly important food return: Lawyer interesting	 Tend face cover interview"""
Debra Santana	41.0	99.1	"""Cup through line: Worker	 Tonight gas least"""
Fernando Aguirre	96.0	79.1	"""Minute officer; Some allow cover 	 Law page"""
David Jackson	94.0	84.1	"""Then very play; Stand generation 	 Stay history community"""
Jason Spence	70.0	100.1	"""Main reason thousand	 Instead edge Young add yard"""
Michael Gonzalez	5.0	70.1	"""Opportunity like; Poor next remain Congress 	 Fill market through drive others"""
Anthony Ball	88.0	49.1	"""Mouth mention cost; Line firm feeling 	 Hot recognize"""
