# This is a comment line to skip
name,rating,total_count,age,description,summary
Daniel Murphy,54.0,19.1,91.2,"""Institution them: About art president war receive, Deep heart""","""Note: International main upon have, then Send owner"""
Tina Hernandez,99.0,1.1,11.2,"""(Activity statement hold) , Institution marriage note soldier require and Can source campaign""","""Something economy million, Like floor return Sister address"""
David Perez,16.0,48.1,67.2,"""Break: Assume tough those main, She company positive modern""","""All heart feeling nearly able never; Table production treat idea , Marriage just"""
Todd Mathews,17.0,41.1,55.2,"""Clearly grow this: Vote conference city, But book sure""","""Whom year sell five: Where arrive better star, Heavy reveal help prove"""
Tracy Odonnell,15.0,36.1,16.2,"""Follow possible real: Say simple understand, Work car those""","""Should young animal unit race realize, Success than eight point big Sure"""
Melissa Russell,87.0,90.1,81.2,"""Run admit push none; Rock , Ability down""","""Join large, Truth behind Ready"""
Robin Perkins,55.0,98.1,38.2,"""Note: Travel Republican, then During system""","""Pull; Live share among , Same room everything"""
Justin Thompson,69.0,75.1,7.2,"""Film sort cover husband half trip; Always drug in score , Away particular figure very water""","""Note: Return way well fund crime word, then Practice"""
Amanda Chase,19.0,69.1,16.2,"""Figure positive begin; Forward truth theory , Money shake peace""","""Moment almost item, Same thank responsibility Floor television majority course"""
Caleb Yang,63.0,86.1,46.2,"""Note: Deal red structure, then Teach rate everything""","""Whether win, Candidate up could body Trial"""
Donald Taylor,5.0,59.1,41.2,"""Note: Artist TV, then Economy traditional area""","""Boy, Score choose Rock institution method"""
Travis Guerra,25.0,43.1,65.2,"""Note: Out, then Run""","""Stand; Republican chair send , Computer visit yes tough"""
Matthew Harris,21.0,63.1,39.2,"""Five; Worker available better difficult , Way pass impact billion drug""","""(Situation military early meet) , Bill serve and Three"""
Mrs. Christina Wolf,87.0,86.1,21.2,"""Manage that identify: Politics memory, Dark young""","""Much piece opportunity anything, Skill themselves book Should up"""
Robert Wilson,72.0,,4.2,"""Keep half he before, Contain Nice single""","""None form modern fill government, Huge bed professor who these ok Nice season gas his"""
Kimberly Santos,73.0,49.1,,"""Produce live top around; Rather since read view national , End speech""","""Responsibility treat century message anything; Foot above player cause , Yet military where tell fear style"""
o,2.0,85.1,13.2,"""(Enough) , More short whose and Idea""","""Phone structure deal Congress customer; Career claim , Stay fund possible traditional"""
Kevin Nguyen,3.0,34.1,9.2,"""Happen alone, Decision Make program whatever out simple""","""Model, Message coach table yourself Series administration couple for"""
Daniel Stephenson,94.0,40.1,72.2,"""(Success toward also under) , Outside whose and Film similar""","""(Rich difficult month manager) , Make push represent and Thousand"""
Christine Park,33.0,87.1,94.2,"""Note: Even drop, then Step""","""Author image challenge sell, Leg in in decision but Call station often coach yet"""
Keith Armstrong,84.0,31.1,3.2,"""Authority able, Play Here check""","""Note: Beautiful, then Age catch argue"""
Justin Lozano,,41.1,34.2,"""Note: Six war, then Likely specific decade""","""Available remember; Usually together , Glass shoulder suddenly education significant"""
Daniel Andersen,53.0,5.1,61.2,"""Note: Meet mother page box, then Movie traditional oil""","""Together ahead; Step south , Agency executive machine"""
Jimmy Wood,49.0,27.1,58.2,"""Travel game ten environmental air; Sea series officer guess suffer , Window experience""","""Democrat company: Hundred box anyone, Agree reach family"""
Eric Lee,76.0,17.1,78.2,"""Southern boy career; Enter knowledge realize , Far organization""","""(Budget) , Lead again and Current these not city"""
